Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
$	NULL	302	U+0024		
(	NULL	3	U+0028	"adirga_(mʊrɪn),bata_(bəyə),tʃuwa_(bəyə)"	
)	NULL	3	U+0029	"adirga_(mʊrɪn),bata_(bəyə),tʃuwa_(bəyə)"	
-	+	310	U+002D	"ɔ:-,ədʒələ:-,ʃilgin-"	Oroqen
_	_	69	U+005F	"adirga_kʊnin,dɪlgan_əgdɪŋə,tɪmaŋi_bɪlga"	Oroqen
a	a	457	U+0061	"daiɸu,ʃamʊn,ʃɪla-"	Oroqen
b	b	56	U+0062	"durbəldʒin,gambi,ya:ba"	Oroqen
d	d	132	U+0064	"inəŋ_dulin,kadʊm_amɪn,nɛdɛr"	Oroqen
g	g	142	U+0067	"dʒaŋgin,gʊrgakta,ɪlga-"	Oroqen
i	i	264	U+0069	"ətirkkətʃən,ʃiləkʃə,ʃiləmkun"	Oroqen
k	k	359	U+006B	"butyɛrkə,ikun,məktʃə:n-"	Oroqen
l	l	257	U+006C	"darɪlta,wulə:wun,ʃələmi"	Oroqen
m	m	135	U+006D	"alama-,kadum_ənin,ʃiləmkun"	Oroqen
n	n	175	U+006E	"ənəlgə,ʃirun-,ʃɛnɲə"	Oroqen
o	o	11	U+006F	"loŋbu:li,mo:ro-,o:loŋki"	Oroqen
p	p	46	U+0070	"kanpɛkta,lʊpkʊ-,ʃalaptʃɪ"	Oroqen
r	r	276	U+0072	"kə:ŋtirə,tangʊra,uməkɛnŋi_ʃirəktə"	Oroqen
s	s	1	U+0073	"dɔ:sun"	Oroqen
t	t	165	U+0074	"amta-,butyɛrkə,uktə"	Oroqen
u	u	280	U+0075	"inəŋdulin_bɪlga,nul-,nəməkəldun"	Oroqen
w	w	69	U+0077	"ayawu-,itʃəwukətən,əwi-"	Oroqen
x	x	4	U+0078	"axakan_utə,inxaŋ,uyəpdilə_axɪ"	Oroqen
y	y	88	U+0079	"bata_(bəyə),maymalari,tʃaŋyuan"	Oroqen
z	z	1	U+007A	"toŋzər"	Oroqen
ü	ü	4	U+00FC	"dʒüy,dʒüy_ʊna:dʒɪ,tʃüdəŋ"	Oroqen
ŋ	ŋ	118	U+014B	"kuŋgulə:,əgdiŋə,ɲuŋɲakɪ"	Oroqen
ɔ	ɔ	91	U+0254	"dʒɔni-,kɔŋnɔrɪn,tʃɔmɔ"	Oroqen
ə	ə	319	U+0259	"dʒəg,mɛyiwukənən,əwə:rə-"	Oroqen
ɛ	ɛ	31	U+025B	"itʃɛn,yɛla,ʊlgɛr"	Oroqen
ɣ	ɣ	10	U+0263	"aɣum,bʊɣa,bʊɣaŋi_əlginin"	Oroqen
ɪ	ɪ	138	U+026A	"amɪn,dɪlatʃa_tiktəkəki,maŋgɪla"	Oroqen
ɲ	ɲ	18	U+0272	"iɲə-,mɔɲɔ:,uɲakaptʊn"	Oroqen
ɸ	ɸ	1	U+0278	"daiɸu"	Oroqen
ʃ	ʃ	55	U+0283	"aʃɪkʊla-,dʒaʃiɣan,yɔ:ʃi"	Oroqen
ʊ	ʊ	168	U+028A	"gək_ʊlgɛn,kʊtʊn,ʃʊʃa:mʊ"	Oroqen
β	β	2	U+03B2	"kaβila,ʃaβi"	Oroqen
^a	a	94	U+005E U+0061	"adirga_kʊnin,arba,arʊ:n"	Oroqen
^b	b	76	U+005E U+0062	"buku,buptɪlə:,bəltʃə"	Oroqen
