Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
f$	f	6	U+0066 U+0024	"tuf,t’af,ʕaf"	Gawwada
ff	f f	3	U+0066 U+0066	"puffaʕe,puffi,ʔuffi"	Gawwada
fs	f s	2	U+0066 U+0073	"nafsatte_ʕak,nafse"	Gawwada
h$	h	12	U+0068 U+0024	"(ʔille)_paah,tah,šoh"	Gawwada
hh	h h	1	U+0068 U+0068	"lahha"	Gawwada
i$	i	54	U+0069 U+0024	"=si,kelli,šanni"	Gawwada
ii	iː	26	U+0069 U+0069	"siikke,tiišto,ɗiiptakko"	Gawwada
k$	k	24	U+006B U+0024	"šeek,ʕuk,ʕuuk"	Gawwada
kk	k k	127	U+006B U+006B	"muumanakko,šaanšikko,ʕakkatto"	Gawwada
k’	kʼ	10	U+006B U+2019	"fak’k’aɗ,hak’e,sak’k’e"	
l$	l	11	U+006C U+0024	"kantul,teel,ɗal"	Gawwada
lh	l h	7	U+006C U+0068	"peelho,ɠopolho,ʕeelho"	Gawwada
ll	l l	44	U+006C U+006C	"kampeello,pusullo,qaallaɗo"	Gawwada
ls	l s	3	U+006C U+0073	"kalse,kelso,ʔulseeɗ"	Gawwada
m$	m	10	U+006D U+0024	"kartam,tuqam,t’om"	Gawwada
mm	m m	25	U+006D U+006D	"hammakko,maʤammariya,ɗamma"	Gawwada
n$	n	13	U+006E U+0024	"huɗan,toʔon,xupin"	Gawwada
nn	n n	23	U+006E U+006E	"mekinnate,minne_muunt’ito,minne_ʔakimatte"	Gawwada
ns	n s	1	U+006E U+0073	"sansalate"	Gawwada
o$	o	339	U+006F U+0024	"kuuco,k’ork’orro,pokolho"	Gawwada
oo	oː	76	U+006F U+006F	"moore_ʕale,toonnakko,waarakkooɗ"	Gawwada
p$	p	11	U+0070 U+0024	"nipaap,sap,t’iip"	Gawwada
pp	p p	15	U+0070 U+0070	"minne_šappete,ɗippa,ʔasaappo"	Gawwada
q$	q	7	U+0071 U+0024	"t’oq,šoq,ʔapaq"	Gawwada
qq	q q	8	U+0071 U+0071	"hoqqaši,lofoqqo,ɓoqqos"	Gawwada
r$	r	19	U+0072 U+0024	"mar,soor,t’arat’t’ar"	Gawwada
rh	r h	3	U+0072 U+0068	"ʔorhanko,ʔorhe"	Gawwada
rr	r r	24	U+0072 U+0072	"peerri,ʔarraapko,ʔirrawo"	Gawwada
s$	s	35	U+0073 U+0024	"kaʔees,kollis,xoos"	Gawwada
sh	s h	1	U+0073 U+0068	"ʔishay"	Gawwada
ss	s s	6	U+0073 U+0073	"kaasse,kassaɗ,nassaɗ"	Gawwada
t$	t	14	U+0074 U+0024	"kaat,keet,ɗot"	Gawwada
tt	t t	108	U+0074 U+0074	"mukuʕitte,polisitto,sookitte"	Gawwada
t’	tʼ	28	U+0074 U+2019	"mat’afa,mayt’a,xot’aɗ"	
u$	u	5	U+0075 U+0024	"hantu,hantu_hantu,moʔo=nu"	Gawwada
uu	uː	21	U+0075 U+0075	"minne_muunt’ito,yuut,ʔuruure"	Gawwada
w$	w	2	U+0077 U+0024	"qaw,ʔintaw"	Gawwada
wh	w h	4	U+0077 U+0068	"qawho,ʔalawho"	Gawwada
ws	w s	1	U+0077 U+0073	"kawso"	Gawwada
ww	w w	4	U+0077 U+0077	"hawwaɗ,kawwaʕko,kawwaʕko_ʔí=ħeereʔi"	Gawwada
x$	x	2	U+0078 U+0024	"kox,lax"	Gawwada
xx	x x	1	U+0078 U+0078	"ʔeemaɗakko_ʔixxete"	Gawwada
y$	y	28	U+0079 U+0024	"haay,keeray,ʔishay"	Gawwada
