Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
^r	ɻ	27	U+005E U+0072	"ran3,ren2min2,ren2ti3"	Mandarin Chinese
^s	s	43	U+005E U+0073	"sen1lin2,si3wang2,suo3"	Mandarin Chinese
^t	tʰ	94	U+005E U+0074	"tao2gong1,tian1qi4,tou2pi2xie4"	Mandarin Chinese
^w	w	64	U+005E U+0077	"wei3zheng4,wen2dao4,wen2zi"	Mandarin Chinese
^x	ɕ	139	U+005E U+0078	"xian1,xuan1bu4,xuan1shi4"	Mandarin Chinese
^y	j	91	U+005E U+0079	"ye3niu2,yin1jing4,ying3zi"	Mandarin Chinese
^z	ts	64	U+005E U+007A	"zang1,zi4xing2che1,zu3gou4"	Mandarin Chinese
a$	a	10	U+0061 U+0024	"la3ba,sheng4xia,wei3ba"	Mandarin Chinese
ai	ɛi	165	U+0061 U+0069	"kan4lai2,na2lai2,sai1"	
ao	au	317	U+0061 U+006F	"pao3,pao4,xiao3bao3bao"	
ch	ʈʂʰ	56	U+0063 U+0068	"la4chang2,shou1cheng2,wan2cheng2"	Mandarin Chinese
e$	ɤ	16	U+0065 U+0024	"si3de,zhe4ge,zhu3de"	Mandarin Chinese
en	ə n	196	U+0065 U+006E	"pen1,seng1,shen1"	
er	ə˞	8	U+0065 U+0072	"di4-er4,diao4er3,shi2er2"	
g$	k	6	U+0067 U+0024	"gu1niang,mu4jiang,piao1liang"	Mandarin Chinese
i$	i	123	U+0069 U+0024	"hai2shi,pian2yi,xie1zi"	Mandarin Chinese
n$	n	3	U+006E U+0024	"fu4qin,mu3qin,zha4lan"	Mandarin Chinese
ng	ŋ	286	U+006E U+0067	"ding1zi,gong1chang3,la1chang2"	
o$	o	9	U+006F U+0024	"er3duo,luo4tuo,tu3tuo4mo"	Mandarin Chinese
r$	ɻ	9	U+0072 U+0024	"da3ge2r,dou1r,zai4na3r"	Mandarin Chinese
sh	ʂ	119	U+0073 U+0068	"mu4shu3,rong2shu4,xiang4shang4"	Mandarin Chinese
u$	u	39	U+0075 U+0024	"hu2lu,lang2tou,li3tou"	Mandarin Chinese
yu	y/ɥ	18	U+0079 U+0075	"er3yu3,jian1yu4,shou4yun4"	
zh	ʈʂ	84	U+007A U+0068	"huo4zhe3,shou3zhuo2,xia4zhong3"	Mandarin Chinese
^ai	ɛi	4	U+005E U+0061 U+0069	"ai3,ai4,ai4ren2"	
^ch	ʈʂʰ	81	U+005E U+0063 U+0068	"cha2,chen2,cheng2ren4"	Mandarin Chinese
^er	ə˞	12	U+005E U+0065 U+0072	"er2xi2fu(r),er3duo,er3huan2"	
^sh	ʂ	162	U+005E U+0073 U+0068	"shang1ren2,shang4di4,shou3wan2zi"	Mandarin Chinese
^yu	y/ɥ	23	U+005E U+0079 U+0075	"yu2long3,yu3mao2,yue4liang"	
^zh	ʈʂ	122	U+005E U+007A U+0068	"zhan1,zhang4dan1,zhi1dao"	Mandarin Chinese
ai$	ɛi	5	U+0061 U+0069 U+0024	"fan4cai,nai3nai,yun2cai"	
en$	ə n	7	U+0065 U+006E U+0024	"ni3men,ta1men,wo3men"	
er$	ə˞	1	U+0065 U+0072 U+0024	"nü3er"	
ian	i ɛ n	218	U+0069 U+0061 U+006E	"qian1,qiang2bi4,tou2xiang2"	
ng$	ŋ	6	U+006E U+0067 U+0024	"cang1ying,cong1ming,da1ying"	
ong	ʊ ŋ	139	U+006F U+006E U+0067	"dong1mian4,nong2cun1,yan1cong1"	
yan	ɥ ɛ n	23	U+0079 U+0061 U+006E	"biao3yang2,gong1yang2,huo3yan4"	
^yan	ɥ ɛ n	27	U+005E U+0079 U+0061 U+006E	"yan2se4,yan3jiang3,yang2mao2"	
ang$	ə ŋ	3	U+0061 U+006E U+0067 U+0024	"bing1lang,du1nang,he2shang"	
eng$	ə ŋ	4	U+0065 U+006E U+0067 U+0024	"wai4sheng,xue2sheng,zhang4peng"	
ian$	i ɛ n	8	U+0069 U+0061 U+006E U+0024	"hou4mian,jia4qian,zai4_X_xia4mian"	
ong$	ʊ ŋ	1	U+006F U+006E U+0067 U+0024	"gong1gong"	
yuan	y/ɥ ɛ n	8	U+0079 U+0075 U+0061 U+006E	"fa3yuan4,ping2yuan2,quan2yuan2"	
^yuan	y/ɥ ɛ n	12	U+005E U+0079 U+0075 U+0061 U+006E	"yuan2hou2,yuan2liang4,yuan2zhou1"	
