Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
^	NULL	48	U+005E		
$	NULL	35	U+0024		
^mangwaré’$	m a ŋqʷ a r é/e ʔ	1	U+005E U+006D U+0061 U+006E U+0067 U+0077 U+0061 U+0072 U+00E9 U+2019 U+0024	"mangwaré’"	
-	+	1	U+002D	"kil’-"	Iraqw
/	ʕ̰/ʕ	177	U+002F	"/aay,bi/ri,dee/armóo_tseeree"	
_	_	87	U+005F	"al_hhe'eesay,diqi_ta_guftano,diqi_ur"	Iraqw
a	a	712	U+0061	"daa/alusmo,mibeeri_tsar,slahhangw"	Iraqw
b	b	47	U+0062	"mibeeri_tsar,tlambebe/iit,tumbara'aat"	Iraqw
d	d	56	U+0064	"iidaahh,kundáy,tsadiit"	Iraqw
e	e	47	U+0065	"petroli,qaren,tsaxwel"	Iraqw
f	f	48	U+0066	"afa_tlawi,guftano,mifugo"	Iraqw
g	g	35	U+0067	"digma,duguno,indege"	Iraqw
h	h	35	U+0068	"bohongw,mahaangw,pohami"	Iraqw
i	i	225	U+0069	"hhiyo_niina,ki/ima_waket,wawitá"	Iraqw
j	dʒ	4	U+006A	"injin,injolood,moqonjó"	Iraqw
k	k	75	U+006B	"askaari,breki_tseeg,talaka"	Iraqw
l	l	137	U+006C	"inslaawmo,mulki,mulqmo"	Iraqw
m	m	196	U+006D	"heemá,pohami,stempu"	Iraqw
n	n	151	U+006E	"dahhsani,ganaa',geenangw"	Iraqw
o	o	70	U+006F	"daamóot,dee/armóo_tseeree,nor'oos"	Iraqw
p	p	28	U+0070	"/aampa,hhampa,parampehh"	Iraqw
q	q	53	U+0071	"faaro_qomeesa,ququmaar,tlaquut"	Iraqw
r	ɾ	244	U+0072	"hara'ankiis,kuru,tseeree"	Iraqw
s	s	77	U+0073	"dahasiingw,meesa,peesa"	Iraqw
t	t	94	U+0074	"giwti,lat'áangw,wawitá"	Iraqw
u	u	167	U+0075	"afór_ur,kupiga_rangi,muhoogo"	Iraqw
w	w	64	U+0077	"afa_tlawi,ii'a_wasl,miwaani"	Iraqw
x	x	12	U+0078	"duuxoo,duxa,tlaxoo"	Iraqw
y	j	72	U+0079	"/ayiim,/ayo,hhiyo_niina"	Iraqw
á	á/a	49	U+00E1	"fartá_saga,hhansáy,maamáy"	Iraqw
é	é/e	5	U+00E9	"atén,ga/alér_tluway,slambaré/"	Iraqw
í	í/i	7	U+00ED	"girirík,kasíis,kíing"	Iraqw
ó	ó/o	21	U+00F3	"deelór_tám,deelór_yaariir,na/óo_shuulee"	Iraqw
ú	ú/u	12	U+00FA	"afkú_doo',mugúl,umúu"	Iraqw
’	ʔ	11	U+2019	"hat_hho’oo,kik’i,lu’us"	Iraqw
'$	ʔ	54	U+0027 U+0024	"daa',hara_gwaa',hhamparara'"	Iraqw
'a	ʔ a	34	U+0027 U+0061	"ka'aas,kankee'amo,wa'alah"	Iraqw
'e	ʔ e	11	U+0027 U+0065	"de'eeamusmo,gwe'eedo,ya'ee"	Iraqw
'i	ʔ i	10	U+0027 U+0069	"dahay'iis,ila'iwaa/,wawi'itiim"	Iraqw
'n	ʔ n	3	U+0027 U+006E	"fu'naay,xa'noo"	Iraqw
'o	ʔ o	9	U+0027 U+006F	"hho'oo,nor'oos,sokno'oot"	Iraqw
'u	ʔ u	9	U+0027 U+0075	"fu'unay,pu'umpuu',tlee'usmo"	Iraqw
'á	ʔ á/a	4	U+0027 U+00E1	"ba'ár,deelór_koo'án,lat'áangw"	Iraqw
'í	ʔ í/i	2	U+0027 U+00ED	"ee'ít,inoo'ín"	Iraqw
^a	a	73	U+005E U+0061	"al/uutl,alkii/,ayarén"	Iraqw
^b	b	60	U+005E U+0062	"baaba,basa,burumbuur"	Iraqw
^d	d	119	U+005E U+0064	"daangi,deelór_koo'án,dirisha"	Iraqw
^f	f	35	U+005E U+0066	"faaro_qomeesa,faini,fala"	Iraqw
^g	g	91	U+005E U+0067	"garangaar,gari_la_moshi,gila"	Iraqw
^h	h	63	U+005E U+0068	"hamtí,haratlaw,hatlit"	Iraqw
^i	i	40	U+005E U+0069	"ila'iwaa/,intsaahh,itnaa"	Iraqw
^j	dʒ	1	U+005E U+006A	"jeela"	Iraqw
^k	k	75	U+005E U+006B	"karatasi,kasiis,kitsinqaay"	Iraqw
^l	l	37	U+005E U+006C	"lahhóo',leeleehh,loosí"	Iraqw
^m	m	92	U+005E U+006D	"ma'aas,miwaani,munee"	Iraqw
^n	n	33	U+005E U+006E	"naanú,neetlangw,nuundu"	Iraqw
^o	o	1	U+005E U+006F	"oili"	Iraqw
^p	p	27	U+005E U+0070	"paynú,peeráy,piindo"	Iraqw
^q	q	33	U+005E U+0071	"qafi,qanqani,qoon"	Iraqw
^r	ɾ	3	U+005E U+0072	"rais,rangi,reediyo"	Iraqw
^s	s	40	U+005E U+0073	"saaqáan,sihhiit,siiq"	Iraqw
^t	t	25	U+005E U+0074	"ta'iim,taahh,tumbiim"	Iraqw
