Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
k$	k	77	U+006B U+0024	"japajtik,me7anal_vinik,vok"	Zinacantán Tzotzil
ks	k s	2	U+006B U+0073	"7inteksyon,puksat_balamil"	Zinacantán Tzotzil
kw	kʷ	1	U+006B U+0077	"pas_kwenta"	Zinacantán Tzotzil
k’	kʼ	131	U+006B U+2019	"7ak’_pertonal,k’uk’umal,vishvish_k’op"	Zinacantán Tzotzil
l$	l	398	U+006C U+0024	"7ichonil,7ok’il,hach’ubil"	Zinacantán Tzotzil
lh	l h	1	U+006C U+0068	"volhe"	Zinacantán Tzotzil
m$	m	37	U+006D U+0024	"7uk’um,be_sim,turum"	Zinacantán Tzotzil
n$	n	154	U+006E U+0024	"kamaron,k’op_7o7on,lakan"	Zinacantán Tzotzil
nh	n h	1	U+006E U+0068	"sakil_tranhero_7isak’"	Zinacantán Tzotzil
ns	n s	1	U+006E U+0073	"lansa"	Zinacantán Tzotzil
o$	o	83	U+006F U+0024	"buro,karo,sorto"	Zinacantán Tzotzil
o*	o ́/o	2	U+006F U+002A	"lo*ktor,plo*ho"	
p$	p	22	U+0070 U+0024	"7al_k’op,chap,nup"	Zinacantán Tzotzil
ps	p s	1	U+0070 U+0073	"sipson"	Zinacantán Tzotzil
p’	pʼ	5	U+0070 U+2019	"hp’olmahel,hup’el,rosa_p’in"	Zinacantán Tzotzil
r$	r	2	U+0072 U+0024	"lo*ktor,lugar"	Zinacantán Tzotzil
rs	ɾ s	3	U+0072 U+0073	"karsa,lurse,pwersa"	Zinacantán Tzotzil
s$	s	38	U+0073 U+0024	"mas,tiles,tz’akubtas"	Zinacantán Tzotzil
sh	ʃ	60	U+0073 U+0068	"kosho,mishmish_k’op,noshtok"	Zinacantán Tzotzil
t$	tʰ	41	U+0074 U+0024	"lechepat,pet,ton_7at"	Zinacantán Tzotzil
ts	t + s	1	U+0074 U+0073	"setset"	Zinacantán Tzotzil
tz	tsʰ	19	U+0074 U+007A	"chantzelav_te7,kujtzanan,motzobil"	Zinacantán Tzotzil
t’	tʼ	3	U+0074 U+2019	"but’i,hat’isah,lit’lonah"	Zinacantán Tzotzil
u$	u	21	U+0075 U+0024	"kuchilu,mu,turismu"	Zinacantán Tzotzil
u*	u ́/u	1	U+0075 U+002A	"pu*ro"	
u’	u ʔ	1	U+0075 U+2019	"ni7_chu’ul"	
v$	v	16	U+0076 U+0024	"chanul_7akov,hik’av,k’uhav"	Zinacantán Tzotzil
x$	ʃ	2	U+0078 U+0024	"k'ex,xax"	Zinacantán Tzotzil
y$	j	23	U+0079 U+0024	"hoy,htzakchoy,kamaron_choy"	Zinacantán Tzotzil
^ch	tʃʰ	83	U+005E U+0063 U+0068	"chames,chukbenal,chuman_te7"	Zinacantán Tzotzil
^hw	hʷ	1	U+005E U+0068 U+0077	"hweves"	Zinacantán Tzotzil
^kw	kʷ	1	U+005E U+006B U+0077	"kwenta"	Zinacantán Tzotzil
^k’	kʼ	71	U+005E U+006B U+2019	"k’o,k’on,k’u_7ora"	Zinacantán Tzotzil
^pw	pʷ	1	U+005E U+0070 U+0077	"pwersa"	Zinacantán Tzotzil
^p’	pʼ	13	U+005E U+0070 U+2019	"p’ilish,p’in,p’ok"	Zinacantán Tzotzil
^sh	ʃ	38	U+005E U+0073 U+0068	"shen,shokon_vinahel,shpokok"	Zinacantán Tzotzil
^tz	tsʰ	44	U+005E U+0074 U+007A	"tzo7,tzo7op,tzuin"	
^t’	tʼ	7	U+005E U+0074 U+2019	"t’ab,t’us,t’ut’"	Zinacantán Tzotzil
ch$	tʃʰ	15	U+0063 U+0068 U+0024	"moch,napach,vevech"	Zinacantán Tzotzil
ch’	tʃʼ	45	U+0063 U+0068 U+2019	"7ich’_tohel,htuch’7ora,poy_ech’el"	Zinacantán Tzotzil
k’$	kʼ	60	U+006B U+2019 U+0024	"chik’,hok’,sakil_tranhero_7isak’"	Zinacantán Tzotzil
nsh	n ʃ	1	U+006E U+0073 U+0068	"konsha"	Zinacantán Tzotzil
sh$	sʰ	22	U+0073 U+0068 U+0024	"7ik’ush,kush,melkulesh"	Zinacantán Tzotzil
tz$	tsʰ	15	U+0074 U+007A U+0024	"bik’tal_7antz,bitzbitz,hmulavi_7antz"	Zinacantán Tzotzil
tz’	tsʼ	23	U+0074 U+007A U+2019	"7atz’am,metz’ta,natz’il"	Zinacantán Tzotzil
t’$	tʼ	5	U+0074 U+2019 U+0024	"hot’,shut’,t’ut’"	Zinacantán Tzotzil
^ch’	tʃʼ	39	U+005E U+0063 U+0068 U+2019	"ch’ch’elil,ch’ohbenal,ch’ulul"	Zinacantán Tzotzil
^tz’	tsʼ	20	U+005E U+0074 U+007A U+2019	"tz’ikbail,tz’uhulal,tz’usub"	Zinacantán Tzotzil
