Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
^	NULL	1	U+005E		
(	NULL	1	U+0028	"daj_(taj)_dad"	
)	NULL	1	U+0029	"daj_(taj)_dad"	
-	+	1	U+002D	"-ha"	
_	_	88	U+005F	"džan_upre,oven_trušálo,páncílke_gáda"	Selice Romani
a	a	642	U+0061	"tasson,than,čhajóri"	Selice Romani
b	b	88	U+0062	"ašaribe,dikhen_báro,ódalbordo"	Selice Romani
c	c	28	U+0063	"ficko,kocka,ráncošno"	Selice Romani
d	d	203	U+0064	"idegenno,murdajon,pherdo"	Selice Romani
e	e	782	U+0065	"resen,tumen,vakeren"	Selice Romani
f	f	16	U+0066	"kofázinen,kėfė,ofto"	Selice Romani
g	g	173	U+0067	"hátgerinci,kanengere_khula,tégla"	Selice Romani
h	h	19	U+0068	"míhėlė,palotáha,praho"	Selice Romani
i	i	496	U+0069	"kačingatinen,ňalábolinen,šeprinen"	Selice Romani
j	j	86	U+006A	"ajtóragastó,murdajon,pijen"	Selice Romani
k	k	288	U+006B	"biknen,sokáši,válka"	Selice Romani
l	l	301	U+006C	"orosláňa,palodílo,ďilkoššágo"	Selice Romani
m	m	121	U+006D	"emlékezinen,nímavo,ėmėlėto"	Selice Romani
n	n	563	U+006E	"moštóno,sabadítinen,tresinen_pe"	Selice Romani
o	o	351	U+006F	"kampon,mol,onokateštvíro"	Selice Romani
p	p	124	U+0070	"dakero_pral,papíri,upre"	Selice Romani
r	r	500	U+0072	"horšoginen,irinen_pe,sojharen"	Selice Romani
s	s	114	U+0073	"ajtóragastó,šusteri,ťúsinen"	Selice Romani
t	t	245	U+0074	"izleto,létra,ofto"	Selice Romani
u	u	198	U+0075	"butavo,pišum,čudákozinen"	Selice Romani
v	v	176	U+0076	"dúvar,erďavo,tover"	Selice Romani
x	x	1	U+0078	"baxo"	Selice Romani
z	z	77	U+007A	"lėďezó,uze,özvėdni"	Selice Romani
á	á/a	297	U+00E1	"kávéfézó,náso,világoššágo"	Selice Romani
é	é/e	71	U+00E9	"asso_féliko,džan_khére,džéne"	Selice Romani
í	í/i	177	U+00ED	"jílo,kítelkedíši,órabíro"	Selice Romani
ó	ó/o	82	U+00F3	"hódačka,póši,šógorkiňa"	Selice Romani
ú	ú/u	57	U+00FA	"dúr,súdo,ďújtó"	Selice Romani
č	tʃ	57	U+010D	"kėčkė,phučen,polička"	Selice Romani
