Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
$	NULL	10	U+0024		
(	NULL	16	U+0028	"ađ’arraf_(n_ihākusen),ša_(n),ŧar’r’əmmant_(n)_uđ’ā"	
)	NULL	16	U+0029	"iri_(n)_umāyuř,zzaŧ_(i),ŧar’r’əmmant_(n)_uđ’ā"	
.	NULL	3	U+002E	"gg_imi_đi_..."	Tarifiyt Berber
^u$	u	1	U+005E U+0075 U+0024	"u"	Tarifiyt Berber
^đ$	ð	1	U+005E U+0111 U+0024	"đ"	Tarifiyt Berber
^gg$	gː	2	U+005E U+0067 U+0067 U+0024	"gg"	Tarifiyt Berber
^kk$	kː	1	U+005E U+006B U+006B U+0024	"kk"	Tarifiyt Berber
^ās$	aː s	1	U+005E U+0101 U+0073 U+0024	"ās"	Tarifiyt Berber
^šš$	ʃː	2	U+005E U+0161 U+0161 U+0024	"šš"	Tarifiyt Berber
-	+	2	U+002D	"wəħđ-,yəǧǧi-s_n_uma"	Tarifiyt Berber
=	+	3	U+003D	"nnhar=a,řəxx=u"	Tarifiyt Berber
_	_	108	U+005F	"azyən_n_nnhā,yəǧǧi-s_n_uma,ŧřaŧa_(n)_imuan"	Tarifiyt Berber
a	a	725	U+0061	"qarrəm,t’t’alaq,ʕawən"	Tarifiyt Berber
b	b	6	U+0062	"tambā,řbanku,řƀumba"	Tarifiyt Berber
d	d	24	U+0064	"ayənduz,landris,ŧiɣəndin"	Tarifiyt Berber
e	e	5	U+0065	"ađ’arraf_(n_ihākusen),wis_ŧnayen,ŧas’ettit"	Tarifiyt Berber
f	f	99	U+0066	"s’s’ifəŧ,ŧaxšəfŧ,ŧašʕəfŧ"	Tarifiyt Berber
g	g	10	U+0067	"agi,ngəz,řgiħħ"	Tarifiyt Berber
h	h	22	U+0068	"nnhar=a,tahəm,ʕahəđ"	Tarifiyt Berber
i	i	440	U+0069	"aɣi_asəmmam,lizđiyaŧ,ttimsaħ"	Tarifiyt Berber
k	k	49	U+006B	"aʕəskari,lmalika,řkazi"	Tarifiyt Berber
l	l	47	U+006C	"falta,plat’anu,z’alamit’"	Tarifiyt Berber
m	m	236	U+006D	"qama,učma_ŧaməz’z’yant,ŧikəđ’fət’_ŧaruməšŧ"	Tarifiyt Berber
n	n	218	U+006E	"anəɣ,zzinzal,řəŧnayən"	Tarifiyt Berber
p	p	6	U+0070	"kartpustal,lpitrul,s’pit’ā"	Tarifiyt Berber
q	q	88	U+0071	"zzənqəŧ,řqəhwa,ʕqəř"	Tarifiyt Berber
r	r	94	U+0072	"afray,ziru,đrus"	Tarifiyt Berber
s	s	99	U+0073	"kumasa,ŧasəçsuŧ,ƀurrəs_?"	Tarifiyt Berber
t	t	37	U+0074	"kartpustal,matrikula,ŧaxəddant_n_s’pit’ā"	Tarifiyt Berber
u	u	288	U+0075	"az’iz’un,s’uppa,ƀalun"	Tarifiyt Berber
w	w	78	U+0077	"izaggwən,s_wadday,āggwəħ"	Tarifiyt Berber
x	x	47	U+0078	"lməxzən,lxat’ař,yəǧǧis_n_xači"	Tarifiyt Berber
y	y	117	U+0079	"ayənduz,aʕāyan,ŧanyiaŧ"	Tarifiyt Berber
z	z	80	U+007A	"amxazni,izi,s_minzi"	Tarifiyt Berber
ç	ɕ	1	U+00E7	"ŧfuaçəŧ_?"	Tarifiyt Berber
ā	aː	95	U+0101	"ažāŧiř,ŧazāŧ,ŧāfiqŧ"	Tarifiyt Berber
č	tʃ	9	U+010D	"aniči,qučiya,učma_ŧaməz’z’yant"	Tarifiyt Berber
đ	ð	88	U+0111	"ħađa,ŧađmant,ƀnađəm"	Tarifiyt Berber
ħ	ħ	74	U+0127	"fħəř,ssħəss,wā_yəħři"	Tarifiyt Berber
ř	r	131	U+0159	"s_ŧazzřa,sřiyzəz,řəqřəʕ"	Tarifiyt Berber
š	ʃ	101	U+0161	"ŧaʕəžžašŧ,ŧinʕašin,ŧšamma"	Tarifiyt Berber
ŧ	θ	38	U+0167	"ssiŧəm,řəšŧu,ŧaħr’us’ŧ_(n)_uməžžun_?"	Tarifiyt Berber
ž	ʒ	58	U+017E	"amžā,iməžžan_n_təqmižaŧ,řəžđuđ"	Tarifiyt Berber
ƀ	β	114	U+0180	"aƀəʕʕuš,řāƀʕa,ɣā’ƀəř"	Tarifiyt Berber
ǧ	dʒ	1	U+01E7	"lǧazira"	Tarifiyt Berber
ə	ə	864	U+0259	"aməttin,kkəs,ŧanəwwašŧ"	Tarifiyt Berber
ɣ	ɣ	94	U+0263	"ađ’āɣař,ssƀaɣa,ŧaɣmā’ŧ"	Tarifiyt Berber
ʔ	ʔ	1	U+0294	"lʔas’nam"	Tarifiyt Berber
ʕ	ʕ	77	U+0295	"aʕƀan,lʕiqaƀ,ŧaməʕmuč"	Tarifiyt Berber
?$	ʔ	4	U+003F U+0024	"lʕimara_?,ŧaħr’us’ŧ_(n)_uməžžun_?,ŧfuaçəŧ_?"	Tarifiyt Berber
^=	+	3	U+005E U+003D	"=a,=in,=ənni"	Tarifiyt Berber
^a	a	339	U+005E U+0061	"ahim’uř,amənyā,ažđ’iđ’"	Tarifiyt Berber
^b	b	5	U+005E U+0062	"bašklit,bitəlma,bəlləʕ"	Tarifiyt Berber
^d	d	1	U+005E U+0064	"dəřbuga"	Tarifiyt Berber
^f	f	37	U+005E U+0066	"fāz,fāđ’,fəttəš"	Tarifiyt Berber
^g	g	7	U+005E U+0067	"gānəz,gđā,gəʕʕəđ"	Tarifiyt Berber
^h	h	4	U+005E U+0068	"haž,hřəš,hžəm"	Tarifiyt Berber
^i	i	56	U+005E U+0069	"ifaddən,irā,ixđ’ā"	Tarifiyt Berber
^k	k	19	U+005E U+006B	"kruši,kumasa,kəbb"	Tarifiyt Berber
^l	l	42	U+005E U+006C	"lħayawan,lžarima,lžariđa"	Tarifiyt Berber
^m	m	41	U+005E U+006D	"mašša,murs’u,muziqa"	Tarifiyt Berber
^n	n	27	U+005E U+006E	"ndəh,nətta,nəšš"	Tarifiyt Berber
^p	p	16	U+005E U+0070	"pikā,pilun,pintura"	Tarifiyt Berber
^q	q	23	U+005E U+0071	"qarrəm,quči,qān_ifaddən"	Tarifiyt Berber
^r	r	2	U+005E U+0072	"ru,ruħ"	Tarifiyt Berber
^s	s	31	U+005E U+0073	"sarrəħ,siđi_ā’bbi,stilu"	Tarifiyt Berber
^t	t	10	U+005E U+0074	"trisinti,tƀan,təmtəm"	Tarifiyt Berber
^u	u	23	U+005E U+0075	"učma,uđum,uđəm"	Tarifiyt Berber
^w	w	24	U+005E U+0077	"wažəƀ,wis_ŧnayen,wʕā’"	Tarifiyt Berber
