Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
^ū	ū/u	10	U+005E U+016B	"ū,ūs,ūŋ"	Ket
^ə	ə	14	U+005E U+0259	"əld_ol,əlel_bisep,əɣnok"	Ket
^ɯ	ɯ	12	U+005E U+026F	"ɯkkon,ɯnam_əɣam_qō,ɯtkij"	Ket
a$	a	96	U+0061 U+0024	"bɯlda,haj_biksa,hɯtka"	Ket
aa	aː	17	U+0061 U+0061	"baam,daan_intijs,saan"	Ket
aˀ	aˀ	35	U+0061 U+02C0	"maˀs,naˀn,saˀq"	Ket
bb	bː	4	U+0062 U+0062	"abbet,qibbamaŋ,qibbat"	Ket
d$	d	6	U+0064 U+0024	"deld,ogorod,tugd"	Ket
dd	dː	3	U+0064 U+0064	"avaŋa_qaddoq_selam,uddiŋ,uddiŋs"	Ket
e$	e	9	U+0065 U+0024	"qare,qaɣan_seste,ture"	Ket
eˀ	eˀ	27	U+0065 U+02C0	"qoktə_deˀŋ,seˀs,ətna_deˀŋ"	Ket
g$	g	3	U+0067 U+0024	"ig,krug,vrag"	Ket
i$	i	2	U+0069 U+0024	"ili,qogdi"	Ket
ii	iː	6	U+0069 U+0069	"siik,siin,siis"	Ket
iˀ	iˀ	9	U+0069 U+02C0	"hiˀt,kiˀs,kiˀt"	Ket
j$	j	106	U+006A U+0024	"bulsej,qùj,saˀj"	Ket
k$	k	40	U+006B U+0024	"olənd_quk,qajmuk,əɣnok"	Ket
kk	kː	7	U+006B U+006B	"bikket,dikkit,ɯkkon"	Ket
ks	k s	12	U+006B U+0073	"haksem,haksut,qəksin"	Ket
l$	ɮ	99	U+006C U+0024	"aʁatl,qiil,əld_ol"	Ket
ll	ɮː	4	U+006C U+006C	"ella,halloj,ollas"	Ket
ls	l + s	3	U+006C U+0073	"bulsej,həlsej,əəlsin"	Ket
m$	m	41	U+006D U+0024	"belim,bogdom,qotlam"	Ket
mm	mː	1	U+006D U+006D	"ammas"	Ket
n$	n	117	U+006E U+0024	"ulderen,əəlsin,ɯ̄n"	Ket
nn	nː	7	U+006E U+006E	"ekkinna_boˀk,hunnas,qannɯm"	Ket
ns	n s	9	U+006E U+0073	"anoks_kunsiɣa,qusam_bənsaŋ_qō,ɯnam_bənsaŋ_qō"	Ket
o$	o	12	U+006F U+0024	"qoŋsajdo,saldo,tanno"	Ket
oo	oː	4	U+006F U+006F	"qooj,qool,qoos"	Ket
oˀ	oˀ	26	U+006F U+02C0	"ekkinna_boˀk,koˀt,qoˀl"	Ket
p$	p	52	U+0070 U+0024	"bisep,postop,ōp"	Ket
pp	pː	2	U+0070 U+0070	"hɯppas,oppas"	Ket
ps	p s	1	U+0070 U+0073	"opsa"	Ket
q$	q	31	U+0071 U+0024	"aˀq,dəˀq,təˀq"	Ket
qq	qː	1	U+0071 U+0071	"aqqot"	Ket
qs	q s	2	U+0071 U+0073	"eqsaq"	Ket
r$	r	24	U+0072 U+0024	"dèr,qɯ̀r,ìr"	Ket
rh	r h	1	U+0072 U+0068	"parhot"	Ket
rs	r s	1	U+0072 U+0073	"lekarsvo"	Ket
s$	s	85	U+0073 U+0024	"isqos,qūs,təŋnas"	Ket
ss	sː	11	U+0073 U+0073	"assano,assel,bəssem"	Ket
t$	t	222	U+0074 U+0024	"bogdot,iltet,kuraŋbet"	Ket
th	t + h	3	U+0074 U+0068	"kitathaj,kitathāj"	Ket
ts	ts	1	U+0074 U+0073	"bitsa"	Ket
tt	tː	8	U+0074 U+0074	"attas,battat,kottej"	Ket
u$	u	5	U+0075 U+0024	"sintu,təɣatu,ultu"	Ket
uu	uː	9	U+0075 U+0075	"duus,duut,huul"	Ket
uˀ	uˀ	10	U+0075 U+02C0	"duˀt,huˀs,kuˀt"	Ket
òs	ò/o s	2	U+00F2 U+0073	"qòs_keˀt"	Ket
č$	tʃ	1	U+010D U+0024	"mač"	Ket
ī$	ī/i	3	U+012B U+0024	"kī,nī,sī"	Ket
ŋ$	ŋ	128	U+014B U+0024	"qaleŋ,sulaŋ,uldʌptaŋbaŋ"	Ket
