Grapheme	IPA	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
a$	a	86	U+0061 U+0024	"atworka,harakdumma,ja"	Archi
aː	aː	9	U+0061 U+02D0	"dunaːlu,saːsa_kes,ʕalaːmat"	Archi
aˤ	aˤ	33	U+0061 U+02E4	"baˤš,haˤtəra,kɬ'uˤraˤmči"	Archi
b$	b	16	U+0062 U+0024	"genuklin_χaχatːub,obkɬnitːub,q'ʷˤét'u_abutːib"	Archi
c$	c	4	U+0063 U+0024	"bac,hinc,mac"	Archi
c'	tsʼ	6	U+0063 U+0027	"apalχac'i,q'urc'em,ɬamc'a"	
cʼ	tsʼ	5	U+0063 U+02BC	"aːcʼutːut,mocʼor_ɬːo,mocʼorsa"	Archi
c’	tsʼ	2	U+0063 U+2019	"c’imic’əla,moc’or_q’ʷˤe"	
d$	d	6	U+0064 U+0024	"awlad,jakɬʼad,sud"	Archi
e$	e	15	U+0065 U+0024	"eˤle,mekɬe,ɬːenne"	Archi
eː	eː	2	U+0065 U+02D0	"beːχutːut,ʕeleːžu"	Archi
eˤ	eˤ	5	U+0065 U+02E4	"beˤk'ərtːen_gon,tʼeˤčʼu,šeˤnt"	Archi
g$	g	3	U+0067 U+0024	"rang,tung,četverg"	Archi
gʷ	gʷ	3	U+0067 U+02B7	"hoti_gʷarqː'i,kɬ'ir_gʷarči,č'egʷdu"	Archi
h$	h	3	U+0068 U+0024	"allah,nagah,peˤh"	Archi
i$	i	112	U+0069 U+0024	"dogi,gʷeniši,orχˤi"	Archi
iˤ	iˤ	4	U+0069 U+02E4	"diˤčatːut,niˤšiˤt_oq’is,qʼiˤjqis"	Archi
j$	j	15	U+006A U+0024	"iˤntim_maj,kulaj,q’orolaj"	Archi
k$	k	25	U+006B U+0024	"iɬːuk,jatːik,ɬːʷak"	Archi
k'	kʼ	9	U+006B U+0027	"beˤk'ərtːen_gon,zoˤk'noˤ,χːank'bos"	
kʷ	kʷ	1	U+006B U+02B7	"χˤabχˤilin_kʷar"	Archi
kʼ	kʼ	6	U+006B U+02BC	"baˤkʼon,kʼumkʼum,zukʼun"	Archi
kː	kː	26	U+006B U+02D0	"akːis,akːon_as,dogilin_q'ʷíkːi"	Archi
k’	kʼ	11	U+006B U+2019	"c’ek’dut,muk’ar_kes,nak’alij_bokɬ"	Archi
l$	l	86	U+006C U+0024	"eqišamin_kummul,kɬ'ont'ol,labχankul"	Archi
ll	l l	17	U+006C U+006C	"k'uc'illit_q'ˤijq'is,kɬ'illíkɬ'_berɬːi,lullin_cal"	Archi
ls	l s	1	U+006C U+0073	"ɬalsbos"	Archi
m$	m	18	U+006D U+0024	"gʷetːum,jam,sːam"	Archi
mm	m m	26	U+006D U+006D	"q'ˤummus,č'uˤmmus,χːummus"	Archi
n$	n	79	U+006E U+0024	"mišin,qʷan,χːon"	Archi
nn	n n	29	U+006E U+006E	"t’inna,šumehannut,ɬːenne"	Archi
ns	n s	1	U+006E U+0073	"jonsaw"	Archi
o$	o	30	U+006F U+0024	"došmin_lo,mocʼor_ɬːo,moɬːo"	Archi
oː	oː	1	U+006F U+02D0	"basahoːnu"	Archi
oˤ	oˤ	11	U+006F U+02E4	"doˤzut,noˤš,poˤrčet_ocis"	Archi
p$	p	5	U+0070 U+0024	"dump,ištarap,pošqˤap"	Archi
pp	pː	1	U+0070 U+0070	"qippus"	Archi
q$	q	23	U+0071 U+0024	"aq,nabq,qarmaq"	Archi
q'	qʼ	6	U+0071 U+0027	"ačuna_q'ˤijq'is,baq'ərənnu,q'alaq'_uˤrbət'i"	Archi
qʼ	qʼ	3	U+0071 U+02BC	"kʷačʼetːut_baqʼarankul,paqʼut,tusnaqʼ_abtʼas"	Archi
qˤ	qˤ	17	U+0071 U+02E4	"kɬʼaraši_qˤes,χir_herqˤas,χːˤološqˤan"	Archi
q’	qʼ	12	U+0071 U+2019	"buq’,hanq’,jaq’annut"	Archi
r$	r	49	U+0072 U+0024	"cʼor,doːˤzur_došdur,hanžugur"	Archi
rh	r h	3	U+0072 U+0068	"arhas"	Archi
rs	r s	10	U+0072 U+0073	"dars_eχmus_as,parsbos,sarsi"	Archi
s$	s	319	U+0073 U+0024	"dars_okɬmus,kɬummus,sːuntʼbos"	Archi
sː	sː	5	U+0073 U+02D0	"asːas,nesːen,osːos"	Archi
t$	t	125	U+0074 U+0024	"alat,cet,šumehannut"	Archi
t'	tʼ	25	U+0074 U+0027	"qʷat'linnu,zirʁat'i,šart'"	Archi
t:	tː	5	U+0074 U+003A	"asmus_orqat:ur,q’at:ut,χːiriχ_e<b>tːit:ub"	Archi
tw	t w	1	U+0074 U+0077	"atworka"	Archi
tʼ	tʼ	23	U+0074 U+02BC	"jaq’antʼutːut,q’iʁtʼi,sːob_etʼmus"	Archi
tː	tː	135	U+0074 U+02D0	"abtːu,aqˤutːut,miliχˤutːu"	Archi
t’	tʼ	24	U+0074 U+2019	"at’as,nen-t’u,šːʷit’bos"	Archi
u$	u	87	U+0075 U+0024	"basahoːnu,raˤhu,uɬdu"	Archi
uː	uː	2	U+0075 U+02D0	"huːliši,kuːt’atːut"	Archi
uˤ	uˤ	11	U+0075 U+02E4	"hanqː'a_č'uˤmmus,kɬ'uˤraˤmči,nuˤbžal_iq"	Archi
w$	w	7	U+0077 U+0024	"abadlaw,ditːaw,pardaw"	Archi
wh	w h	1	U+0077 U+0068	"žawhar"	Archi
z$	z	2	U+007A U+0024	"kʼaz,qaz"	Archi
