language,Donor>=300,donor_frac,bs_prec,bs_recall,bs_f1,bs_acc,md_prec,md_recall,md_f1,md_acc,nd_prec,nd_recall,nd_f1,nd_acc
Bezhta,FALSE,0.6077,0.696,0.762,0.726,0.845,0.778,0.696,0.734,0.832,0.804,0.748,0.772,0.861
Ceq Wong,TRUE,1.0000,0.587,0.661,0.617,0.761,0.696,0.629,0.656,0.760,0.792,0.722,0.751,0.826
English,TRUE,0.6376,0.508,0.675,0.577,0.714,0.642,0.603,0.620,0.699,0.677,0.622,0.644,0.714
Hausa,FALSE,0.3727,0.292,0.680,0.399,0.832,0.708,0.528,0.600,0.816,0.685,0.518,0.588,0.812
Imbabura Quechua,TRUE,0.9729,0.613,0.798,0.691,0.848,0.846,0.780,0.809,0.889,0.861,0.760,0.807,0.887
Indonesian,FALSE,0.2132,0.259,0.639,0.365,0.731,0.659,0.603,0.628,0.767,0.667,0.615,0.639,0.773
Japanese,TRUE,0.7829,0.405,0.671,0.504,0.766,0.793,0.705,0.745,0.840,0.807,0.695,0.745,0.837
Lower Sorbian,FALSE,0.6236,0.204,0.792,0.314,0.831,0.705,0.599,0.646,0.850,0.764,0.617,0.681,0.861
Romanian,FALSE,0.3117,0.408,0.624,0.491,0.664,0.716,0.663,0.687,0.741,0.718,0.670,0.692,0.744
Sakha,FALSE,0.6405,0.219,0.660,0.323,0.774,0.628,0.555,0.587,0.780,0.653,0.610,0.629,0.812
Saramaccan,FALSE,0.5238,0.084,0.628,0.138,0.652,0.608,0.576,0.590,0.703,0.606,0.567,0.582,0.698
Selice Romani,TRUE,0.7976,0.838,0.755,0.794,0.751,0.874,0.883,0.878,0.861,0.858,0.900,0.878,0.864
Swahili,TRUE,0.7472,0.538,0.786,0.634,0.852,0.700,0.633,0.663,0.828,0.762,0.649,0.699,0.849
Takia,FALSE,0.8052,0.044,0.700,0.081,0.779,0.772,0.620,0.684,0.836,0.773,0.562,0.647,0.807
Tarifiyt Berber,TRUE,0.8051,0.711,0.771,0.736,0.754,0.773,0.775,0.772,0.778,0.788,0.800,0.793,0.799
Thai,FALSE,0.5727,0.106,0.589,0.176,0.792,0.606,0.443,0.510,0.751,0.637,0.495,0.554,0.784
Yaqui,TRUE,0.9974,0.553,0.772,0.643,0.854,0.827,0.754,0.786,0.893,0.842,0.690,0.756,0.872
