language,Donor>=200,donor_frac,bs_prec,bs_recall,bs_f1,bs_acc,md_prec,md_recall,md_f1,md_acc,nd_prec,nd_recall,nd_f1,nd_acc
Archi,FALSE,0.2873,0.283,0.739,0.401,0.822,0.746,0.535,0.620,0.811,0.739,0.571,0.638,0.825
Bezhta,TRUE,0.6077,0.688,0.747,0.713,0.836,0.769,0.693,0.727,0.829,0.836,0.754,0.789,0.867
Ceq Wong,TRUE,1.0000,0.580,0.653,0.611,0.759,0.665,0.608,0.632,0.746,0.794,0.716,0.748,0.828
Dutch,FALSE,0.3593,0.003,0.100,0.006,0.814,0.566,0.415,0.475,0.772,0.614,0.465,0.525,0.797
English,TRUE,0.6376,0.522,0.678,0.586,0.721,0.643,0.612,0.625,0.702,0.608,0.643,0.621,0.715
Hausa,FALSE,0.3727,0.289,0.671,0.399,0.830,0.671,0.508,0.574,0.806,0.706,0.544,0.611,0.826
Hawaiian,FALSE,0.8024,0.039,0.500,0.070,0.845,0.708,0.463,0.557,0.820,0.780,0.399,0.525,0.775
Imbabura Quechua,TRUE,0.9729,0.603,0.803,0.686,0.847,0.825,0.757,0.787,0.877,0.874,0.797,0.829,0.900
Indonesian,FALSE,0.2132,0.255,0.627,0.360,0.729,0.648,0.605,0.623,0.765,0.697,0.614,0.651,0.776
Japanese,TRUE,0.7829,0.411,0.679,0.511,0.768,0.777,0.713,0.741,0.840,0.834,0.700,0.761,0.845
Kanuri,FALSE,0.5053,0.053,0.575,0.096,0.830,0.584,0.434,0.493,0.789,0.655,0.437,0.522,0.791
Kildin Saami,FALSE,0.6286,0.000,0.000,0.000,0.805,0.559,0.405,0.465,0.756,0.597,0.448,0.506,0.782
Lower Sorbian,TRUE,0.6236,0.205,0.753,0.317,0.830,0.715,0.637,0.669,0.862,0.743,0.600,0.663,0.854
Malagasy,FALSE,0.4286,0.000,0.000,0.000,0.875,0.583,0.380,0.458,0.830,0.619,0.335,0.431,0.799
Mapudungun,TRUE,0.9255,0.541,0.822,0.647,0.885,0.793,0.649,0.712,0.873,0.813,0.656,0.725,0.876
Otomi,TRUE,1.0000,0.672,0.876,0.758,0.959,0.912,0.619,0.736,0.937,0.910,0.646,0.754,0.942
Q'eqchi',TRUE,0.9617,0.513,0.800,0.621,0.934,0.805,0.616,0.691,0.925,0.852,0.624,0.709,0.930
Romanian,TRUE,0.3117,0.429,0.640,0.511,0.672,0.720,0.657,0.686,0.739,0.721,0.687,0.703,0.756
Sakha,TRUE,0.6405,0.211,0.624,0.313,0.771,0.615,0.551,0.578,0.778,0.622,0.589,0.602,0.797
Saramaccan,TRUE,0.5238,0.093,0.552,0.152,0.647,0.608,0.579,0.591,0.704,0.610,0.556,0.577,0.690
Selice Romani,TRUE,0.7976,0.833,0.754,0.790,0.747,0.869,0.878,0.873,0.855,0.871,0.891,0.881,0.865
Swahili,TRUE,0.7472,0.548,0.789,0.645,0.855,0.703,0.627,0.660,0.828,0.799,0.645,0.712,0.845
Takia,TRUE,0.8052,0.047,1.000,0.089,0.779,0.765,0.616,0.681,0.835,0.778,0.568,0.651,0.807
Tarifiyt Berber,TRUE,0.8051,0.701,0.773,0.734,0.752,0.765,0.774,0.769,0.776,0.792,0.797,0.793,0.799
Thai,TRUE,0.5727,0.103,0.625,0.176,0.792,0.618,0.432,0.506,0.744,0.669,0.544,0.595,0.802
Vietnamese,TRUE,0.9039,0.096,0.605,0.161,0.820,0.593,0.419,0.486,0.774,0.618,0.430,0.502,0.776
White Hmong,FALSE,0.6900,0.019,0.250,0.035,0.846,0.576,0.336,0.422,0.763,0.625,0.359,0.452,0.769
Yaqui,TRUE,0.9974,0.558,0.769,0.644,0.856,0.824,0.749,0.782,0.891,0.833,0.698,0.758,0.874
Zinacantán Tzotzil,TRUE,0.9950,0.423,0.929,0.576,0.913,0.851,0.664,0.740,0.916,0.911,0.742,0.814,0.938
