language,Donor>=100,donor_frac,bs_prec,bs_recall,bs_f1,bs_acc,md_prec,md_recall,md_f1,md_acc,nd_prec,nd_recall,nd_f1,nd_acc
Archi,FALSE,0.2873,0.265,0.712,0.384,0.822,0.745,0.535,0.621,0.806,0.767,0.575,0.653,0.827
Bezhta,TRUE,0.6077,0.697,0.762,0.727,0.843,0.773,0.699,0.733,0.831,0.822,0.741,0.777,0.862
Ceq Wong,TRUE,1.0000,0.614,0.676,0.638,0.773,0.678,0.617,0.643,0.752,0.818,0.701,0.748,0.821
Dutch,TRUE,0.3593,0.007,0.133,0.012,0.814,0.547,0.417,0.469,0.778,0.584,0.462,0.514,0.797
English,TRUE,0.6376,0.510,0.669,0.576,0.714,0.637,0.597,0.615,0.692,0.686,0.639,0.660,0.730
Gawwada,FALSE,0.9057,0.152,0.574,0.230,0.916,0.590,0.346,0.427,0.862,0.606,0.350,0.425,0.859
Gurindji,FALSE,0.2868,0.000,0.000,0.000,0.875,0.502,0.304,0.376,0.798,0.367,0.216,0.263,0.749
Hausa,TRUE,0.3727,0.279,0.643,0.383,0.829,0.693,0.514,0.588,0.811,0.709,0.535,0.607,0.820
Hawaiian,TRUE,0.8024,0.037,0.700,0.069,0.845,0.714,0.459,0.556,0.819,0.747,0.410,0.527,0.788
Hup,FALSE,0.7059,0.459,0.839,0.575,0.935,0.806,0.538,0.641,0.914,0.848,0.624,0.715,0.936
Imbabura Quechua,TRUE,0.9729,0.609,0.817,0.689,0.851,0.843,0.765,0.800,0.883,0.843,0.786,0.811,0.891
Indonesian,TRUE,0.2132,0.250,0.646,0.357,0.729,0.670,0.611,0.637,0.772,0.667,0.618,0.639,0.774
Iraqw,TRUE,0.8902,0.393,0.729,0.498,0.902,0.715,0.467,0.560,0.859,0.729,0.523,0.603,0.880
Japanese,TRUE,0.7829,0.408,0.678,0.507,0.767,0.775,0.709,0.739,0.839,0.824,0.695,0.753,0.841
Kali'na,FALSE,0.3970,0.209,0.975,0.339,0.885,0.665,0.527,0.583,0.867,0.678,0.470,0.550,0.848
Kanuri,TRUE,0.5053,0.056,0.692,0.102,0.830,0.585,0.417,0.485,0.783,0.640,0.434,0.514,0.788
Ket,TRUE,0.9434,0.231,0.727,0.337,0.929,0.746,0.415,0.520,0.891,0.736,0.474,0.569,0.910
Kildin Saami,TRUE,0.6286,0.007,0.083,0.013,0.805,0.583,0.425,0.487,0.768,0.588,0.437,0.498,0.777
Lower Sorbian,TRUE,0.6236,0.198,0.736,0.305,0.828,0.708,0.605,0.649,0.853,0.735,0.610,0.664,0.854
Malagasy,FALSE,0.4286,0.000,0.000,0.000,0.875,0.590,0.392,0.463,0.831,0.635,0.333,0.435,0.794
Mapudungun,TRUE,0.9255,0.539,0.804,0.643,0.882,0.799,0.653,0.715,0.874,0.798,0.643,0.710,0.874
Otomi,TRUE,1.0000,0.659,0.873,0.747,0.957,0.934,0.603,0.729,0.935,0.907,0.669,0.768,0.947
Q'eqchi',TRUE,0.9617,0.517,0.821,0.632,0.938,0.815,0.610,0.693,0.925,0.832,0.619,0.703,0.928
Romanian,TRUE,0.3117,0.418,0.620,0.499,0.665,0.715,0.661,0.686,0.740,0.716,0.706,0.710,0.766
Sakha,TRUE,0.6405,0.184,0.628,0.278,0.768,0.651,0.561,0.600,0.785,0.666,0.611,0.635,0.810
Saramaccan,TRUE,0.5238,0.088,0.535,0.142,0.645,0.611,0.577,0.592,0.701,0.622,0.565,0.588,0.694
Selice Romani,TRUE,0.7976,0.844,0.751,0.794,0.750,0.874,0.882,0.878,0.861,0.871,0.887,0.878,0.861
Seychelles Creole,FALSE,0.4486,0.005,0.100,0.010,0.911,0.564,0.299,0.387,0.844,0.594,0.270,0.366,0.822
Swahili,TRUE,0.7472,0.551,0.792,0.645,0.853,0.689,0.632,0.658,0.828,0.800,0.661,0.721,0.851
Takia,TRUE,0.8052,0.039,0.700,0.073,0.777,0.765,0.609,0.674,0.831,0.785,0.610,0.684,0.834
Tarifiyt Berber,TRUE,0.8051,0.703,0.770,0.732,0.750,0.759,0.767,0.761,0.768,0.784,0.786,0.783,0.789
Thai,TRUE,0.5727,0.097,0.527,0.160,0.790,0.629,0.446,0.519,0.750,0.658,0.506,0.571,0.788
Vietnamese,TRUE,0.9039,0.108,0.604,0.176,0.823,0.600,0.413,0.487,0.770,0.647,0.419,0.506,0.774
White Hmong,TRUE,0.6900,0.020,0.500,0.039,0.847,0.646,0.355,0.454,0.765,0.588,0.349,0.436,0.763
Wichí,TRUE,0.9897,0.509,0.685,0.578,0.899,0.853,0.740,0.790,0.934,0.879,0.718,0.787,0.934
Yaqui,TRUE,0.9974,0.562,0.774,0.647,0.856,0.830,0.751,0.788,0.893,0.829,0.718,0.765,0.880
Zinacantán Tzotzil,TRUE,0.9950,0.406,0.919,0.555,0.912,0.820,0.660,0.726,0.915,0.886,0.746,0.807,0.939
