pk,jsondata,id,name,description,markup_description,unit_pk,unitparameter_pk,contribution_pk,unitdomainelement_pk,frequency,version
1,,7311315647871366-a,,,,1,2,16,1453,,1
2,,7311315127062521-a,,,,2,2,16,1453,,1
3,,7311315522136349-a,,,,3,2,16,1453,,1
4,,7311315872113428-a,,,,4,2,16,1453,,1
5,,7311315279246362-a,,,,5,2,16,1453,,1
6,,7311315279246362-cs,,,,5,1,16,1,,1
7,,7311315829686501-a,,,,6,2,16,309,,1
8,,7311315453476383-a,,,,7,2,16,309,,1
9,,7311315914217408-a,,,,8,2,16,1453,,1
10,,7311315189339957-a,,,,9,2,16,310,,1
11,,7311315759531017-a,,,,10,2,16,1453,,1
12,,7311315731582038-a,,,,11,2,16,1453,,1
13,,7311315954546947-a,,,,12,2,16,1453,,1
14,,7311315349569988-a,,,,13,2,16,1453,,1
15,,7311315971737747-a,,,,14,2,16,1453,,1
16,,7311315457301982-a,,,,15,2,16,311,,1
17,,7311315457301982-cs,,,,15,1,16,1,,1
18,,7311315819508082-a,,,,16,2,16,313,,1
19,,7311315819508082-cs,,,,16,1,16,5,,1
20,,7311315294284735-a,,,,17,2,16,1453,,1
21,,7311315719054648-a,,,,18,2,16,309,,1
22,,7311315586089400-a,,,,19,2,16,1453,,1
23,,7311315701132802-a,,,,20,2,16,1453,,1
24,,7311315753301918-a,,,,21,2,16,1453,,1
25,,7311315496866267-a,,,,22,2,16,1453,,1
26,,7311315744017518-a,,,,23,2,16,1453,,1
27,,7311315329095104-a,,,,24,2,16,1453,,1
28,,7311315181004360-a,,,,25,2,16,1453,,1
29,,7311315594961922-a,,,,26,2,16,1453,,1
30,,7311315612358546-a,,,,27,2,16,310,,1
31,,7311315203066161-a,,,,28,2,16,1453,,1
32,,7311315765568964-a,,,,29,2,16,1453,,1
33,,7311315765568964-cs,,,,29,1,16,3,,1
34,,7311315250766675-a,,,,30,2,16,311,,1
35,,7311315250766675-cs,,,,30,1,16,1,,1
36,,7311315726488728-a,,,,31,2,16,312,,1
37,,7311315726488728-cs,,,,31,1,16,2,,1
38,,7311315220599050-a,,,,32,2,16,311,,1
39,,7311315220599050-cs,,,,32,1,16,1,,1
40,,7311315615846928-a,,,,33,2,16,1453,,1
41,,73113153723834-a,,,,34,2,16,312,,1
42,,73113153723834-cs,,,,34,1,16,2,,1
43,,7311315900787132-a,,,,35,2,16,309,,1
44,,7311315952412411-a,,,,36,2,16,1453,,1
