pk,jsondata,meaning_pk,name,lang
5148,,1287,изнасилование,russian
5149,,1288,incendie volontaire,french
5150,,1288,incendio premeditado,spanish
5151,,1288,Brandstiftung,german
5152,,1288,поджог,russian
5153,,1289,parjure,french
5154,,1289,perjurio,spanish
5155,,1289,Meineid,german
5156,,1289,лжесвидетельство,russian
5157,,1290,"voler, dérober",french
5158,,1290,robar,spanish
5159,,1290,stehlen,german
5160,,1290,"воровать, украсть",russian
5161,,1291,voleur,french
5162,,1291,ladrón,spanish
5163,,1291,Dieb,german
5164,,1291,вор,russian
5165,,1292,religion,french
5166,,1292,religión,spanish
5167,,1292,Religion,german
5168,,1292,религия,russian
5169,,1293,Dieu,french
5170,,1293,Dios,spanish
5171,,1293,Gott,german
5172,,1293,Бог,russian
5173,,1294,temple,french
5174,,1294,,spanish
5175,,1294,Tempel,german
5176,,1294,храм,russian
5177,,1295,autel,french
5178,,1295,altar,spanish
5179,,1295,Altar,german
5180,,1295,алтарь,russian
5181,,1296,"sacrifice, offrande",french
5182,,1296,ofrenda,spanish
5183,,1296,Opfer,german
5184,,1296,жертвоприношение,russian
5185,,1297,adorer,french
5186,,1297,culto,spanish
5187,,1297,"anbeten, verehren",german
5188,,1297,поклоняться,russian
5189,,1298,prier,french
5190,,1298,orar,spanish
5191,,1298,beten,german
5192,,1298,молить(ся),russian
5193,,1299,"prêtre,curé",french
5194,,1299,"cura,presbítero",spanish
5195,,1299,Priester,german
5196,,1299,священник,russian
5197,,1300,"sacré, saint",french
5198,,1300,sagrado,spanish
5199,,1300,heilig,german
5200,,1300,священный,russian
5201,,1301,prêcher,french
5202,,1301,predicar,spanish
5203,,1301,predigen,german
5204,,1301,проповедовать,russian
5206,,1302,bendecir,spanish
5207,,1302,segnen,german
5208,,1302,благословлять,russian
5209,,1303,maudire,french
5210,,1303,maldecir,spanish
5211,,1303,"verfluchen, verwünschen",german
5212,,1303,проклинать,russian
5213,,1304,jeûner,french
5214,,1304,ayunar,spanish
5215,,1304,fasten,german
5216,,1304,поститься,russian
5217,,1305,"ciel, cieux",french
5218,,1305,"cielo,paraíso",spanish
5219,,1305,Himmel,german
5220,,1305,"небеса, рай",russian
5221,,1306,enfer,french
5222,,1306,infierno,spanish
5223,,1306,Hölle,german
5224,,1306,ад,russian
5225,,1307,démon,french
5226,,1307,demonio,spanish
5227,,1307,"Dämon, Unhold",german
5228,,1307,"демон, злой дух",russian
5229,,1308,idole,french
5230,,1308,ídolo,spanish
5231,,1308,Götze,german
5232,,1308,идол,russian
5233,,1309,"magie, sorcellerie",french
5234,,1309,"brujería, hechicería",spanish
5235,,1309,"Zauberei, Zauber, Hexerei",german
5236,,1309,"волшебство, колдовство",russian
5237,,1310,"sorcier, sorcière",french
5238,,1310,"brujo/bruja,hechicero",spanish
5239,,1310,"Zauberer, Zauberin; Hexe",german
5240,,1310,"колдун, ведьма",russian
5241,,1311,fée,french
5242,,1311,"hada, duende",spanish
5243,,1311,"Fee, Elfe",german
5244,,1311,"фея, эльф",russian
5245,,1312,"fantôme, esprit, revenant",french
5246,,1312,fantasma,spanish
5247,,1312,Gespenst,german
5248,,1312,призрак,russian
5249,,1313,"présage, augure",french
5250,,1313,"agüero,presagio",spanish
5251,,1313,"Omen, Vorzeichen",german
5252,,1313,предзнаменование,russian
5253,,1314,radio,french
5254,,1314,,spanish
5255,,1314,Radio,german
5256,,1314,,russian
5257,,1315,télé,french
5258,,1315,,spanish
5259,,1315,Fernsehen,german
5260,,1315,,russian
5261,,1316,téléphone,french
5262,,1316,,spanish
5263,,1316,Telefon,german
5264,,1316,,russian
5265,,1317,"moto, motocycle",french
5266,,1317,,spanish
5267,,1317,Motorrad,german
5268,,1317,,russian
5269,,1318,voiture,french
5270,,1318,,spanish
5271,,1318,Auto,german
5272,,1318,,russian
5273,,1319,"bus, autobus",french
5274,,1319,,spanish
5275,,1319,Bus,german
5276,,1319,,russian
5277,,1320,avion,french
5278,,1320,,spanish
5279,,1320,Flugzeug,german
5280,,1320,,russian
5281,,1321,"électricité, courant",french
5282,,1321,,spanish
5283,,1321,Strom,german
5284,,1321,,russian
5285,,1322,batterie,french
5286,,1322,,spanish
5287,,1322,Batterie,german
5288,,1322,,russian
5289,,1323,hôpital,french
5290,,1323,,spanish
5291,,1323,Krankenhaus,german
5292,,1323,,russian
5293,,1324,infirmière,french
5294,,1324,,spanish
5295,,1324,Krankenschwester,german
5296,,1324,,russian
5297,,1325,"comprimé, cachet",french
5298,,1325,,spanish
5299,,1325,"Pille, Tablette",german
5300,,1325,,russian
5301,,1326,"piqûre, injection",french
5302,,1326,,spanish
5303,,1326,Spritze,german
5304,,1326,,russian
5305,,1327,robinet,french
5306,,1327,,spanish
5307,,1327,Wasserhahn,german
5308,,1327,,russian
5309,,1328,"évier, lavabo",french
5310,,1328,,spanish
5311,,1328,"Spüle, Ausguss, Waschbecken",german
5312,,1328,,russian
5313,,1329,toilette,french
5314,,1329,,spanish
5315,,1329,Toilette,german
5316,,1329,,russian
5317,,1330,matelas,french
5318,,1330,,spanish
5319,,1330,Matratze,german
5320,,1330,,russian
5321,,1331,gouvernement,french
5322,,1331,,spanish
5323,,1331,Regierung,german
5324,,1331,,russian
5325,,1332,président,french
5326,,1332,,spanish
5327,,1332,Präsident,german
5328,,1332,,russian
5329,,1333,ministre,french
5330,,1333,,spanish
5331,,1333,Minister,german
5332,,1333,,russian
5333,,1334,police,french
5334,,1334,,spanish
5335,,1334,Polizei,german
5336,,1334,,russian
5337,,1335,permis de conduire,french
5338,,1335,,spanish
5339,,1335,"Führerschein, Fahrerlaubnis",german
5340,,1335,,russian
5341,,1336,"crime, délit",french
5342,,1336,,spanish
5343,,1336,Verbrechen,german
5344,,1336,,russian
5345,,1337,élection,french
5346,,1337,,spanish
5347,,1337,Wahl,german
5348,,1337,,russian
5349,,1338,"courrier, poste",french
5350,,1338,,spanish
5351,,1338,Post,german
5352,,1338,,russian
5353,,1339,timbre,french
5354,,1339,,spanish
5355,,1339,Briefmarke,german
5356,,1339,,russian
5357,,1340,lettre,french
5358,,1340,,spanish
5359,,1340,Brief,german
5360,,1340,,russian
5361,,1341,banque,french
5362,,1341,,spanish
5363,,1341,Bank,german
5364,,1341,,russian
5365,,1342,boîte,french
5366,,1342,,spanish
5367,,1342,"Dose, Büchse",german
5368,,1342,,russian
5369,,1343,vis,french
5370,,1343,,spanish
5371,,1343,Schraube,german
5372,,1343,,russian
5373,,1344,tournevis,french
5374,,1344,,spanish
5375,,1344,"Schraubenzieher, Schraubendreher",german
5376,,1344,,russian
5377,,1345,bouteille,french
5378,,1345,,spanish
5379,,1345,Flasche,german
5380,,1345,,russian
5381,,1346,"confiserie, sucrerie, bonbon",french
5382,,1346,,spanish
5383,,1346,Süßigkeiten,german
5384,,1346,,russian
5385,,1347,lunettes,french
5386,,1347,,spanish
5387,,1347,Brille,german
5388,,1347,,russian
5389,,1348,plastique,french
5390,,1348,,spanish
5391,,1348,"Kunststoff, Plaste, Plastik",german
5392,,1348,,russian
5393,,1349,bombe,french
5394,,1349,,spanish
5395,,1349,Bombe; Sprengstoff,german
5396,,1349,,russian
5397,,1350,atelier,french
5398,,1350,,spanish
5399,,1350,Betrieb; Fabrik,german
5400,,1350,,russian
5401,,1351,cigarette,french
5402,,1351,,spanish
5403,,1351,Zigarette,german
5404,,1351,,russian
5405,,1352,calendrier,french
5406,,1352,,spanish
5407,,1352,Kalender,german
5408,,1352,,russian
5409,,1353,film,french
5410,,1353,,spanish
5411,,1353,Film,german
5412,,1353,,russian
5413,,1354,musique,french
5414,,1354,,spanish
5415,,1354,Musik,german
5416,,1354,,russian
5417,,1355,chanson,french
5418,,1355,,spanish
5419,,1355,Lied,german
5420,,1355,,russian
5421,,1356,journal,french
5422,,1356,,spanish
5423,,1356,Zeitung,german
5424,,1356,,russian
5425,,1357,adresse,french
5426,,1357,,spanish
5427,,1357,Adresse,german
5428,,1357,,russian
5429,,1358,"nombre, numéro",french
5430,,1358,,spanish
5431,,1358,Zahl,german
5432,,1358,,russian
5433,,1359,train,french
5434,,1359,,spanish
5435,,1359,"Zug, Eisenbahn",german
5436,,1359,,russian
5437,,1360,acte de naissance,french
5438,,1360,,spanish
5439,,1360,Geburtsurkunde,german
5440,,1360,,russian
5441,,1361,freiner,french
5442,,1361,,spanish
5443,,1361,bremsen,german
5444,,1361,,russian
5445,,1362,pétrole,french
5446,,1362,,spanish
5447,,1362,"Öl, Erdöl",german
5448,,1362,,russian
5449,,1363,moteur,french
5450,,1363,,spanish
5451,,1363,"Motor, Triebwerk",german
5452,,1363,,russian
5453,,1364,machine,french
5454,,1364,,spanish
5455,,1364,Maschine,german
5456,,1364,,russian
5457,,1365,"vélo, bicyclette",french
5458,,1365,,spanish
5459,,1365,Fahrrad,german
5460,,1365,,russian
5461,,1366,rue,french
5462,,1366,,spanish
5463,,1366,Straße,german
5464,,1366,,russian
5465,,1367,libérer,french
5466,,1367,liberar,spanish
5467,,1367,befreien,german
5468,,1367,освобождать,russian
5469,,1368,inviter,french
5470,,1368,,spanish
5471,,1368,einladen,german
5472,,1368,"приглашать
пригласить",russian
5473,,1369,plaque d'immatriculation,french
5474,,1369,,spanish
5475,,1369,Nummernschild,german
5476,,1369,,russian
5477,,1370,carte postale,french
5478,,1370,,spanish
5479,,1370,Postkarte,german
5480,,1370,,russian
5481,,1371,être,french
5482,,1371,"ser, estar",spanish
5483,,1371,sein,german
5484,,1371,,russian
5485,,1372,devenir,french
5486,,1372,,spanish
5487,,1372,werden,german
5488,,1372,,russian
5489,,1373,sans,french
5490,,1373,,spanish
5491,,1373,ohne,german
5492,,1373,,russian
5493,,1374,par,french
5494,,1374,,spanish
5495,,1374,durch,german
5496,,1374,,russian
5497,,1375,même,french
5498,,1375,,spanish
5499,,1375,derselbe,german
5500,,1375,,russian
5501,,1376,ne... pas,french
5502,,1376,,spanish
5503,,1376,nicht,german
5504,,1376,,russian
5505,,1377,celui-ci,french
5506,,1377,,spanish
5507,,1377,dieser,german
5508,,1377,,russian
5509,,1378,сe,french
5510,,1378,,spanish
5511,,1378,der,german
5512,,1378,,russian
5513,,1379,ici,french
5514,,1379,,spanish
5515,,1379,hier,german
5516,,1379,,russian
5517,,1380,"là, là-bas",french
5518,,1380,,spanish
5519,,1380,dort,german
5520,,1380,,russian
5521,,1381,autre,french
5522,,1381,,spanish
5523,,1381,andere,german
5524,,1381,,russian
5525,,1382,vagin,french
5526,,1382,,spanish
5527,,1382,Scheide,german
5528,,1382,,russian
5529,,1383,thé,french
5530,,1383,,spanish
5531,,1383,Tee,german
5532,,1383,,russian
5533,,1384,café,french
5534,,1384,,spanish
5535,,1384,Kaffee,german
5536,,1384,,russian
5537,,1385,prochain,french
5538,,1385,,spanish
5539,,1385,nächster,german
5540,,1385,,russian
5541,,1386,coyote,french
5542,,1386,coyote,spanish
5543,,1386,Koyote,german
5544,,1386,,russian
5545,,1387,lièvre,french
5546,,1387,liebre,spanish
5547,,1387,Hase,german
5548,,1387,,russian
5549,,1388,caille,french
5550,,1388,"codorniz, perdiz",spanish
5551,,1388,Wachtel,german
5552,,1388,,russian
5553,,1389,raton laveur,french
5554,,1389,mapache,spanish
5555,,1389,Waschbär,german
5556,,1389,,russian
5557,,1390,écureuil,french
5558,,1390,ardilla,spanish
5559,,1390,Eichhörnchen,german
5560,,1390,,russian
5561,,1391,renne,french
5562,,1391,,spanish
5563,,1391,"Rentier, Karibu",german
5564,,1391,,russian
5565,,1392,"élan, orignal",french
5566,,1392,,spanish
5567,,1392,Elch,german
5568,,1392,,russian
5569,,1393,castor,french
5570,,1393,,spanish
5571,,1393,Biber,german
5572,,1393,,russian
5573,,1394,"traîneau, luge",french
5574,,1394,,spanish
5575,,1394,Schlitten,german
5576,,1394,,russian
5577,,1395,lasso,french
5578,,1395,,spanish
5579,,1395,Lasso,german
5580,,1395,,russian
5581,,1396,mélèze,french
5582,,1396,,spanish
5583,,1396,Lärche,german
5584,,1396,,russian
5585,,1397,spicule,french
5586,,1397,,spanish
5587,,1397,Nadel,german
5588,,1397,,russian
5589,,1398,aurore boréale,french
5590,,1398,,spanish
5591,,1398,Nordlicht,german
5592,,1398,severnoe sijanie,russian
5593,,1399,tendon,french
5594,,1399,,spanish
5595,,1399,Sehne,german
5596,,1399,,russian
5597,,1400,tanner,french
5598,,1400,,spanish
5599,,1400,gerben,german
5600,,1400,,russian
5601,,1401,botte de neige,french
5602,,1401,,spanish
5603,,1401,Schneeschuh,german
5604,,1401,,russian
5605,,1402,circumcision,french
5606,,1402,,spanish
5607,,1402,Beschneidung,german
5608,,1402,,russian
5609,,1403,cérémonie d’initiation,french
5610,,1403,,spanish
5611,,1403,Initiationsritus,german
5612,,1403,,russian
5613,,1404,"cône de sapin, pomme de sapin",french
5614,,1404,,spanish
5615,,1404,Zapfen,german
5616,,1404,shishka,russian
5617,,1405,pou,french
5618,,1405,piojo,spanish
5619,,1405,Körperlaus,german
5620,,1405,вошь,russian
5621,,1406,vulve,french
5622,,1406,,spanish
5623,,1406,Muschi,german
5624,,1406,,russian
5625,,1407,tapir,french
5626,,1407,,spanish
5627,,1407,Tapir,german
5628,,1407,,russian
5629,,1408,"affiloir, pierre à aguiser",french
5630,,1408,,spanish
5631,,1408,Schleifstein,german
5632,,1408,,russian
5633,,1409,,french
5634,,1409,,spanish
5635,,1409,?,german
5636,,1409,,russian
5637,,1410,camp,french
5638,,1410,,spanish
5639,,1410,Lager,german
5640,,1410,,russian
5641,,1411,,french
5642,,1411,,spanish
5643,,1411,Grabstock,german
5644,,1411,,russian
5645,,1412,cormoran,french
5646,,1412,,spanish
5647,,1412,Kormoran,german
5648,,1412,,russian
5649,,1413,crevette,french
5650,,1413,,spanish
5651,,1413,Garnele,german
5652,,1413,,russian
5653,,1414,termites,french
5654,,1414,,spanish
5655,,1414,Termiten,german
5656,,1414,,russian
5657,,1415,tique,french
5658,,1415,,spanish
5659,,1415,Zecke,german
5660,,1415,,russian
5661,,1416,boomerang,french
5662,,1416,,spanish
5663,,1416,Bumerang,german
5664,,1416,,russian
5665,,1417,kangourou,french
5666,,1417,,spanish
5667,,1417,Känguru,german
5668,,1417,,russian
5669,,1418,"fourmilier, tamanoir",french
5670,,1418,,spanish
5671,,1418,Ameisenbär,german
5672,,1418,муравьед,russian
5673,,1419,toucan,french
5674,,1419,,spanish
5675,,1419,Tukan,german
5676,,1419,,russian
5677,,1420,jaguar,french
5678,,1420,,spanish
5679,,1420,Jaguar,german
5680,,1420,,russian
5681,,1421,pain de manioc,french
5682,,1421,,spanish
5683,,1421,Maniokbrot,german
5684,,1421,,russian
5685,,1422,hamac,french
5686,,1422,,spanish
5687,,1422,Hängematte,german
5688,,1422,,russian
5689,,1423,"mil, millet",french
5690,,1423,,spanish
5691,,1423,Hirse,german
5692,,1423,,russian
5693,,1424,caméléon,french
5694,,1424,,spanish
5695,,1424,Chamäleon,german
5696,,1424,,russian
5697,,1425,écoper,french
5698,,1425,,spanish
5699,,1425,Wasser schöpfen,german
5700,,1425,,russian
5701,,1426,sardine,french
5702,,1426,,spanish
5703,,1426,Pflock,german
5704,,1426,,russian
5705,,1427,aller à la maison,french
5706,,1427,,spanish
5707,,1427,nach Hause gehen/zurückkehren,german
5708,,1427,,russian
5709,,1428,"bison, buffle",french
5710,,1428,,spanish
5711,,1428,Büffel,german
5712,,1428,,russian
5713,,1429,savane,french
5714,,1429,,spanish
5715,,1429,Savanna,german
5716,,1429,,russian
5717,,1430,vapeur,french
5718,,1430,,spanish
5719,,1430,Dampf,german
5720,,1430,,russian
5721,,1431,frêre/sœur aîné(e),french
5722,,1431,,spanish
5723,,1431,älterer Bruder oder Schwester,german
5724,,1431,,russian
5725,,1432,frêre/sœur cadet(te),french
5726,,1432,,spanish
5727,,1432,jüngerer Bruder oder Schwester,german
5728,,1432,,russian
5729,,1433,grand-parents,french
5730,,1433,,spanish
5731,,1433,Großeltern,german
5732,,1433,,russian
5733,,1434,petit fils,french
5734,,1434,,spanish
5735,,1434,Enkelkind,german
5736,,1434,,russian
5737,,1435,"neveu, nièce",french
5738,,1435,,spanish
5739,,1435,Nichte oder Neffe,german
5740,,1435,,russian
5741,,1436,beaux-parents,french
5742,,1436,,spanish
5743,,1436,Schwiegereltern,german
5744,,1436,,russian
