pk,vocabulary_pk,fm_dl_id,wals_equivalent,affiliation,family,genus,countries
84,,87304684526799,,"Mayan, Mayan",http://wals.info/languoid/family/mayan,http://wals.info/languoid/genus/mayan,
85,,873046266645789,http://wals.info/languoid/lect/wals_code_coi,Mayan,http://wals.info/languoid/family/mayan,http://wals.info/languoid/genus/mayan,
86,,873046172382033,,Afro-Asiatic,http://wals.info/languoid/family/afroasiatic,,
87,,873046592022547,,Austronesian,http://wals.info/languoid/family/austronesian,,
88,,873046970857248,,Austronesian,http://wals.info/languoid/family/austronesian,,
89,,873046829205261,http://wals.info/languoid/lect/wals_code_mnd,Sino-Tibetan,http://wals.info/languoid/family/sinotibetan,http://wals.info/languoid/genus/chinese,
90,,873046708606661,http://wals.info/languoid/lect/wals_code_hok,"Sino-Tibetan, Chinese",Sino-Tibetan,Chinese,
91,,91291433185253147,,"Sino-Tibetan, Chinese",http://wals.info/languoid/family/sinotibetan,http://wals.info/languoid/genus/chinese,
92,,873054478044094,,Sino-Tibetan,http://wals.info/languoid/family/sinotibetan,,
93,,873046948473128,http://wals.info/languoid/lect/wals_code_col,"Mayan, Mayan",Mayan,Mayan,
94,,873046208313111,,Tequistlatecan,http://wals.info/languoid/family/tequistlatecan,,
95,,873046865732526,http://wals.info/languoid/lect/wals_code_chj,"Mayan, Mayan",Mayan,Mayan,
96,,873046355306887,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
97,,873046360018227,,"Afro-Asiatic, Semitic",http://wals.info/languoid/family/afroasiatic,http://wals.info/languoid/genus/semitic,
98,,873046449057485,,"Indo-European, Greek",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/greek,
99,,873054480981631,http://wals.info/languoid/genus/germanic,Indo-European,http://wals.info/languoid/family/indoeuropean,,
100,,873046256986680,http://wals.info/languoid/lect/wals_code_com,"Niger-Congo, Bantoid",Niger-Congo,Bantoid,
101,,873046318011164,http://wals.info/languoid/lect/wals_code_cop,"Afro-Asiatic, Egyptian-Coptic",Afro-Asiatic,Egyptian-Coptic,
102,,873046160132300,http://wals.info/languoid/lect/wals_code_qcu,Quechuan,http://wals.info/languoid/family/quechuan,http://wals.info/languoid/genus/quechuan,
103,,873046376832795,http://wals.info/languoid/lect/wals_code_cze,"Indo-European, Slavic",Indo-European,Slavic,
104,,92111732875844292,http://wals.info/languoid/lect/wals_code_dgr,"Altaic, Mongolic",Altaic,Mongolic,
105,,873046843715039,http://wals.info/languoid/lect/wals_code_dat,"Nilo-Saharan, Nilotic",Nilo-Saharan,Nilotic,
106,,873046692377180,,"Nilo-Saharan, Songhay",http://wals.info/languoid/family/nilosaharan,http://wals.info/languoid/genus/songhay,
214,,92211211473769206,,Indo-European,http://wals.info/languoid/family/indoeuropean,,
107,,873054831015932,,"Australian, Pama-Nyungan",http://wals.info/languoid/family/australian,http://wals.info/languoid/genus/pamanyungan,
108,,873046236198733,http://wals.info/languoid/family/dravidian,,,,
109,,8771713266468095,http://wals.info/languoid/lect/wals_code_mdr,"Austronesian, Madurese",Austronesian,Madurese,
110,,810252249532227976,http://wals.info/languoid/lect/wals_code_khm,"Austro-Asiatic, Khmer",Austro-Asiatic,Khmer,
111,,8129172461191679,http://wals.info/languoid/genus/turkic,Altaic,http://wals.info/languoid/family/altaic,,
112,,8771730598078357,,"Altaic, Turkic",http://wals.info/languoid/family/altaic,http://wals.info/languoid/genus/turkic,
113,,91291431461191679,,"Algic, Algonquian",http://wals.info/languoid/family/algic,http://wals.info/languoid/genus/algonquian,
276,,8771731355306887,,Austronesian,http://wals.info/languoid/family/austronesian,,
114,,92122118645128228,,"Niger-Congo, Bantoid",http://wals.info/languoid/family/nigercongo,http://wals.info/languoid/genus/bantoid,
115,,873046508145964,http://wals.info/languoid/lect/wals_code_spa,"Indo-European, Romance",Indo-European,Romance,
117,,873046796625769,http://wals.info/languoid/lect/wals_code_eve,"Altaic, Tungusic",Altaic,Tungusic,
118,,87304699373095,http://wals.info/languoid/genus/finnic,Uralic,http://wals.info/languoid/family/uralic,,
119,,873054686279542,http://wals.info/languoid/lect/wals_code_fij,"Austronesian, Oceanic",Austronesian,Oceanic,
120,,873046903822355,http://wals.info/languoid/family/uralic,Uralic,http://wals.info/languoid/family/uralic,,
121,,92122118189108517,http://wals.info/languoid/lect/wals_code_fon,"Niger-Congo, Kwa",http://wals.info/languoid/family/nigercongo,http://wals.info/languoid/genus/kwa,
122,,91291433645128228,,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
123,,873046625844292,http://wals.info/languoid/lect/wals_code_fre,"Indo-European, Romance",Indo-European,Romance,
124,,873046290537681,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
125,,87305448517062,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
126,,873054923872875,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
127,,9129143186323888,,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
128,,8730469394701,,"Niger-Congo, Northern Atlantic",http://wals.info/languoid/family/nigercongo,http://wals.info/languoid/genus/northernatlantic,
129,,873054391546059,http://wals.info/languoid/lect/wals_code_gae,"Indo-European, Celtic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/celtic,
130,,873054115109051,,"Australian, Djeragan",http://wals.info/languoid/family/australian,http://wals.info/languoid/genus/djeragan,
131,,8730467378401,,"Niger-Congo, Kwa",http://wals.info/languoid/family/nigercongo,http://wals.info/languoid/genus/kwa,
132,,873054192611195,,"Afro-Asiatic, Semitic",http://wals.info/languoid/family/afroasiatic,http://wals.info/languoid/genus/semitic,
133,,873046997708874,,"Austronesian, Oceanic",http://wals.info/languoid/family/austronesian,http://wals.info/languoid/genus/oceanic,
134,,9291347875844292,http://wals.info/languoid/lect/wals_code_geo,"Kartvelian, Kartvelian",Kartvelian,Kartvelian,
135,,87304625001713,http://wals.info/languoid/lect/wals_code_ger,"Indo-European, Germanic",Indo-European,Germanic,
136,,873054987450504,,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
137,,873046182233833,,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
138,,873046810603400,http://wals.info/languoid/lect/wals_code_lge,"Indo-European, Germanic",Indo-European,Germanic,
139,,87304630805724,,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
140,,873046291234016,,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
141,,873046145697726,http://wals.info/languoid/lect/wals_code_ger,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
142,,873046996635215,,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
143,,873046314379446,,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
144,,873046995196245,,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
145,,873046977557676,,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
147,,873046145079265,http://wals.info/languoid/lect/wals_code_grk,"Indo-European, Greek",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/greek,
148,,873046599275472,http://wals.info/languoid/lect/wals_code_gua,"Tupian, Tupi-Guaraní",Tupian,Tupi-Guaraní,
149,,873046771654254,http://wals.info/languoid/lect/wals_code_gku,Chon,http://wals.info/languoid/family/chon,http://wals.info/languoid/genus/puelche,
150,,873054283780873,http://wals.info/languoid/lect/wals_code_guu,"Australian, Pama-Nyungan",Australian,Pama-Nyungan,
151,,810252249870320768,http://wals.info/languoid/lect/wals_code_gfr,"Indo-European, Romance",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/romance,
152,,873046497545123,http://wals.info/languoid/lect/wals_code_heb,"Afro-Asiatic, Semitic",http://wals.info/languoid/family/afroasiatic,http://wals.info/languoid/genus/semitic,
153,,873046638773387,http://wals.info/languoid/lect/wals_code_ger,"Indo-European, Germanic",http://wals.info/languoid/family/indoeuropean,http://wals.info/languoid/genus/germanic,
154,,873046977420831,,Indo-European,http://wals.info/languoid/family/indoeuropean,,
155,,873054900957240,,"Afro-Asiatic, Semitic",http://wals.info/languoid/family/afroasiatic,http://wals.info/languoid/genus/semitic,
156,,9214223326116720,http://wals.info/languoid/family/hmongmien,,,,
157,,873046678669400,http://wals.info/languoid/lect/wals_code_htc,"Mayan, Mayan",Mayan,Mayan,
158,,873046811004398,http://wals.info/languoid/lect/wals_code_hun,"Uralic, Ugric",Uralic,Ugric,
