pk,jsondata,name,description,markup_description,id,type,lang,version
158,,band1344,,,band1344,glottolog,en,1
159,,bjn,,,iso639-3-bjn,iso639-3,en,1
160,,banj1239,,,banj1239,glottolog,en,1
161,,mug,,,wals-mug,wals,en,1
162,,mlp,,,iso639-3-mlp,iso639-3,en,1
163,,barg1252,,,barg1252,glottolog,en,1
164,,bem,,,wals-bem,wals,en,1
165,,bmy,,,iso639-3-bmy,iso639-3,en,1
166,,bemb1258,,,bemb1258,glottolog,en,1
167,,ben,,,wals-ben,wals,en,1
168,,ben,,,iso639-3-ben,iso639-3,en,1
169,,beng1280,,,beng1280,glottolog,en,1
170,,bul,,,wals-bul,wals,en,1
171,,bul,,,iso639-3-bul,iso639-3,en,1
172,,bulg1262,,,bulg1262,glottolog,en,1
173,,bur,,,wals-bur,wals,en,1
174,,bsk,,,iso639-3-bsk,iso639-3,en,1
175,,buru1296,,,buru1296,glottolog,en,1
176,,but,,,wals-but,wals,en,1
177,,bua,,,iso639-3-bua,iso639-3,en,1
178,,cnt,,,wals-cnt,wals,en,1
179,,yue,,,iso639-3-yue,iso639-3,en,1
180,,yuec1235,,,yuec1235,glottolog,en,1
181,,coi,,,wals-coi,wals,en,1
182,,caa,,,iso639-3-caa,iso639-3,en,1
183,,chor1273,,,chor1273,glottolog,en,1
184,,chw,,,wals-chw,wals,en,1
185,,cme,,,wals-cme,wals,en,1
186,,cjm,,,iso639-3-cjm,iso639-3,en,1
187,,east2563,,,east2563,glottolog,en,1
188,,cja,,,iso639-3-cja,iso639-3,en,1
189,,west2650,,,west2650,glottolog,en,1
190,,hok,,,wals-hok,wals,en,1
191,,nan,,,iso639-3-nan,iso639-3,en,1
192,,minn1241,,,minn1241,glottolog,en,1
193,,chz,,,wals-chz,wals,en,1
194,,fuz,,,wals-fuz,wals,en,1
195,,hak,,,wals-hak,wals,en,1
196,,taq,,,wals-taq,wals,en,1
197,,xia,,,wals-xia,wals,en,1
198,,mnp,,,iso639-3-mnp,iso639-3,en,1
199,,minb1244,,,minb1244,glottolog,en,1
200,,cdo,,,iso639-3-cdo,iso639-3,en,1
201,,mind1253,,,mind1253,glottolog,en,1
202,,czo,,,iso639-3-czo,iso639-3,en,1
203,,minz1235,,,minz1235,glottolog,en,1
204,,col,,,wals-col,wals,en,1
205,,cti,,,iso639-3-cti,iso639-3,en,1
206,,chol1285,,,chol1285,glottolog,en,1
207,,ctu,,,iso639-3-ctu,iso639-3,en,1
208,,chol1282,,,chol1282,glottolog,en,1
209,,cho,,,wals-cho,wals,en,1
210,,chx,,,wals-chx,wals,en,1
211,,chd,,,iso639-3-chd,iso639-3,en,1
212,,high1242,,,high1242,glottolog,en,1
213,,clo,,,iso639-3-clo,iso639-3,en,1
214,,lowl1260,,,lowl1260,glottolog,en,1
215,,chj,,,wals-chj,wals,en,1
216,,cac,,,iso639-3-cac,iso639-3,en,1
217,,chuj1250,,,chuj1250,glottolog,en,1
218,,cnm,,,iso639-3-cnm,iso639-3,en,1
219,,chuj1251,,,chuj1251,glottolog,en,1
220,,com,,,wals-com,wals,en,1
221,,swb,,,iso639-3-swb,iso639-3,en,1
222,,maor1244,,,maor1244,glottolog,en,1
223,,cop,,,wals-cop,wals,en,1
224,,cop,,,iso639-3-cop,iso639-3,en,1
225,,copt1239,,,copt1239,glottolog,en,1
226,,qcu,,,wals-qcu,wals,en,1
227,,quz,,,iso639-3-quz,iso639-3,en,1
228,,cusc1236,,,cusc1236,glottolog,en,1
229,,cze,,,wals-cze,wals,en,1
230,,ces,,,iso639-3-ces,iso639-3,en,1
231,,czec1258,,,czec1258,glottolog,en,1
232,,dgr,,,wals-dgr,wals,en,1
233,,dta,,,iso639-3-dta,iso639-3,en,1
234,,daur1238,,,daur1238,glottolog,en,1
235,,dat,,,wals-dat,wals,en,1
236,,tcc,,,iso639-3-tcc,iso639-3,en,1
237,,dato1239,,,dato1239,glottolog,en,1
238,,ddn,,,iso639-3-ddn,iso639-3,en,1
239,,dend1243,,,dend1243,glottolog,en,1
240,,mdr,,,wals-mdr,wals,en,1
241,,mad,,,iso639-3-mad,iso639-3,en,1
242,,nucl1460,,,nucl1460,glottolog,en,1
243,,khm,,,wals-khm,wals,en,1
244,,khm,,,iso639-3-khm,iso639-3,en,1
245,,cent1989,,,cent1989,glottolog,en,1
246,,aaq,,,iso639-3-aaq,iso639-3,en,1
247,,east2544,,,east2544,glottolog,en,1
248,,spa,,,wals-spa,wals,en,1
249,,spa,,,iso639-3-spa,iso639-3,en,1
250,,stan1288,,,stan1288,glottolog,en,1
251,,eve,,,wals-eve,wals,en,1
252,,evn,,,iso639-3-evn,iso639-3,en,1
253,,even1259,,,even1259,glottolog,en,1
254,,fij,,,wals-fij,wals,en,1
255,,fij,,,iso639-3-fij,iso639-3,en,1
256,,fiji1243,,,fiji1243,glottolog,en,1
257,,fon,,,wals-fon,wals,en,1
258,,fon,,,iso639-3-fon,iso639-3,en,1
259,,fonn1241,,,fonn1241,glottolog,en,1
260,,fre,,,wals-fre,wals,en,1
261,,fra,,,iso639-3-fra,iso639-3,en,1
262,,stan1290,,,stan1290,glottolog,en,1
263,,pcd,,,iso639-3-pcd,iso639-3,en,1
264,,pica1241,,,pica1241,glottolog,en,1
265,,wln,,,iso639-3-wln,iso639-3,en,1
266,,wall1255,,,wall1255,glottolog,en,1
267,,ful,,,iso639-3-ful,iso639-3,en,1
268,,gae,,,wals-gae,wals,en,1
269,,gla,,,iso639-3-gla,iso639-3,en,1
270,,scot1245,,,scot1245,glottolog,en,1
271,,gdh,,,iso639-3-gdh,iso639-3,en,1
272,,gadj1243,,,gadj1243,glottolog,en,1
273,,gdd,,,iso639-3-gdd,iso639-3,en,1
274,,geda1237,,,geda1237,glottolog,en,1
275,,geo,,,wals-geo,wals,en,1
276,,kat,,,iso639-3-kat,iso639-3,en,1
277,,nucl1302,,,nucl1302,glottolog,en,1
278,,ger,,,wals-ger,wals,en,1
279,,deu,,,iso639-3-deu,iso639-3,en,1
280,,stan1295,,,stan1295,glottolog,en,1
281,,lge,,,wals-lge,wals,en,1
282,,nds,,,iso639-3-nds,iso639-3,en,1
283,,nort2627,,,nort2627,glottolog,en,1
284,,gmh,,,iso639-3-gmh,iso639-3,en,1
285,,midd1343,,,midd1343,glottolog,en,1
286,,gml,,,iso639-3-gml,iso639-3,en,1
287,,midd1318,,,midd1318,glottolog,en,1
288,,sxu,,,iso639-3-sxu,iso639-3,en,1
289,,uppe1400,,,uppe1400,glottolog,en,1
290,,got,,,iso639-3-got,iso639-3,en,1
291,,goth1244,,,goth1244,glottolog,en,1
292,,grk,,,wals-grk,wals,en,1
293,,ell,,,iso639-3-ell,iso639-3,en,1
294,,mode1248,,,mode1248,glottolog,en,1
295,,gua,,,wals-gua,wals,en,1
296,,gug,,,iso639-3-gug,iso639-3,en,1
297,,para1311,,,para1311,glottolog,en,1
298,,gku,,,wals-gku,wals,en,1
299,,pue,,,iso639-3-pue,iso639-3,en,1
300,,puel1244,,,puel1244,glottolog,en,1
301,,guu,,,wals-guu,wals,en,1
302,,kky,,,iso639-3-kky,iso639-3,en,1
303,,gugu1255,,,gugu1255,glottolog,en,1
304,,gfr,,,wals-gfr,wals,en,1
305,,gcr,,,iso639-3-gcr,iso639-3,en,1
306,,guia1246,,,guia1246,glottolog,en,1
307,,heb,,,wals-heb,wals,en,1
308,,heb,,,iso639-3-heb,iso639-3,en,1
309,,hebr1245,,,hebr1245,glottolog,en,1
310,,hin,,,wals-hin,wals,en,1
311,,urd,,,wals-urd,wals,en,1
312,,hin,,,iso639-3-hin,iso639-3,en,1
313,,hind1269,,,hind1269,glottolog,en,1
314,,urd,,,iso639-3-urd,iso639-3,en,1
315,,urdu1245,,,urdu1245,glottolog,en,1
316,,htc,,,wals-htc,wals,en,1
317,,hsf,,,iso639-3-hsf,iso639-3,en,1
318,,huas1256,,,huas1256,glottolog,en,1
319,,hun,,,wals-hun,wals,en,1
320,,hun,,,iso639-3-hun,iso639-3,en,1
321,,hung1274,,,hung1274,glottolog,en,1
322,,igb,,,wals-igb,wals,en,1
323,,ibo,,,iso639-3-ibo,iso639-3,en,1
324,,nucl1417,,,nucl1417,glottolog,en,1
325,,xmn,,,iso639-3-xmn,iso639-3,en,1
326,,ita,,,wals-ita,wals,en,1
327,,ita,,,iso639-3-ita,iso639-3,en,1
328,,ital1282,,,ital1282,glottolog,en,1
329,,itz,,,wals-itz,wals,en,1
330,,itz,,,iso639-3-itz,iso639-3,en,1
331,,itza1241,,,itza1241,glottolog,en,1
332,,jah,,,wals-jah,wals,en,1
333,,jah,,,iso639-3-jah,iso639-3,en,1
334,,jahh1242,,,jahh1242,glottolog,en,1
335,,jam,,,wals-jam,wals,en,1
336,,djd,,,iso639-3-djd,iso639-3,en,1
337,,djam1255,,,djam1255,glottolog,en,1
338,,djr,,,wals-djr,wals,en,1
339,,ddj,,,iso639-3-ddj,iso639-3,en,1
340,,jaru1254,,,jaru1254,glottolog,en,1
