pk,jsondata,name,description,markup_description,id,type,lang,version
552,,tuc,,,wals-tuc,wals,en,1
553,,tuo,,,iso639-3-tuo,iso639-3,en,1
554,,tuca1252,,,tuca1252,glottolog,en,1
555,,tup,,,wals-tup,wals,en,1
556,,tur,,,wals-tur,wals,en,1
557,,tur,,,iso639-3-tur,iso639-3,en,1
558,,nucl1301,,,nucl1301,glottolog,en,1
559,,tze,,,wals-tze,wals,en,1
560,,tzb,,,iso639-3-tzb,iso639-3,en,1
561,,tzel1255,,,tzel1255,glottolog,en,1
562,,tzh,,,iso639-3-tzh,iso639-3,en,1
563,,tzel1254,,,tzel1254,glottolog,en,1
564,,tzo,,,wals-tzo,wals,en,1
565,,tzc,,,iso639-3-tzc,iso639-3,en,1
566,,tzot1262,,,tzot1262,glottolog,en,1
567,,ukr,,,wals-ukr,wals,en,1
568,,ukr,,,iso639-3-ukr,iso639-3,en,1
569,,ukra1253,,,ukra1253,glottolog,en,1
570,,sou,,,wals-sou,wals,en,1
571,,hsb,,,iso639-3-hsb,iso639-3,en,1
572,,uppe1395,,,uppe1395,glottolog,en,1
573,,ute,,,wals-ute,wals,en,1
574,,ute,,,iso639-3-ute,iso639-3,en,1
575,,utes1238,,,utes1238,glottolog,en,1
576,,rmy,,,iso639-3-rmy,iso639-3,en,1
577,,vlax1238,,,vlax1238,glottolog,en,1
578,,wlm,,,wals-wlm,wals,en,1
579,,wmt,,,iso639-3-wmt,iso639-3,en,1
580,,walm1241,,,walm1241,glottolog,en,1
581,,wam,,,wals-wam,wals,en,1
582,,wmb,,,iso639-3-wmb,iso639-3,en,1
583,,wamb1258,,,wamb1258,glottolog,en,1
584,,wlr,,,iso639-3-wlr,iso639-3,en,1
585,,wail1242,,,wail1242,glottolog,en,1
586,,wrl,,,wals-wrl,wals,en,1
587,,wbp,,,iso639-3-wbp,iso639-3,en,1
588,,warl1254,,,warl1254,glottolog,en,1
589,,wlw,,,wals-wlw,wals,en,1
590,,wrb,,,iso639-3-wrb,iso639-3,en,1
591,,warl1256,,,warl1256,glottolog,en,1
592,,wrm,,,iso639-3-wrm,iso639-3,en,1
593,,waru1265,,,waru1265,glottolog,en,1
594,,wsk,,,wals-wsk,wals,en,1
595,,wsk,,,iso639-3-wsk,iso639-3,en,1
596,,wask1241,,,wask1241,glottolog,en,1
597,,wel,,,wals-wel,wals,en,1
598,,cym,,,iso639-3-cym,iso639-3,en,1
599,,wels1247,,,wels1247,glottolog,en,1
600,,npi,,,wals-npi,wals,en,1
601,,pcm,,,iso639-3-pcm,iso639-3,en,1
602,,nige1257,,,nige1257,glottolog,en,1
603,,wrh,,,iso639-3-wrh,iso639-3,en,1
604,,wira1262,,,wira1262,glottolog,en,1
605,,wlf,,,wals-wlf,wals,en,1
606,,wol,,,iso639-3-wol,iso639-3,en,1
607,,nucl1347,,,nucl1347,glottolog,en,1
608,,yny,,,wals-yny,wals,en,1
609,,jao,,,iso639-3-jao,iso639-3,en,1
610,,yany1243,,,yany1243,glottolog,en,1
611,,yao,,,wals-yao,wals,en,1
612,,yao,,,iso639-3-yao,iso639-3,en,1
613,,yaoo1241,,,yaoo1241,glottolog,en,1
614,,yor,,,wals-yor,wals,en,1
615,,yor,,,iso639-3-yor,iso639-3,en,1
616,,yoru1245,,,yoru1245,glottolog,en,1
617,,zaj,,,iso639-3-zaj,iso639-3,en,1
618,,zara1247,,,zara1247,glottolog,en,1
619,,ziw,,,iso639-3-ziw,iso639-3,en,1
620,,zigu1242,,,zigu1242,glottolog,en,1
621,,kuq,,,wals-kuq,wals,en,1
622,,kum,,,iso639-3-kum,iso639-3,en,1
623,,kumy1244,,,kumy1244,glottolog,en,1
624,,azi,,,wals-azi,wals,en,1
625,,xpu,,,iso639-3-xpu,iso639-3,en,1
626,,puni1241,,,puni1241,glottolog,en,1
627,,tng,,,wals-tng,wals,en,1
628,,ton,,,iso639-3-ton,iso639-3,en,1
629,,tong1325,,,tong1325,glottolog,en,1
630,,sam,,,wals-sam,wals,en,1
631,,smo,,,iso639-3-smo,iso639-3,en,1
632,,samo1305,,,samo1305,glottolog,en,1
633,,mrq,,,wals-mrq,wals,en,1
634,,mqm,,,iso639-3-mqm,iso639-3,en,1
635,,sout2866,,,sout2866,glottolog,en,1
636,,mrq,,,iso639-3-mrq,iso639-3,en,1
637,,nort2845,,,nort2845,glottolog,en,1
638,,hrv,,,iso639-3-hrv,iso639-3,en,1
639,,croa1245,,,croa1245,glottolog,en,1
640,,twi,,,iso639-3-twi,iso639-3,en,1
641,,yaku1245,,,yaku1245,glottolog,en,1
642,,oldh1241,,,oldh1241,glottolog,en,1
643,,west2376,,,west2376,glottolog,en,1
