borrowed_score,age_score,simplicity_score,pk,borrowed,analyzability
0,,0.5,1,5. no evidence for borrowing,analyzable derived
0,0.5,0.5,2,5. no evidence for borrowing,analyzable derived
0,0.5,1,3,5. no evidence for borrowing,unanalyzable
0,0.5,1,4,5. no evidence for borrowing,unanalyzable
1,0.5,1,5,1. clearly borrowed,unanalyzable
0,1,1,6,5. no evidence for borrowing,unanalyzable
0,1,1,7,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,8,5. no evidence for borrowing,analyzable derived
0,1,1,9,5. no evidence for borrowing,unanalyzable
0,0.5,1,10,5. no evidence for borrowing,unanalyzable
0,0.5,1,11,5. no evidence for borrowing,unanalyzable
0,0.5,1,12,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,13,5. no evidence for borrowing,analyzable derived
0,0.5,0.5,14,5. no evidence for borrowing,analyzable phrasal
1,1,1,15,1. clearly borrowed,unanalyzable
1,0.7,1,16,1. clearly borrowed,unanalyzable
0,0.5,1,17,5. no evidence for borrowing,unanalyzable
0,1,1,18,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,19,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,20,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,21,5. no evidence for borrowing,analyzable phrasal
0,0.5,1,22,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,23,5. no evidence for borrowing,analyzable phrasal
0,0.5,1,24,5. no evidence for borrowing,unanalyzable
0,0.5,1,25,5. no evidence for borrowing,unanalyzable
0,0.5,1,26,5. no evidence for borrowing,unanalyzable
0,1,1,27,5. no evidence for borrowing,unanalyzable
0.75,0.5,1,28,2. probably borrowed,unanalyzable
1,0.5,0.75,29,1. clearly borrowed,semi-analyzable
1,1,1,30,1. clearly borrowed,unanalyzable
1,0.8,1,31,1. clearly borrowed,unanalyzable
1,1,1,32,1. clearly borrowed,unanalyzable
0.5,0.5,0.5,33,3. perhaps borrowed,analyzable phrasal
1,0.8,0.5,34,1. clearly borrowed,analyzable phrasal
0,1,1,35,5. no evidence for borrowing,unanalyzable
0,0.5,1,36,5. no evidence for borrowing,unanalyzable
0,0.5,0.5,37,5. no evidence for borrowing,analyzable phrasal
0,1,0.75,38,5. no evidence for borrowing,semi-analyzable
0,0.5,1,39,5. no evidence for borrowing,unanalyzable
0.75,0.5,1,40,2. probably borrowed,unanalyzable
0,0.5,0.5,41,5. no evidence for borrowing,analyzable phrasal
0,0.5,0.5,42,5. no evidence for borrowing,analyzable derived
