pk,jsondata,id,name,description,markup_description,latitude,longitude,version
145,,145,Gothic,,,43.2172,25.6111,1
146,,146,Greater Tzeltalan,,,17,-92.5,1
147,,147,Greek,,,37.0378,27.4239,1
148,,148,Guaraní,,,-26,-56,1
149,,149,Gününa Yajüch,,,-41,-67,1
150,,150,Guugu Yimidhirr,,,-15,144.833,1
151,,151,Guyanese French Creole,,,5,-53,1
152,,152,Hebrew,,,31.5,34.8333,1
153,,153,High German,,,52,10,1
154,,154,Hindi-Urdu,,,25,71,1
155,,155,Arabic (Hispanic),,,37.1765,-3.59793,1
156,,156,Hmong-Mien,,,25,106,1
157,,157,Huastec,,,22.0833,-99.3333,1
158,,158,Hungarian,,,47,20,1
159,,159,Igbo,,,6,7.33333,1
160,,160,Illyrian,,,42.0675,19.5131,1
161,,161,English (Indian),,,22.5697,88.3697,1
162,,162,French (Indian Ocean),,,-21.1144,55.5325,1
163,,163,Arabic (Indian Ocean),,,-6.16592,39.2026,1
164,,164,Indo-European,,,43,35,1
165,,165,Indo-Iranian,,,32,70,1
166,,166,Portuguese (Indian),,,15.493,73.818,1
167,,167,Iranian,,,35,61,1
168,,168,Middle Persian,,,29.6167,52.5333,1
169,,169,Italian,,,43,12,1
170,,170,Old Italian,,,43.7687,11.2569,1
171,,171,Itzaj,,,17,-89.8333,1
172,,172,Jah Hut,,,5.75,101.5,1
173,,173,Jaminjung,,,-15.0833,130.5,1
174,,174,Jaru,,,-18.75,128,1
175,,175,Javanese,,,-7,111,1
176,,176,Jingulu,,,-17.75,134,1
177,,177,K’iche’an,,,15.1,-90.45,1
178,,178,Kalmyk,,,44,83,1
179,,179,Kam-Sui,,,26.5783,106.713,1
180,,180,Kannada,,,14,76,1
181,,181,Karelian,,,64,32,1
182,,182,Karranga,,,-17.3333,132.083,1
183,,183,Kaurna,,,-34.25,138.5,1
184,,184,Khalkha,,,47,105,1
185,,185,Kija,,,-17.5,127.75,1
186,,186,Komi,,,61,55,1
187,,187,Kongo,,,-5,15,1
188,,188,Konso,,,5.5,37.5,1
189,,189,Korean,,,37.5,128,1
190,,190,Kriol,,,-18.1667,125.583,1
191,,191,Kurdish,,,36,44,1
192,,192,Lak,,,42.1667,47.1667,1
193,,193,Lao,,,18,103,1
194,,194,Late Latin,,,44.4167,12.2,1
195,,195,Medieval Latin,,,44.5075,11.3514,1
196,,196,Vulgar Latin,,,40.8167,14.1167,1
197,,197,Nheengatú,,,1.5,-67,1
198,,198,Loango,,,-4.8,11.85,1
199,,199,Lolo-Burmese,,,24,98,1
200,,200,Arabic (Maghrebi),,,34,-6,1
201,,201,Makua,,,-15,38.6667,1
202,,202,Malay,,,3,102,1
203,,203,Malayalam,,,10,76.5,1
204,,204,Malgwa,,,11.5,13.75,1
205,,205,Mande,,,10,-7,1
206,,206,Mandinka,,,13,-15.6667,1
207,,207,Māori,,,-40,176,1
208,,208,French (Mauritian),,,-20.2,57.5,1
209,,209,Mende,,,7.83333,-11.5,1
210,,210,Spanish (Mexican),,,19.427,-99.1276,1
211,,211,Middle Chinese,,,34.2667,108.9,1
212,,212,Middle Dutch,,,51.7,5.31667,1
213,,213,Middle French,,,47.5855,1.33095,1
214,,214,Middle Iranian,,,34,60,1
215,,215,Middle Mon,,,15.8333,100.5,1
216,,216,Middle North Germanic,,,60,11,1
217,,217,Mikmaq,,,45,-63,1
218,,218,Minangkabau,,,-1,101,1
219,,219,Miriwung,,,-15.6667,129,1
220,,220,Mixe-Zoquean,,,16,-96,1
221,,221,Mocho,,,15.3638,-92.2481,1
222,,222,Modern Khmer,,,12.5,105,1
223,,223,Modern Mon,,,14.8333,100.5,1
224,,224,Mon,,,14.8333,100.5,1
225,,225,Mon-Khmer,,,14.5517,102.909,1
226,,226,Mongolian,,,47,105,1
227,,227,Mongolic,,,45,100,1
228,,228,Mopan,,,16.5833,-88.6667,1
229,,229,Mudburra,,,-17.3333,132.083,1
230,,230,Nahuatl,,,19.4333,-99.1333,1
231,,231,Narragansett,,,42.6667,-73.5,1
232,,232,Neo-Latin,,,59.85,17.6333,1
233,,233,Nepali,,,28,85,1
234,,234,Ngaliwurru,,,-15.1667,130.667,1
235,,235,Ngardi,,,-21,133,1
236,,236,Ngarinyman,,,-16.5,130.5,1
237,,237,Niger-Congo,,,6,9,1
238,,238,Nilo-Saharan,,,5,30,1
239,,239,Nobonob,,,-5.23367,145.789,1
240,,240,North Germanic,,,57.697,11.9864,1
241,,241,Norwegian,,,61,8,1
242,,242,Nungali,,,-13.6767,130.714,1
243,,243,Nupe,,,9.16667,5.41667,1
244,,244,Nyamwezi,,,-5,33,1
245,,245,Nyungar,,,-33.75,122,1
246,,246,Occitan,,,44,2,1
247,,247,Oghur,,,56.1375,47.244,1
248,,248,Old Chinese,,,36.1214,114.317,1
249,,249,Old Frisian,,,53.1439,8.21389,1
250,,250,Indic,,,28,76,1
251,,251,Sanskrit,,,25.282,82.9563,1
252,,252,Old Irish,,,54.5211,-6.76757,1
253,,253,Old Javanese,,,-6.9196,106.927,1
254,,254,Old Khmer,,,13.4333,103.833,1
255,,255,Old Lithuaninian,,,55.7333,24.35,1
256,,256,Old Mon,,,13.8194,100.058,1
257,,257,Old Norse,,,47,13,1
258,,258,Old Persian,,,34.3883,47.4367,1
259,,259,Old Provençal,,,46.5819,0.336111,1
260,,260,Old Russian,,,58.545,31.2691,1
261,,261,Old Slavic,,,40.6472,22.9639,1
262,,262,Old Thai,,,14.35,100.583,1
263,,263,Oromo,,,6,40,1
264,,264,Ossetian,,,43,44,1
265,,265,Pacific Pidgin English,,,-9.5,147.167,1
266,,266,Pali,,,27.4833,83.2833,1
267,,267,Pama-Nyungan,,,-23,134,1
268,,268,Munda,,,23,85,1
269,,269,Persian,,,32,54,1
270,,270,Elamite,,,32.2,48.25,1
271,,271,Phoenician,,,34.1236,35.6511,1
272,,272,Pilagá,,,-25,-60,1
273,,273,Polish,,,52,20,1
274,,274,Portuguese,,,39,-8,1
275,,275,Batavian Portuguese Creole,,,-6.21154,106.845,1
276,,276,Pre-Malagasy,,,-21,46,1
277,,277,Pre-Minangkabau,,,-1.16667,101.167,1
278,,278,Pre-Oromo,,,9,40,1
279,,279,Pre-Rangi,,,-4.5,36,1
280,,280,Pre-Sandawe,,,-5,35,1
281,,281,Proto-Austronesian,,,23,120.833,1
282,,282,Proto-Austroasiatic,,,24,97,1
283,,283,Proto Central-Eastern Malayo-Polynesian,,,-3.83333,121.333,1
284,,284,Proto-Malayo-Polynesian,,,-1.10612,114.144,1
285,,285,Proto-Mon-Khmer,,,19,102,1
286,,286,Proto-Oceanic,,,-5,150,1
287,,287,Proto-Altaic,,,48,73,1
288,,288,Proto-Chadic,,,11,15,1
289,,289,Proto-Finnic,,,60,40,1
290,,290,Proto-Germanic,,,55.5,9,1
291,,291,Proto-Greater Kanjobalan,,,16,-92,1
292,,292,Proto-Hmong-Mien,,,25,106,1
293,,293,Proto-Indo-European,,,42,36,1
294,,294,Proto-Mixe-Zoquean,,,17,-95,1
295,,295,Proto-Mixean,,,17.0833,-96,1
296,,296,Proto-Mongolic,,,44,99,1
297,,297,Proto-Semitic,,,33,40,1
298,,298,Proto-Slavic,,,49,23,1
299,,299,Proto-Tai,,,17,101,1
300,,300,Proto-West Chadic,,,12,9.25,1
301,,301,Proto-Yucatecan,,,18,-90,1
302,,302,Q’anjob’alan,,,16,-93,1
303,,303,Qiangic,,,30,102.667,1
304,,304,Quechua,,,-14.25,-73,1
305,,305,Quiche,,,15,-91.4167,1
306,,306,Ramoaaina,,,-4.13333,152.467,1
307,,307,Rarotongan,,,-21.2,-159.767,1
308,,308,Romance,,,45.7333,7.31667,1
309,,309,Russian,,,56,38,1
310,,310,Ryukyuan,,,26.3328,127.749,1
311,,311,Saharan,,,14,9,1
312,,312,Sambaa,,,-4.25,38.25,1
313,,313,Sandawe,,,-5,35,1
314,,314,Gaelic (Scottish),,,57,-4,1
315,,315,Selkup,,,65,82,1
316,,316,Semitic,,,34,41,1
317,,317,Sena,,,-18,35.25,1
318,,318,Serbian,,,44.8206,20.4622,1
319,,319,Slavic,,,50,24,1
320,,320,East Slavic,,,55,33,1
321,,321,Slovak,,,49,20,1
322,,322,Songhay,,,17,0,1
323,,323,South Aslian,,,3,102,1
324,,324,South Slavic,,,43,21,1
325,,325,Macedonian,,,41.6667,21.75,1
