ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
129,Gaelic,,57.0,-4.0,scot1245,gla
130,Gajirrabeng,,-15.0833,129.0,gadj1243,gdh
131,Gbe,,6.66667,2.5,,
132,Ge‘ez,,15.25,39.67,,
133,Gedaged,,-4.95,145.75,geda1237,gdd
134,Georgian,,42.0,44.0,nucl1302,kat
135,German,,52.0,10.0,stan1295,deu
136,German (Austrian),,48.0,14.0,,
137,Early New High German,,49.7943,9.92749,,
138,Low German,,53.0,10.0,nort2627,nds
139,Middle High German,,48.5,8.0,midd1343,gmh
140,Middle Low German,,51.8,12.0667,midd1318,gml
141,New High German,,52.0,10.0,stan1295,deu
142,German (Upper Saxon),,51.051,13.7337,uppe1400,sxu
143,East Middle German,,51.3397,12.3713,,
144,West Germanic,,52.0,7.0,,
145,Gothic,,43.2172,25.6111,goth1244,got
146,Greater Tzeltalan,,17.0,-92.5,,
147,Greek,,37.0378,27.4239,mode1248,ell
148,Guaraní,,-26.0,-56.0,para1311,gug
149,Gününa Yajüch,,-41.0,-67.0,puel1244,pue
150,Guugu Yimidhirr,,-15.0,144.833,gugu1255,kky
151,Guyanese French Creole,,5.0,-53.0,guia1246,gcr
152,Hebrew,,31.5,34.8333,hebr1245,heb
153,High German,,52.0,10.0,stan1295,deu
154,Hindi-Urdu,,25.0,71.0,hind1269,hin
155,Arabic (Hispanic),,37.1765,-3.59793,,
156,Hmong-Mien,,25.0,106.0,,
157,Huastec,,22.0833,-99.3333,huas1256,hsf
158,Hungarian,,47.0,20.0,hung1274,hun
159,Igbo,,6.0,7.33333,nucl1417,ibo
160,Illyrian,,42.0675,19.5131,,
161,English (Indian),,22.5697,88.3697,,
162,French (Indian Ocean),,-21.1144,55.5325,,
163,Arabic (Indian Ocean),,-6.16592,39.2026,,
164,Indo-European,,43.0,35.0,,
165,Indo-Iranian,,32.0,70.0,,
166,Portuguese (Indian),,15.493,73.818,,
167,Iranian,,35.0,61.0,,
168,Middle Persian,,29.6167,52.5333,,xmn
169,Italian,,43.0,12.0,ital1282,ita
170,Old Italian,,43.7687,11.2569,,
171,Itzaj,,17.0,-89.8333,itza1241,itz
172,Jah Hut,,5.75,101.5,jahh1242,jah
173,Jaminjung,,-15.0833,130.5,djam1255,djd
174,Jaru,,-18.75,128.0,jaru1254,ddj
175,Javanese,,-7.0,111.0,java1254,jav
176,Jingulu,,-17.75,134.0,djin1251,jig
177,K’iche’an,,15.1,-90.45,,
178,Kalmyk,,44.0,83.0,kalm1243,xal
179,Kam-Sui,,26.5783,106.713,,
180,Kannada,,14.0,76.0,nucl1305,kan
181,Karelian,,64.0,32.0,kare1335,krl
182,Karranga,,-17.3333,132.083,mudb1240,mwd
183,Kaurna,,-34.25,138.5,,
184,Khalkha,,47.0,105.0,halh1238,khk
185,Kija,,-17.5,127.75,kitj1240,gia
186,Komi,,61.0,55.0,,kom
187,Kongo,,-5.0,15.0,koon1244,kng
188,Konso,,5.5,37.5,kons1243,kxc
189,Korean,,37.5,128.0,kore1280,kor
190,Kriol,,-18.1667,125.583,krio1252,rop
191,Kurdish,,36.0,44.0,,kur
192,Lak,,42.1667,47.1667,lakk1252,lbe
193,Lao,,18.0,103.0,laoo1244,lao
194,Late Latin,,44.4167,12.2,,
195,Medieval Latin,,44.5075,11.3514,,
196,Vulgar Latin,,40.8167,14.1167,,
197,Nheengatú,,1.5,-67.0,nhen1239,yrl
198,Loango,,-4.8,11.85,,
199,Lolo-Burmese,,24.0,98.0,,
200,Arabic (Maghrebi),,34.0,-6.0,moro1292,ary
201,Makua,,-15.0,38.6667,makh1264,vmw
202,Malay,,3.0,102.0,stan1306,zsm
203,Malayalam,,10.0,76.5,mala1464,mal
204,Malgwa,,11.5,13.75,wand1278,mfi
205,Mande,,10.0,-7.0,,
206,Mandinka,,13.0,-15.6667,mand1436,mnk
207,Māori,,-40.0,176.0,,
208,French (Mauritian),,-20.2,57.5,,
209,Mende,,7.83333,-11.5,mend1266,men
210,Spanish (Mexican),,19.427,-99.1276,,
211,Middle Chinese,,34.2667,108.9,midd1344,ltc
212,Middle Dutch,,51.7,5.31667,midd1321,dum
213,Middle French,,47.5855,1.33095,midd1316,frm
214,Middle Iranian,,34.0,60.0,,
215,Middle Mon,,15.8333,100.5,,
216,Middle North Germanic,,60.0,11.0,,
217,Mikmaq,,45.0,-63.0,mikm1235,mic
218,Minangkabau,,-1.0,101.0,mina1268,min
219,Miriwung,,-15.6667,129.0,miri1266,mep
220,Mixe-Zoquean,,16.0,-96.0,,
221,Mocho,,15.3638,-92.2481,moch1257,mhc
222,Modern Khmer,,12.5,105.0,cent1989,khm
223,Modern Mon,,14.8333,100.5,monn1252,mnw
224,Mon,,14.8333,100.5,monn1252,mnw
225,Mon-Khmer,,14.5517,102.909,,
226,Mongolian,,47.0,105.0,halh1238,khk
227,Mongolic,,45.0,100.0,,
228,Mopan,,16.5833,-88.6667,mopa1243,mop
229,Mudburra,,-17.3333,132.083,mudb1240,mwd
