language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Saramaccan,0.565,0.323,0.404,0.794,0.129,0.119,0.114,0.048
Malagasy,0.339,0.127,0.180,0.886,0.244,0.098,0.136,0.012
Sakha,0.436,0.291,0.340,0.848,0.139,0.097,0.098,0.023
Dutch,0.534,0.299,0.373,0.882,0.117,0.099,0.087,0.024
English,0.520,0.337,0.403,0.825,0.213,0.106,0.134,0.039
Bezhta,0.845,0.430,0.563,0.886,0.120,0.104,0.104,0.027
Archi,0.675,0.226,0.334,0.845,0.195,0.080,0.107,0.041
Romanian,0.496,0.373,0.421,0.841,0.124,0.068,0.078,0.028
Hausa,0.651,0.385,0.477,0.914,0.190,0.137,0.147,0.022
Kanuri,0.539,0.277,0.357,0.888,0.209,0.109,0.128,0.020
Indonesian,0.719,0.494,0.574,0.914,0.172,0.166,0.141,0.026
