language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.851,0.623,0.718,0.874,0.072,0.073,0.067,0.026
Tarifiyt Berber,0.782,0.741,0.759,0.786,0.073,0.055,0.054,0.048
Romanian,0.677,0.540,0.597,0.844,0.088,0.095,0.075,0.030
Selice Romani,0.909,0.897,0.902,0.898,0.028,0.033,0.024,0.028
Lower Sorbian,0.823,0.571,0.669,0.894,0.090,0.088,0.062,0.020
English,0.686,0.563,0.617,0.759,0.108,0.057,0.074,0.040
Bezhta,0.797,0.682,0.730,0.882,0.108,0.097,0.078,0.034
Sakha,0.705,0.652,0.672,0.884,0.117,0.103,0.088,0.023
Japanese,0.864,0.688,0.765,0.870,0.055,0.049,0.040,0.017
Thai,0.715,0.475,0.566,0.853,0.115,0.095,0.087,0.029
Vietnamese,0.678,0.425,0.519,0.792,0.086,0.110,0.106,0.034
Ceq Wong,0.791,0.694,0.733,0.812,0.080,0.094,0.046,0.039
Takia,0.780,0.552,0.641,0.831,0.065,0.089,0.063,0.031
Yaqui,0.831,0.698,0.756,0.874,0.067,0.066,0.047,0.021
Zinacantán Tzotzil,0.893,0.740,0.806,0.939,0.072,0.073,0.049,0.017
Q'eqchi',0.895,0.622,0.730,0.934,0.054,0.098,0.072,0.019
Otomi,0.906,0.669,0.766,0.946,0.054,0.082,0.053,0.015
Saramaccan,0.669,0.506,0.574,0.778,0.100,0.080,0.081,0.045
Imbabura Quechua,0.873,0.782,0.822,0.895,0.054,0.082,0.051,0.040
Mapudungun,0.794,0.658,0.716,0.882,0.083,0.077,0.060,0.030
