Language,Precision,Recall,Fs,Accuracy
Swahili,1.00,0.86,0.92,0.99
Iraqw,1.00,0.71,0.83,0.98
Gawwada,1.00,1.00,1.00,1.00
Hausa,1.00,1.00,1.00,1.00
Kanuri,1.00,1.00,1.00,1.00
Tarifiyt Berber,1.00,0.50,0.67,0.96
Seychelles Creole,1.00,0.78,0.88,0.98
Romanian,1.00,0.64,0.78,0.98
Selice Romani,0.75,0.60,0.67,0.98
Lower Sorbian,1.00,0.88,0.93,0.99
Old High German,0.89,0.89,0.89,0.98
Dutch,1.00,0.50,0.67,0.97
English,0.89,0.80,0.84,0.98
Kildin Saami,1.00,0.88,0.93,0.99
Bezhta,0.89,0.89,0.89,0.99
Archi,1.00,1.00,1.00,1.00
Manange,1.00,0.67,0.80,0.98
Ket,1.00,0.58,0.74,0.96
Sakha,1.00,0.90,0.95,0.99
Oroqen,0.75,1.00,0.86,0.98
Japanese,1.00,1.00,1.00,1.00
Mandarin Chinese,1.00,1.00,1.00,1.00
Thai,1.00,0.90,0.95,1.00
Vietnamese,1.00,0.89,0.94,0.99
White Hmong,1.00,0.80,0.89,0.99
Ceq Wong,1.00,0.33,0.50,0.98
Indonesian,1.00,0.90,0.95,1.00
Malagasy,1.00,1.00,1.00,1.00
Takia,1.00,0.50,0.67,0.98
Hawaiian,1.00,1.00,1.00,1.00
Gurindji,1.00,1.00,1.00,1.00
Yaqui,1.00,1.00,1.00,1.00
Zinacantán Tzotzil,1.00,1.00,1.00,1.00
Q'eqchi',1.00,1.00,1.00,1.00
Otomi,1.00,1.00,1.00,1.00
Saramaccan,1.00,1.00,1.00,1.00
Imbabura Quechua,1.00,1.00,1.00,1.00
Kali'na,1.00,0.89,0.94,0.99
Hup,1.00,1.00,1.00,1.00
Wichí,0.88,0.88,0.88,0.99
Mapudungun,1.00,0.60,0.75,0.99
TOTAL/MEAN,0.98,0.85,0.89,0.99
