language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.758,0.608,0.672,0.859,0.062,0.093,0.071,0.027
Tarifiyt Berber,0.754,0.745,0.748,0.779,0.047,0.057,0.037,0.038
Romanian,0.687,0.518,0.586,0.835,0.085,0.105,0.089,0.035
Selice Romani,0.879,0.897,0.888,0.886,0.034,0.019,0.022,0.020
Lower Sorbian,0.729,0.632,0.669,0.906,0.099,0.089,0.055,0.016
English,0.641,0.568,0.598,0.758,0.102,0.075,0.069,0.023
Bezhta,0.736,0.628,0.674,0.856,0.100,0.065,0.064,0.024
Sakha,0.684,0.569,0.617,0.855,0.101,0.096,0.082,0.028
Japanese,0.770,0.672,0.717,0.849,0.058,0.042,0.038,0.027
Thai,0.628,0.381,0.471,0.810,0.098,0.097,0.096,0.027
Vietnamese,0.591,0.416,0.485,0.792,0.082,0.057,0.054,0.033
Ceq Wong,0.698,0.634,0.659,0.763,0.088,0.093,0.064,0.043
Takia,0.744,0.574,0.646,0.847,0.135,0.087,0.100,0.023
Yaqui,0.820,0.747,0.778,0.889,0.062,0.070,0.034,0.020
Zinacantán Tzotzil,0.849,0.691,0.758,0.923,0.078,0.096,0.069,0.021
Q'eqchi',0.830,0.625,0.709,0.930,0.109,0.105,0.095,0.028
Otomi,0.920,0.620,0.738,0.936,0.056,0.067,0.049,0.016
Saramaccan,0.647,0.546,0.585,0.800,0.134,0.058,0.069,0.033
Imbabura Quechua,0.851,0.783,0.813,0.894,0.062,0.067,0.039,0.019
Mapudungun,0.802,0.660,0.721,0.884,0.096,0.037,0.047,0.031
