language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.703,0.627,0.660,0.828,0.083,0.108,0.087,0.032
Hausa,0.671,0.508,0.574,0.806,0.080,0.078,0.061,0.025
Kanuri,0.584,0.434,0.493,0.789,0.085,0.085,0.070,0.032
Tarifiyt Berber,0.765,0.774,0.769,0.776,0.061,0.030,0.042,0.037
Romanian,0.720,0.657,0.686,0.739,0.045,0.053,0.036,0.016
Selice Romani,0.869,0.878,0.873,0.855,0.030,0.033,0.020,0.027
Lower Sorbian,0.715,0.637,0.669,0.862,0.075,0.088,0.056,0.022
Dutch,0.566,0.415,0.475,0.772,0.078,0.089,0.075,0.025
English,0.643,0.612,0.625,0.702,0.047,0.059,0.041,0.045
Kildin Saami,0.559,0.405,0.465,0.756,0.049,0.069,0.051,0.041
Bezhta,0.769,0.693,0.727,0.829,0.063,0.078,0.065,0.038
Archi,0.746,0.535,0.620,0.811,0.110,0.080,0.085,0.033
Sakha,0.615,0.551,0.578,0.778,0.064,0.060,0.037,0.026
Japanese,0.777,0.713,0.741,0.840,0.030,0.080,0.041,0.029
Thai,0.618,0.432,0.506,0.744,0.076,0.064,0.063,0.029
Vietnamese,0.593,0.419,0.486,0.774,0.090,0.075,0.061,0.028
White Hmong,0.576,0.336,0.422,0.763,0.168,0.101,0.120,0.035
Ceq Wong,0.665,0.608,0.632,0.746,0.067,0.059,0.044,0.020
Indonesian,0.648,0.605,0.623,0.765,0.065,0.073,0.057,0.033
Malagasy,0.583,0.380,0.458,0.830,0.099,0.054,0.061,0.018
Takia,0.765,0.616,0.681,0.835,0.053,0.048,0.040,0.015
Hawaiian,0.708,0.463,0.557,0.820,0.073,0.084,0.079,0.036
Yaqui,0.824,0.749,0.782,0.891,0.084,0.074,0.061,0.030
Zinacantán Tzotzil,0.851,0.664,0.740,0.916,0.074,0.089,0.050,0.015
Q'eqchi',0.805,0.616,0.691,0.925,0.081,0.118,0.082,0.023
Otomi,0.912,0.619,0.736,0.937,0.053,0.068,0.062,0.013
Saramaccan,0.608,0.579,0.591,0.704,0.100,0.057,0.074,0.051
Imbabura Quechua,0.825,0.757,0.787,0.877,0.036,0.085,0.049,0.025
Mapudungun,0.793,0.649,0.712,0.873,0.083,0.091,0.079,0.036
