language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.832,0.644,0.725,0.880,0.057,0.048,0.040,0.015
Tarifiyt Berber,0.776,0.748,0.759,0.785,0.079,0.051,0.041,0.047
Selice Romani,0.902,0.886,0.894,0.890,0.041,0.027,0.023,0.022
English,0.676,0.569,0.616,0.759,0.048,0.051,0.037,0.030
Japanese,0.857,0.685,0.761,0.867,0.037,0.053,0.042,0.025
Ceq Wong,0.768,0.697,0.728,0.814,0.100,0.094,0.081,0.040
Yaqui,0.836,0.686,0.751,0.868,0.058,0.072,0.050,0.033
Imbabura Quechua,0.862,0.786,0.821,0.900,0.063,0.074,0.066,0.031
