Language,Precision,Recall,Fs,Accuracy
Swahili,0.74,1.00,0.85,0.99
Iraqw,0.75,1.00,0.86,0.99
Gawwada,0.79,1.00,0.88,0.99
Hausa,0.95,0.97,0.96,1.00
Kanuri,0.97,1.00,0.98,1.00
Tarifiyt Berber,0.77,0.86,0.81,0.98
Seychelles Creole,0.93,0.98,0.95,1.00
Romanian,0.75,1.00,0.86,0.99
Selice Romani,0.86,1.00,0.93,0.99
Lower Sorbian,0.70,1.00,0.82,0.98
Old High German,0.68,1.00,0.81,0.98
Dutch,0.85,1.00,0.92,0.99
English,0.83,1.00,0.91,0.99
Kildin Saami,0.76,1.00,0.86,0.99
Bezhta,0.76,1.00,0.86,0.99
Archi,0.71,1.00,0.83,0.99
Manange,0.80,1.00,0.89,0.99
Ket,0.69,1.00,0.81,0.98
Sakha,0.80,1.00,0.89,0.99
Oroqen,0.69,1.00,0.81,0.98
Japanese,0.90,1.00,0.95,1.00
Mandarin Chinese,1.00,1.00,1.00,1.00
Thai,0.83,0.98,0.90,0.99
Vietnamese,0.68,1.00,0.81,0.99
White Hmong,0.91,1.00,0.95,1.00
Ceq Wong,0.56,1.00,0.71,0.98
Indonesian,0.81,1.00,0.90,0.99
Malagasy,0.85,0.97,0.91,0.99
Takia,0.55,1.00,0.71,0.98
Hawaiian,0.72,1.00,0.84,0.99
Gurindji,0.81,1.00,0.89,0.99
Yaqui,0.94,1.00,0.97,1.00
Zinacantán Tzotzil,0.76,1.00,0.87,0.99
Q'eqchi',0.89,1.00,0.94,0.99
Otomi,0.87,1.00,0.93,0.99
Saramaccan,0.79,1.00,0.88,0.99
Imbabura Quechua,0.78,1.00,0.88,0.99
Kali'na,0.73,1.00,0.85,0.99
Hup,0.86,1.00,0.92,0.99
Wichí,0.83,1.00,0.91,0.99
Mapudungun,0.88,1.00,0.94,0.99
TOTAL/MEAN,0.80,0.99,0.88,0.99
