language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.565,0.806,0.662,0.890,0.071,0.064,0.057,0.019
Tarifiyt Berber,0.671,0.756,0.708,0.760,0.052,0.069,0.038,0.039
Selice Romani,0.795,0.759,0.775,0.762,0.041,0.040,0.026,0.028
English,0.401,0.658,0.491,0.764,0.078,0.129,0.079,0.043
Japanese,0.393,0.638,0.482,0.792,0.056,0.091,0.047,0.024
Ceq Wong,0.598,0.662,0.625,0.764,0.047,0.077,0.044,0.042
Yaqui,0.534,0.760,0.625,0.849,0.065,0.122,0.079,0.026
Imbabura Quechua,0.622,0.782,0.689,0.848,0.080,0.067,0.056,0.036
