language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.700,0.623,0.658,0.825,0.074,0.054,0.057,0.027
Iraqw,0.690,0.459,0.545,0.855,0.134,0.091,0.095,0.025
Gawwada,0.590,0.357,0.438,0.862,0.101,0.107,0.100,0.029
Hausa,0.702,0.520,0.595,0.814,0.079,0.095,0.086,0.033
Kanuri,0.598,0.429,0.493,0.788,0.126,0.077,0.085,0.038
Tarifiyt Berber,0.765,0.772,0.768,0.774,0.039,0.045,0.031,0.033
Seychelles Creole,0.606,0.323,0.420,0.854,0.114,0.048,0.064,0.016
Romanian,0.716,0.668,0.690,0.743,0.037,0.045,0.031,0.030
Selice Romani,0.875,0.878,0.876,0.859,0.021,0.031,0.018,0.019
Lower Sorbian,0.713,0.602,0.649,0.849,0.103,0.059,0.062,0.035
Old High German,0.450,0.176,0.246,0.860,0.147,0.066,0.081,0.024
Dutch,0.557,0.432,0.484,0.778,0.076,0.069,0.061,0.042
English,0.630,0.601,0.613,0.696,0.062,0.073,0.055,0.043
Kildin Saami,0.562,0.403,0.469,0.758,0.042,0.038,0.036,0.043
Bezhta,0.770,0.704,0.735,0.834,0.037,0.054,0.040,0.029
Archi,0.740,0.530,0.615,0.803,0.107,0.093,0.087,0.045
Manange,0.638,0.274,0.360,0.859,0.176,0.140,0.143,0.038
Ket,0.683,0.402,0.486,0.885,0.150,0.178,0.148,0.033
Sakha,0.620,0.543,0.577,0.782,0.112,0.116,0.110,0.035
Oroqen,0.497,0.267,0.342,0.856,0.173,0.103,0.117,0.031
Japanese,0.767,0.703,0.733,0.835,0.045,0.017,0.021,0.022
Mandarin Chinese,0.190,0.008,0.016,0.811,0.341,0.014,0.026,0.041
Thai,0.622,0.450,0.521,0.754,0.069,0.045,0.045,0.030
Vietnamese,0.579,0.411,0.477,0.770,0.095,0.119,0.110,0.035
White Hmong,0.607,0.354,0.443,0.767,0.150,0.101,0.110,0.038
Ceq Wong,0.690,0.619,0.650,0.753,0.115,0.089,0.089,0.066
Indonesian,0.657,0.608,0.630,0.768,0.058,0.059,0.047,0.034
Malagasy,0.559,0.365,0.437,0.821,0.087,0.097,0.089,0.035
Takia,0.762,0.617,0.680,0.834,0.081,0.090,0.084,0.056
Hawaiian,0.727,0.475,0.572,0.826,0.086,0.077,0.078,0.037
Gurindji,0.525,0.301,0.376,0.796,0.234,0.126,0.151,0.031
Yaqui,0.839,0.764,0.798,0.897,0.046,0.066,0.035,0.024
Zinacantán Tzotzil,0.836,0.675,0.744,0.919,0.060,0.098,0.077,0.025
Q'eqchi',0.820,0.597,0.689,0.923,0.073,0.094,0.084,0.020
Otomi,0.929,0.629,0.749,0.939,0.057,0.059,0.048,0.016
Saramaccan,0.632,0.596,0.611,0.718,0.069,0.058,0.053,0.044
Imbabura Quechua,0.859,0.791,0.821,0.897,0.053,0.062,0.037,0.018
Kali'na,0.660,0.537,0.589,0.868,0.087,0.122,0.104,0.035
Hup,0.807,0.527,0.625,0.903,0.138,0.158,0.120,0.035
Wichí,0.848,0.729,0.781,0.935,0.048,0.089,0.060,0.016
Mapudungun,0.801,0.636,0.707,0.868,0.092,0.103,0.089,0.037
