language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.689,0.632,0.658,0.828,0.043,0.052,0.036,0.026
Iraqw,0.715,0.467,0.560,0.859,0.159,0.120,0.124,0.042
Gawwada,0.590,0.346,0.427,0.862,0.143,0.120,0.124,0.023
Hausa,0.693,0.514,0.588,0.811,0.079,0.059,0.058,0.026
Kanuri,0.585,0.417,0.485,0.783,0.090,0.078,0.076,0.030
Tarifiyt Berber,0.759,0.767,0.761,0.768,0.068,0.052,0.046,0.046
Seychelles Creole,0.564,0.299,0.387,0.844,0.164,0.085,0.102,0.032
Romanian,0.715,0.661,0.686,0.740,0.055,0.034,0.037,0.028
Selice Romani,0.874,0.882,0.878,0.861,0.023,0.026,0.023,0.022
Lower Sorbian,0.708,0.605,0.649,0.853,0.060,0.070,0.043,0.012
Dutch,0.547,0.417,0.469,0.778,0.127,0.103,0.105,0.027
English,0.637,0.597,0.615,0.692,0.053,0.077,0.057,0.051
Kildin Saami,0.583,0.425,0.487,0.768,0.082,0.049,0.044,0.037
Bezhta,0.773,0.699,0.733,0.831,0.063,0.045,0.045,0.034
Archi,0.745,0.535,0.621,0.806,0.062,0.053,0.045,0.027
Ket,0.746,0.415,0.520,0.891,0.131,0.113,0.099,0.037
Sakha,0.651,0.561,0.600,0.785,0.059,0.051,0.034,0.030
Japanese,0.775,0.709,0.739,0.839,0.060,0.047,0.035,0.021
Thai,0.629,0.446,0.519,0.750,0.045,0.044,0.029,0.017
Vietnamese,0.600,0.413,0.487,0.770,0.074,0.076,0.073,0.034
White Hmong,0.646,0.355,0.454,0.765,0.125,0.076,0.082,0.027
Ceq Wong,0.678,0.617,0.643,0.752,0.087,0.076,0.067,0.052
Indonesian,0.670,0.611,0.637,0.772,0.058,0.044,0.039,0.029
Malagasy,0.590,0.392,0.463,0.831,0.105,0.092,0.083,0.029
Takia,0.765,0.609,0.674,0.831,0.077,0.096,0.075,0.033
Hawaiian,0.714,0.459,0.556,0.819,0.078,0.074,0.068,0.032
Gurindji,0.502,0.304,0.376,0.798,0.131,0.086,0.099,0.055
Yaqui,0.830,0.751,0.788,0.893,0.067,0.058,0.058,0.036
Zinacantán Tzotzil,0.820,0.660,0.726,0.915,0.075,0.126,0.097,0.024
Q'eqchi',0.815,0.610,0.693,0.925,0.089,0.087,0.076,0.020
Otomi,0.934,0.603,0.729,0.935,0.042,0.077,0.054,0.007
Saramaccan,0.611,0.577,0.592,0.701,0.037,0.071,0.043,0.039
Imbabura Quechua,0.843,0.765,0.800,0.883,0.054,0.053,0.035,0.024
Kali'na,0.665,0.527,0.583,0.867,0.102,0.107,0.090,0.023
Hup,0.806,0.538,0.641,0.914,0.132,0.110,0.112,0.022
Wichí,0.853,0.740,0.790,0.934,0.094,0.096,0.083,0.029
Mapudungun,0.799,0.653,0.715,0.874,0.075,0.085,0.064,0.027
