language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.538,0.786,0.634,0.852,0.097,0.087,0.082,0.029
Hausa,0.292,0.680,0.399,0.832,0.096,0.101,0.106,0.023
Tarifiyt Berber,0.711,0.771,0.736,0.754,0.076,0.051,0.036,0.027
Romanian,0.408,0.624,0.491,0.664,0.069,0.069,0.065,0.043
Selice Romani,0.838,0.755,0.794,0.751,0.041,0.030,0.023,0.025
Lower Sorbian,0.204,0.792,0.314,0.831,0.093,0.146,0.118,0.033
English,0.508,0.675,0.577,0.714,0.061,0.077,0.058,0.042
Bezhta,0.696,0.762,0.726,0.845,0.076,0.059,0.062,0.031
Sakha,0.219,0.660,0.323,0.774,0.077,0.140,0.097,0.050
Japanese,0.405,0.671,0.504,0.766,0.066,0.074,0.069,0.034
Thai,0.106,0.589,0.176,0.792,0.063,0.273,0.096,0.038
Ceq Wong,0.587,0.661,0.617,0.761,0.105,0.113,0.096,0.050
Indonesian,0.259,0.639,0.365,0.731,0.045,0.090,0.049,0.022
Takia,0.044,0.700,0.081,0.779,0.049,0.483,0.087,0.037
Yaqui,0.553,0.772,0.643,0.854,0.068,0.060,0.059,0.027
Saramaccan,0.084,0.628,0.138,0.652,0.065,0.310,0.086,0.042
Imbabura Quechua,0.613,0.798,0.691,0.848,0.071,0.090,0.064,0.033
