language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.738,0.586,0.648,0.848,0.075,0.083,0.060,0.023
Iraqw,0.773,0.485,0.591,0.880,0.157,0.085,0.095,0.016
Hausa,0.619,0.380,0.464,0.882,0.113,0.066,0.060,0.019
Kanuri,0.560,0.342,0.419,0.850,0.133,0.079,0.085,0.029
Tarifiyt Berber,0.740,0.727,0.732,0.764,0.038,0.044,0.026,0.024
Romanian,0.675,0.529,0.591,0.841,0.050,0.054,0.040,0.017
Selice Romani,0.874,0.891,0.881,0.878,0.033,0.056,0.026,0.026
Lower Sorbian,0.728,0.624,0.666,0.903,0.096,0.091,0.072,0.026
Dutch,0.594,0.349,0.435,0.883,0.066,0.069,0.057,0.023
English,0.643,0.554,0.594,0.749,0.069,0.043,0.042,0.029
Kildin Saami,0.627,0.357,0.445,0.808,0.138,0.106,0.101,0.021
Bezhta,0.724,0.627,0.671,0.855,0.087,0.063,0.066,0.034
Ket,0.743,0.416,0.528,0.896,0.184,0.140,0.150,0.030
Sakha,0.655,0.569,0.607,0.855,0.062,0.094,0.078,0.024
Japanese,0.776,0.672,0.719,0.852,0.066,0.042,0.041,0.016
Thai,0.620,0.383,0.471,0.812,0.086,0.070,0.068,0.028
Vietnamese,0.608,0.428,0.495,0.794,0.099,0.076,0.058,0.029
White Hmong,0.594,0.283,0.368,0.787,0.166,0.094,0.101,0.035
Ceq Wong,0.700,0.639,0.663,0.766,0.095,0.068,0.048,0.039
Indonesian,0.603,0.571,0.575,0.924,0.123,0.167,0.121,0.027
Takia,0.761,0.585,0.654,0.846,0.080,0.100,0.065,0.027
Hawaiian,0.702,0.434,0.533,0.835,0.083,0.086,0.074,0.035
Yaqui,0.811,0.745,0.774,0.887,0.076,0.064,0.055,0.030
Zinacantán Tzotzil,0.852,0.702,0.763,0.926,0.056,0.130,0.081,0.023
Q'eqchi',0.827,0.604,0.689,0.928,0.063,0.116,0.075,0.014
Otomi,0.915,0.615,0.733,0.935,0.066,0.072,0.056,0.014
Saramaccan,0.700,0.610,0.645,0.832,0.097,0.077,0.044,0.024
Imbabura Quechua,0.836,0.783,0.806,0.892,0.066,0.073,0.057,0.028
Wichí,0.855,0.729,0.780,0.933,0.079,0.087,0.040,0.013
Mapudungun,0.789,0.648,0.709,0.880,0.069,0.082,0.064,0.028
