language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Kali'na,0.659,0.411,0.488,0.918,0.163,0.115,0.100,0.019
Saramaccan,0.656,0.587,0.618,0.820,0.072,0.074,0.065,0.037
Malagasy,0.615,0.332,0.430,0.912,0.265,0.132,0.175,0.017
Sakha,0.638,0.582,0.604,0.855,0.103,0.052,0.056,0.021
Oroqen,0.652,0.298,0.393,0.914,0.236,0.138,0.143,0.018
Dutch,0.535,0.321,0.395,0.881,0.122,0.080,0.082,0.023
English,0.631,0.555,0.589,0.751,0.081,0.082,0.075,0.049
Kildin Saami,0.620,0.382,0.468,0.817,0.116,0.120,0.115,0.045
Bezhta,0.762,0.634,0.689,0.861,0.065,0.081,0.056,0.025
Archi,0.586,0.265,0.356,0.853,0.184,0.062,0.077,0.036
Seychelles Creole,0.541,0.185,0.270,0.880,0.183,0.084,0.109,0.020
Romanian,0.704,0.520,0.597,0.836,0.073,0.059,0.058,0.038
Hausa,0.673,0.413,0.497,0.890,0.135,0.123,0.095,0.021
Kanuri,0.547,0.350,0.422,0.856,0.105,0.114,0.108,0.029
Indonesian,0.613,0.559,0.569,0.924,0.129,0.104,0.038,0.021
