Language,Precision,Recall,Fs,Accuracy
Swahili,0.94,0.74,0.83,0.98
Iraqw,0.82,0.20,0.32,0.83
Gawwada,1.00,0.50,0.67,0.95
Hausa,1.00,0.14,0.24,0.74
Kanuri,1.00,0.18,0.30,0.74
Tarifiyt Berber,1.00,0.24,0.38,0.91
Seychelles Creole,0.83,0.49,0.62,0.93
Romanian,0.81,0.76,0.79,0.98
Selice Romani,0.71,0.38,0.50,0.94
Lower Sorbian,1.00,0.73,0.84,0.98
Old High German,0.77,0.56,0.65,0.96
Dutch,0.60,0.30,0.40,0.90
English,0.88,0.29,0.43,0.81
Kildin Saami,0.89,0.36,0.51,0.88
Bezhta,0.85,0.38,0.52,0.91
Archi,0.93,0.45,0.61,0.91
Manange,0.91,0.59,0.71,0.96
Ket,0.92,0.38,0.53,0.91
Sakha,0.82,0.54,0.65,0.94
Oroqen,0.86,0.38,0.52,0.91
Japanese,1.00,0.92,0.96,1.00
Mandarin Chinese,0.96,0.72,0.83,0.98
Thai,0.89,0.17,0.29,0.77
Vietnamese,0.92,0.11,0.19,0.64
White Hmong,1.00,0.13,0.23,0.69
Ceq Wong,0.75,0.45,0.56,0.90
Indonesian,0.93,0.72,0.81,0.98
Malagasy,1.00,0.78,0.88,0.99
Takia,0.88,0.78,0.82,0.97
Hawaiian,0.93,0.57,0.70,0.96
Gurindji,0.71,1.00,0.83,0.99
Yaqui,1.00,0.91,0.95,1.00
Zinacantán Tzotzil,1.00,0.89,0.94,1.00
Q'eqchi',0.96,0.72,0.82,0.97
Otomi,1.00,0.66,0.79,0.97
Saramaccan,0.88,0.25,0.39,0.88
Imbabura Quechua,0.86,1.00,0.92,0.99
Kali'na,0.92,1.00,0.96,1.00
Hup,1.00,0.19,0.32,0.89
Wichí,0.94,0.88,0.91,0.99
Mapudungun,0.86,0.86,0.86,0.98
TOTAL/MEAN,0.90,0.54,0.63,0.92
