language,form,model_name,k_fold,mean_prec,mean_recall,mean_f1,mean_acc,meas_stdev_prec,meas_stdev_recall,meas_stdev_f1,meas_stdev_acc
Swahili,Tokens,neuraldual,10,0.832,0.737,0.779,0.887,0.058,0.076,0.047,0.019
Iraqw,Tokens,neuraldual,10,0.799,0.576,0.661,0.900,0.098,0.139,0.108,0.023
Gawwada,Tokens,neuraldual,10,0.640,0.368,0.462,0.868,0.182,0.131,0.152,0.036
Hausa,Tokens,neuraldual,10,0.667,0.555,0.601,0.827,0.095,0.072,0.058,0.030
Kanuri,Tokens,neuraldual,10,0.639,0.503,0.561,0.823,0.087,0.081,0.074,0.034
Tarifiyt Berber,Tokens,neuraldual,10,0.793,0.801,0.796,0.802,0.043,0.018,0.022,0.020
Seychelles Creole,Tokens,neuraldual,10,0.581,0.276,0.372,0.826,0.128,0.087,0.104,0.028
Romanian,Tokens,neuraldual,10,0.730,0.681,0.704,0.756,0.058,0.053,0.047,0.029
Selice Romani,Tokens,neuraldual,10,0.893,0.917,0.905,0.893,0.019,0.023,0.016,0.016
Lower Sorbian,Tokens,neuraldual,10,0.777,0.617,0.685,0.861,0.051,0.075,0.048,0.020
Old High German,Tokens,neuraldual,10,0.269,0.160,0.185,0.893,0.162,0.092,0.104,0.018
Dutch,Tokens,neuraldual,10,0.656,0.471,0.542,0.800,0.140,0.088,0.089,0.042
English,Tokens,neuraldual,10,0.647,0.663,0.652,0.735,0.060,0.095,0.069,0.054
Kildin Saami,Tokens,neuraldual,10,0.572,0.433,0.488,0.777,0.130,0.097,0.095,0.025
Bezhta,Tokens,neuraldual,10,0.821,0.772,0.794,0.874,0.048,0.054,0.033,0.018
Archi,Tokens,neuraldual,10,0.757,0.579,0.655,0.829,0.081,0.072,0.070,0.036
Manange,Tokens,neuraldual,10,0.645,0.355,0.425,0.886,0.178,0.187,0.163,0.041
Ket,Tokens,neuraldual,10,0.778,0.548,0.633,0.929,0.126,0.162,0.135,0.021
Sakha,Tokens,neuraldual,10,0.685,0.615,0.647,0.815,0.037,0.051,0.035,0.020
Oroqen,Tokens,neuraldual,10,0.607,0.316,0.406,0.871,0.199,0.079,0.100,0.030
