language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Kali'na,0.665,0.511,0.574,0.861,0.125,0.098,0.095,0.023
Saramaccan,0.618,0.584,0.599,0.709,0.047,0.071,0.054,0.044
Malagasy,0.557,0.373,0.441,0.828,0.162,0.092,0.103,0.023
Sakha,0.619,0.541,0.575,0.779,0.102,0.104,0.096,0.027
Oroqen,0.494,0.293,0.359,0.859,0.085,0.109,0.102,0.041
Dutch,0.554,0.418,0.475,0.776,0.055,0.075,0.065,0.020
English,0.650,0.595,0.620,0.693,0.052,0.059,0.045,0.051
Kildin Saami,0.582,0.411,0.474,0.762,0.102,0.093,0.074,0.044
Bezhta,0.785,0.704,0.741,0.836,0.071,0.058,0.049,0.034
Archi,0.739,0.544,0.621,0.809,0.076,0.068,0.044,0.031
Seychelles Creole,0.527,0.285,0.369,0.844,0.154,0.084,0.108,0.012
Romanian,0.729,0.664,0.692,0.742,0.066,0.060,0.039,0.032
Hausa,0.684,0.501,0.575,0.803,0.123,0.070,0.077,0.029
Kanuri,0.585,0.414,0.483,0.781,0.064,0.037,0.039,0.028
Indonesian,0.659,0.612,0.631,0.771,0.078,0.072,0.055,0.024
