Language,Precision,Recall,Fs,Accuracy
Swahili,0.96,0.96,0.96,0.99
Iraqw,0.90,0.90,0.90,0.98
Gawwada,1.00,0.78,0.88,0.98
Hausa,1.00,1.00,1.00,1.00
Kanuri,1.00,0.95,0.97,0.99
Tarifiyt Berber,1.00,0.80,0.89,0.97
Seychelles Creole,0.97,0.84,0.90,0.98
Romanian,0.91,0.88,0.90,0.98
Selice Romani,0.92,0.92,0.92,0.99
Lower Sorbian,1.00,0.91,0.95,0.99
Old High German,1.00,0.88,0.94,0.99
Dutch,0.83,0.87,0.85,0.98
English,1.00,0.92,0.96,0.99
Kildin Saami,1.00,0.90,0.95,0.99
Bezhta,0.95,0.91,0.93,0.99
Archi,1.00,1.00,1.00,1.00
Manange,0.96,1.00,0.98,1.00
Ket,1.00,0.94,0.97,0.99
Sakha,1.00,0.93,0.96,0.99
Oroqen,0.95,0.84,0.89,0.98
Japanese,1.00,1.00,1.00,1.00
Mandarin Chinese,0.98,1.00,0.99,1.00
Thai,0.97,0.92,0.95,0.99
Vietnamese,1.00,1.00,1.00,1.00
White Hmong,1.00,1.00,1.00,1.00
Ceq Wong,0.93,1.00,0.97,0.99
Indonesian,0.97,1.00,0.99,1.00
Malagasy,1.00,0.97,0.98,1.00
Takia,1.00,0.94,0.97,0.99
Hawaiian,1.00,1.00,1.00,1.00
Gurindji,1.00,1.00,1.00,1.00
Yaqui,1.00,1.00,1.00,1.00
Zinacantán Tzotzil,1.00,0.96,0.98,1.00
Q'eqchi',0.97,0.93,0.95,0.99
Otomi,1.00,1.00,1.00,1.00
Saramaccan,1.00,0.96,0.98,0.99
Imbabura Quechua,1.00,1.00,1.00,1.00
Kali'na,1.00,1.00,1.00,1.00
Hup,1.00,1.00,1.00,1.00
Wichí,1.00,1.00,1.00,1.00
Mapudungun,1.00,0.96,0.98,1.00
TOTAL/MEAN,0.98,0.95,0.96,0.99
