language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.799,0.645,0.712,0.845,0.057,0.041,0.030,0.018
Hausa,0.706,0.544,0.611,0.826,0.086,0.050,0.047,0.022
Kanuri,0.655,0.437,0.522,0.791,0.082,0.063,0.063,0.018
Tarifiyt Berber,0.792,0.797,0.793,0.799,0.063,0.057,0.046,0.042
Romanian,0.721,0.687,0.703,0.756,0.031,0.038,0.030,0.031
Selice Romani,0.871,0.891,0.881,0.865,0.026,0.019,0.014,0.010
Lower Sorbian,0.743,0.600,0.663,0.854,0.126,0.084,0.095,0.030
Dutch,0.614,0.465,0.525,0.797,0.088,0.096,0.080,0.029
English,0.608,0.643,0.621,0.715,0.089,0.094,0.069,0.050
Kildin Saami,0.597,0.448,0.506,0.782,0.099,0.069,0.054,0.028
Bezhta,0.836,0.754,0.789,0.867,0.078,0.067,0.037,0.024
Archi,0.739,0.571,0.638,0.825,0.071,0.093,0.060,0.032
Sakha,0.622,0.589,0.602,0.797,0.082,0.100,0.081,0.034
Japanese,0.834,0.700,0.761,0.845,0.057,0.042,0.043,0.027
Thai,0.669,0.544,0.595,0.802,0.081,0.102,0.079,0.048
Vietnamese,0.618,0.430,0.502,0.776,0.088,0.090,0.073,0.044
White Hmong,0.625,0.359,0.452,0.769,0.081,0.052,0.045,0.026
Ceq Wong,0.794,0.716,0.748,0.828,0.063,0.116,0.074,0.039
Indonesian,0.697,0.614,0.651,0.776,0.064,0.045,0.044,0.036
Malagasy,0.619,0.335,0.431,0.799,0.097,0.079,0.082,0.035
Takia,0.778,0.568,0.651,0.807,0.063,0.109,0.080,0.051
Hawaiian,0.780,0.399,0.525,0.775,0.078,0.069,0.066,0.033
Yaqui,0.833,0.698,0.758,0.874,0.057,0.055,0.043,0.023
Zinacantán Tzotzil,0.911,0.742,0.814,0.938,0.054,0.106,0.068,0.025
Q'eqchi',0.852,0.624,0.709,0.930,0.082,0.140,0.090,0.020
Otomi,0.910,0.646,0.754,0.942,0.062,0.062,0.054,0.015
Saramaccan,0.610,0.556,0.577,0.690,0.103,0.088,0.080,0.039
Imbabura Quechua,0.874,0.797,0.829,0.900,0.064,0.084,0.032,0.017
Mapudungun,0.813,0.656,0.725,0.876,0.090,0.061,0.068,0.037
