Language,Precision,Recall,Fs,Accuracy
Swahili,0.98,0.91,0.95,0.98
Iraqw,0.92,0.84,0.88,0.95
Gawwada,0.94,0.80,0.86,0.95
Hausa,0.95,0.85,0.90,0.95
Kanuri,0.94,0.98,0.96,0.98
Tarifiyt Berber,1.00,0.69,0.81,0.93
Seychelles Creole,0.94,0.80,0.87,0.95
Romanian,0.97,0.94,0.95,0.98
Selice Romani,0.86,0.97,0.91,0.97
Lower Sorbian,0.93,0.91,0.92,0.97
Old High German,0.92,0.85,0.89,0.96
Dutch,0.75,0.72,0.74,0.89
English,0.93,0.56,0.70,0.86
Kildin Saami,0.89,0.78,0.83,0.93
Bezhta,0.96,0.81,0.88,0.95
Archi,1.00,0.76,0.86,0.94
Manange,0.88,0.84,0.86,0.95
Ket,0.98,0.83,0.90,0.96
Sakha,0.99,0.99,0.99,0.99
Oroqen,0.86,0.86,0.86,0.94
Japanese,0.97,0.98,0.98,0.99
Mandarin Chinese,0.99,0.87,0.93,0.97
Thai,0.98,0.81,0.89,0.95
Vietnamese,1.00,0.69,0.82,0.92
White Hmong,0.96,0.94,0.95,0.98
Ceq Wong,0.89,0.89,0.89,0.95
Indonesian,0.97,0.97,0.97,0.99
Malagasy,0.99,0.99,0.99,0.99
Takia,0.86,0.90,0.88,0.96
Hawaiian,1.00,1.00,1.00,1.00
Gurindji,0.98,1.00,0.99,1.00
Yaqui,0.95,0.94,0.94,0.98
Zinacantán Tzotzil,1.00,0.92,0.96,0.99
Q'eqchi',0.98,0.83,0.90,0.96
Otomi,0.97,0.88,0.92,0.97
Saramaccan,0.95,0.91,0.93,0.97
Imbabura Quechua,0.91,0.98,0.94,0.98
Kali'na,0.95,1.00,0.98,0.99
Hup,0.98,0.95,0.96,0.98
Wichí,0.95,0.98,0.97,0.99
Mapudungun,0.98,1.00,0.99,1.00
TOTAL/MEAN,0.95,0.88,0.91,0.96
