language,form,model_name,k_fold,mean_prec,mean_recall,mean_f1,mean_acc,meas_stdev_prec,meas_stdev_recall,meas_stdev_f1,meas_stdev_acc
Swahili,Tokens,ngram,10,0.690,0.661,0.673,0.840,0.077,0.062,0.053,0.029
Iraqw,Tokens,ngram,10,0.690,0.408,0.509,0.832,0.158,0.083,0.102,0.033
Gawwada,Tokens,ngram,10,0.505,0.397,0.436,0.888,0.176,0.121,0.133,0.022
Hausa,Tokens,ngram,10,0.661,0.411,0.505,0.746,0.077,0.067,0.067,0.037
Kanuri,Tokens,ngram,10,0.580,0.317,0.402,0.704,0.094,0.099,0.090,0.025
Tarifiyt Berber,Tokens,ngram,10,0.747,0.772,0.759,0.770,0.045,0.041,0.038,0.029
Seychelles Creole,Tokens,ngram,10,0.432,0.230,0.295,0.820,0.130,0.090,0.100,0.026
Romanian,Tokens,ngram,10,0.669,0.674,0.671,0.739,0.046,0.027,0.031,0.022
Selice Romani,Tokens,ngram,10,0.841,0.889,0.864,0.848,0.034,0.031,0.020,0.025
Lower Sorbian,Tokens,ngram,10,0.616,0.595,0.603,0.845,0.063,0.074,0.060,0.021
Old High German,Tokens,ngram,10,0.264,0.186,0.206,0.893,0.148,0.160,0.135,0.016
Dutch,Tokens,ngram,10,0.501,0.420,0.456,0.780,0.079,0.061,0.067,0.020
English,Tokens,ngram,10,0.668,0.586,0.623,0.689,0.070,0.052,0.053,0.045
Kildin Saami,Tokens,ngram,10,0.590,0.363,0.447,0.724,0.097,0.057,0.058,0.033
Bezhta,Tokens,ngram,10,0.786,0.718,0.746,0.841,0.080,0.068,0.040,0.024
Archi,Tokens,ngram,10,0.740,0.471,0.569,0.765,0.106,0.092,0.083,0.034
Manange,Tokens,ngram,10,0.447,0.167,0.240,0.822,0.196,0.078,0.106,0.036
Ket,Tokens,ngram,10,0.678,0.313,0.419,0.849,0.121,0.102,0.097,0.034
Sakha,Tokens,ngram,10,0.583,0.464,0.516,0.728,0.060,0.056,0.055,0.034
Oroqen,Tokens,ngram,10,0.404,0.307,0.329,0.881,0.187,0.147,0.143,0.023
Japanese,Tokens,ngram,10,0.692,0.694,0.690,0.816,0.071,0.061,0.046,0.033
Mandarin Chinese,Tokens,ngram,10,0.050,0.003,0.006,0.846,0.158,0.011,0.020,0.017
Thai,Tokens,ngram,10,0.710,0.384,0.497,0.692,0.062,0.045,0.050,0.033
Vietnamese,Tokens,ngram,10,0.634,0.323,0.427,0.690,0.094,0.060,0.071,0.036
White Hmong,Tokens,ngram,10,0.670,0.301,0.413,0.712,0.083,0.061,0.065,0.039
Ceq Wong,Tokens,ngram,10,0.724,0.629,0.671,0.766,0.071,0.068,0.058,0.039
Indonesian,Tokens,ngram,10,0.519,0.651,0.576,0.771,0.063,0.077,0.061,0.030
Malagasy,Tokens,ngram,10,0.451,0.375,0.400,0.836,0.155,0.170,0.158,0.036
Takia,Tokens,ngram,10,0.773,0.699,0.730,0.872,0.084,0.083,0.066,0.024
Hawaiian,Tokens,ngram,10,0.639,0.389,0.479,0.778,0.055,0.076,0.063,0.025
Gurindji,Tokens,ngram,10,0.472,0.514,0.482,0.872,0.134,0.158,0.125,0.051
Yaqui,Tokens,ngram,10,0.781,0.737,0.756,0.879,0.051,0.077,0.046,0.030
Zinacantán Tzotzil,Tokens,ngram,10,0.685,0.491,0.570,0.860,0.158,0.132,0.139,0.031
Q'eqchi',Tokens,ngram,10,0.689,0.412,0.513,0.865,0.073,0.076,0.072,0.022
Otomi,Tokens,ngram,10,0.865,0.587,0.696,0.927,0.075,0.062,0.050,0.010
Saramaccan,Tokens,ngram,10,0.697,0.572,0.626,0.708,0.045,0.059,0.038,0.021
Imbabura Quechua,Tokens,ngram,10,0.792,0.821,0.804,0.894,0.067,0.058,0.046,0.021
Kali'na,Tokens,ngram,10,0.516,0.742,0.603,0.902,0.043,0.128,0.050,0.018
Hup,Tokens,ngram,10,0.797,0.378,0.509,0.846,0.108,0.080,0.087,0.031
Wichí,Tokens,ngram,10,0.810,0.723,0.759,0.932,0.120,0.115,0.098,0.019
Mapudungun,Tokens,ngram,10,0.723,0.662,0.687,0.870,0.098,0.061,0.059,0.027
