Language,Precision,Recall,Fs,Accuracy
Swahili,1.00,0.91,0.95,0.99
Iraqw,1.00,0.80,0.89,0.99
Gawwada,1.00,0.86,0.92,0.99
Hausa,1.00,0.83,0.91,0.99
Kanuri,1.00,0.88,0.93,0.99
Tarifiyt Berber,1.00,0.67,0.80,0.99
Seychelles Creole,1.00,0.93,0.96,1.00
Romanian,1.00,0.62,0.76,0.98
Selice Romani,1.00,0.92,0.96,0.99
Lower Sorbian,1.00,0.83,0.91,0.99
Old High German,1.00,0.80,0.89,0.98
Dutch,1.00,0.90,0.95,0.99
English,1.00,0.83,0.91,0.99
Kildin Saami,1.00,0.80,0.89,0.99
Bezhta,1.00,0.40,0.57,0.98
Archi,1.00,1.00,1.00,1.00
Manange,1.00,1.00,1.00,1.00
Ket,1.00,0.62,0.77,0.98
Sakha,1.00,0.67,0.80,0.99
Oroqen,1.00,0.90,0.95,0.99
Japanese,1.00,1.00,1.00,1.00
Mandarin Chinese,1.00,1.00,1.00,1.00
Thai,1.00,0.93,0.96,1.00
Vietnamese,1.00,0.83,0.91,0.99
White Hmong,1.00,1.00,1.00,1.00
Ceq Wong,1.00,1.00,1.00,1.00
Indonesian,1.00,0.70,0.82,0.99
Malagasy,1.00,0.83,0.91,0.99
Takia,0.86,0.75,0.80,0.98
Hawaiian,1.00,0.90,0.95,0.99
Gurindji,1.00,1.00,1.00,1.00
Yaqui,1.00,0.89,0.94,0.99
Zinacantán Tzotzil,1.00,0.67,0.80,0.99
Q'eqchi',1.00,0.82,0.90,0.99
Otomi,1.00,0.95,0.97,1.00
Saramaccan,1.00,0.80,0.89,0.99
Imbabura Quechua,1.00,1.00,1.00,1.00
Kali'na,1.00,0.88,0.93,0.99
Hup,1.00,1.00,1.00,1.00
Wichí,1.00,0.91,0.95,0.99
Mapudungun,1.00,0.75,0.86,0.99
TOTAL/MEAN,1.00,0.85,0.91,0.99
