language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.762,0.649,0.699,0.849,0.090,0.111,0.096,0.020
Hausa,0.685,0.518,0.588,0.812,0.083,0.054,0.058,0.021
Tarifiyt Berber,0.788,0.800,0.793,0.799,0.046,0.037,0.032,0.033
Romanian,0.718,0.670,0.692,0.744,0.048,0.055,0.039,0.032
Selice Romani,0.858,0.900,0.878,0.864,0.038,0.024,0.025,0.024
Lower Sorbian,0.764,0.617,0.681,0.861,0.079,0.048,0.049,0.021
English,0.677,0.622,0.644,0.714,0.080,0.044,0.026,0.014
Bezhta,0.804,0.748,0.772,0.861,0.078,0.095,0.073,0.038
Sakha,0.653,0.610,0.629,0.812,0.066,0.060,0.056,0.017
Japanese,0.807,0.695,0.745,0.837,0.038,0.042,0.029,0.024
Thai,0.637,0.495,0.554,0.784,0.078,0.080,0.067,0.016
Ceq Wong,0.792,0.722,0.751,0.826,0.080,0.082,0.050,0.036
Indonesian,0.667,0.615,0.639,0.773,0.057,0.053,0.047,0.035
Takia,0.773,0.562,0.647,0.807,0.096,0.052,0.044,0.023
Yaqui,0.842,0.690,0.756,0.872,0.076,0.068,0.060,0.026
Saramaccan,0.606,0.567,0.582,0.698,0.098,0.046,0.060,0.023
Imbabura Quechua,0.861,0.760,0.807,0.887,0.072,0.042,0.051,0.025
