language,form,model_name,k_fold,mean_prec,mean_recall,mean_f1,mean_acc,meas_stdev_prec,meas_stdev_recall,meas_stdev_f1,meas_stdev_acc
Swahili,Tokens,bagofsounds,10,0.591,0.803,0.679,0.867,0.070,0.054,0.059,0.028
Iraqw,Tokens,bagofsounds,10,0.421,0.714,0.509,0.900,0.153,0.168,0.133,0.027
Gawwada,Tokens,bagofsounds,10,0.170,0.542,0.254,0.916,0.119,0.354,0.169,0.028
Hausa,Tokens,bagofsounds,10,0.334,0.707,0.450,0.839,0.064,0.158,0.080,0.032
Kanuri,Tokens,bagofsounds,10,0.077,0.742,0.136,0.831,0.033,0.194,0.053,0.021
Tarifiyt Berber,Tokens,bagofsounds,10,0.706,0.769,0.735,0.753,0.069,0.044,0.048,0.033
Seychelles Creole,Tokens,bagofsounds,10,0.000,0.000,0.000,0.910,0.000,0.000,0.000,0.017
Romanian,Tokens,bagofsounds,10,0.407,0.620,0.489,0.662,0.046,0.054,0.037,0.022
Selice Romani,Tokens,bagofsounds,10,0.828,0.774,0.799,0.764,0.032,0.061,0.041,0.033
Lower Sorbian,Tokens,bagofsounds,10,0.192,0.761,0.303,0.829,0.067,0.179,0.086,0.034
Old High German,Tokens,bagofsounds,10,0.000,0.000,0.000,0.947,0.000,0.000,0.000,0.023
Dutch,Tokens,bagofsounds,10,0.010,0.183,0.018,0.814,0.016,0.337,0.029,0.040
English,Tokens,bagofsounds,10,0.521,0.685,0.589,0.722,0.062,0.063,0.050,0.039
Kildin Saami,Tokens,bagofsounds,10,0.015,0.300,0.028,0.806,0.019,0.422,0.036,0.023
Bezhta,Tokens,bagofsounds,10,0.742,0.755,0.747,0.849,0.055,0.060,0.050,0.035
Archi,Tokens,bagofsounds,10,0.258,0.721,0.373,0.817,0.073,0.204,0.094,0.033
Manange,Tokens,bagofsounds,10,0.087,0.550,0.147,0.941,0.089,0.497,0.145,0.024
Ket,Tokens,bagofsounds,10,0.327,0.823,0.450,0.934,0.120,0.198,0.137,0.029
Sakha,Tokens,bagofsounds,10,0.192,0.607,0.288,0.767,0.069,0.192,0.097,0.030
Oroqen,Tokens,bagofsounds,10,0.040,0.175,0.061,0.925,0.097,0.374,0.141,0.022
Japanese,Tokens,bagofsounds,10,0.414,0.679,0.513,0.767,0.039,0.079,0.043,0.030
Mandarin Chinese,Tokens,bagofsounds,10,0.000,0.000,0.000,0.993,0.000,0.000,0.000,0.007
Thai,Tokens,bagofsounds,10,0.285,0.587,0.381,0.801,0.040,0.104,0.051,0.028
Vietnamese,Tokens,bagofsounds,10,0.289,0.623,0.393,0.836,0.059,0.129,0.077,0.029
White Hmong,Tokens,bagofsounds,10,0.082,0.498,0.139,0.851,0.072,0.400,0.119,0.023
Ceq Wong,Tokens,bagofsounds,10,0.588,0.654,0.616,0.757,0.103,0.076,0.083,0.064
Indonesian,Tokens,bagofsounds,10,0.343,0.664,0.446,0.747,0.070,0.095,0.071,0.026
Malagasy,Tokens,bagofsounds,10,0.019,0.400,0.035,0.877,0.024,0.516,0.046,0.022
Takia,Tokens,bagofsounds,10,0.655,0.707,0.675,0.859,0.122,0.136,0.114,0.039
Hawaiian,Tokens,bagofsounds,10,0.138,0.607,0.216,0.852,0.094,0.358,0.141,0.037
Gurindji,Tokens,bagofsounds,10,0.000,0.000,0.000,0.875,0.000,0.000,0.000,0.030
Yaqui,Tokens,bagofsounds,10,0.562,0.779,0.649,0.856,0.072,0.068,0.053,0.028
Zinacantán Tzotzil,Tokens,bagofsounds,10,0.424,0.941,0.574,0.913,0.116,0.053,0.121,0.025
Q'eqchi',Tokens,bagofsounds,10,0.530,0.799,0.635,0.938,0.105,0.122,0.109,0.018
Otomi,Tokens,bagofsounds,10,0.678,0.853,0.751,0.957,0.124,0.070,0.094,0.015
Saramaccan,Tokens,bagofsounds,10,0.192,0.584,0.281,0.661,0.065,0.147,0.084,0.044
Imbabura Quechua,Tokens,bagofsounds,10,0.608,0.808,0.690,0.849,0.075,0.093,0.060,0.023
Kali'na,Tokens,bagofsounds,10,0.168,0.883,0.273,0.881,0.105,0.315,0.155,0.024
Hup,Tokens,bagofsounds,10,0.478,0.803,0.586,0.937,0.173,0.083,0.150,0.021
Wichí,Tokens,bagofsounds,10,0.521,0.712,0.595,0.902,0.111,0.121,0.101,0.026
Mapudungun,Tokens,bagofsounds,10,0.554,0.837,0.662,0.888,0.089,0.072,0.072,0.028
