Language,Precision,Recall,Fs,Accuracy
Swahili,1.00,1.00,1.00,1.00
Iraqw,1.00,0.80,0.89,0.99
Gawwada,1.00,1.00,1.00,1.00
Hausa,0.78,0.78,0.78,0.98
Kanuri,1.00,1.00,1.00,1.00
Tarifiyt Berber,1.00,0.85,0.92,0.99
Seychelles Creole,1.00,1.00,1.00,1.00
Romanian,0.88,0.64,0.74,0.98
Selice Romani,0.75,0.67,0.71,0.97
Lower Sorbian,1.00,0.71,0.83,0.98
Old High German,0.80,0.80,0.80,0.97
Dutch,0.75,0.60,0.67,0.98
English,1.00,0.67,0.80,0.99
Kildin Saami,1.00,0.75,0.86,0.99
Bezhta,1.00,0.73,0.84,0.98
Archi,0.71,0.83,0.77,0.98
Manange,1.00,0.75,0.86,0.99
Ket,1.00,0.43,0.60,0.97
Sakha,0.93,0.93,0.93,0.99
Oroqen,0.60,1.00,0.75,0.98
Japanese,1.00,1.00,1.00,1.00
Mandarin Chinese,1.00,1.00,1.00,1.00
Thai,0.92,0.73,0.81,0.98
Vietnamese,0.80,0.57,0.67,0.97
White Hmong,1.00,1.00,1.00,1.00
Ceq Wong,1.00,0.57,0.73,0.97
Indonesian,0.89,1.00,0.94,1.00
Malagasy,1.00,0.89,0.94,0.99
Takia,1.00,0.80,0.89,0.98
Hawaiian,1.00,0.75,0.86,0.99
Gurindji,1.00,0.88,0.93,0.99
Yaqui,0.90,1.00,0.95,0.99
Zinacantán Tzotzil,1.00,0.89,0.94,0.99
Q'eqchi',1.00,1.00,1.00,1.00
Otomi,0.91,0.91,0.91,0.99
Saramaccan,1.00,1.00,1.00,1.00
Imbabura Quechua,0.90,0.90,0.90,0.98
Kali'na,1.00,0.75,0.86,0.99
Hup,0.83,1.00,0.91,0.99
Wichí,1.00,0.88,0.93,0.99
Mapudungun,0.60,1.00,0.75,0.99
TOTAL/MEAN,0.93,0.84,0.87,0.99
