Language,Precision,Recall,Fs,Accuracy
Swahili,1.00,0.90,0.95,0.99
Iraqw,1.00,1.00,1.00,1.00
Gawwada,1.00,1.00,1.00,1.00
Hausa,1.00,1.00,1.00,1.00
Kanuri,1.00,1.00,1.00,1.00
Tarifiyt Berber,1.00,0.93,0.96,0.99
Seychelles Creole,0.93,0.93,0.93,0.99
Romanian,1.00,0.96,0.98,1.00
Selice Romani,1.00,0.93,0.96,0.99
Lower Sorbian,0.94,0.94,0.94,0.99
Old High German,0.89,1.00,0.94,0.99
Dutch,0.86,0.86,0.86,0.97
English,0.92,0.79,0.85,0.97
Kildin Saami,0.92,0.75,0.83,0.97
Bezhta,1.00,0.73,0.84,0.98
Archi,1.00,0.91,0.95,0.99
Manange,1.00,1.00,1.00,1.00
Ket,0.92,0.85,0.88,0.98
Sakha,0.94,1.00,0.97,0.99
Oroqen,1.00,0.89,0.94,0.99
Japanese,1.00,0.96,0.98,1.00
Mandarin Chinese,1.00,1.00,1.00,1.00
Thai,0.90,1.00,0.95,0.99
Vietnamese,0.89,0.89,0.89,0.97
White Hmong,1.00,1.00,1.00,1.00
Ceq Wong,0.86,0.55,0.67,0.94
Indonesian,0.83,0.79,0.81,0.97
Malagasy,1.00,1.00,1.00,1.00
Takia,0.93,1.00,0.96,0.99
Hawaiian,1.00,1.00,1.00,1.00
Gurindji,1.00,1.00,1.00,1.00
Yaqui,1.00,1.00,1.00,1.00
Zinacantán Tzotzil,0.93,1.00,0.96,0.99
Q'eqchi',0.88,1.00,0.94,0.99
Otomi,0.94,1.00,0.97,1.00
Saramaccan,1.00,0.80,0.89,0.98
Imbabura Quechua,1.00,1.00,1.00,1.00
Kali'na,1.00,0.92,0.96,0.99
Hup,1.00,0.92,0.96,0.99
Wichí,0.90,1.00,0.95,0.99
Mapudungun,1.00,1.00,1.00,1.00
TOTAL/MEAN,0.96,0.93,0.94,0.99
