language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.783,0.680,0.723,0.857,0.072,0.089,0.057,0.020
Iraqw,0.787,0.560,0.647,0.894,0.155,0.146,0.134,0.031
Gawwada,0.661,0.367,0.457,0.864,0.177,0.093,0.080,0.042
Hausa,0.654,0.527,0.579,0.813,0.081,0.066,0.048,0.028
Kanuri,0.635,0.444,0.518,0.794,0.089,0.071,0.060,0.041
Tarifiyt Berber,0.764,0.795,0.778,0.788,0.054,0.042,0.033,0.029
Seychelles Creole,0.568,0.272,0.364,0.828,0.089,0.048,0.046,0.025
Romanian,0.724,0.698,0.710,0.764,0.028,0.037,0.022,0.019
Selice Romani,0.872,0.905,0.888,0.874,0.022,0.029,0.017,0.019
Lower Sorbian,0.744,0.605,0.664,0.856,0.089,0.084,0.072,0.031
Old High German,0.351,0.189,0.241,0.887,0.156,0.060,0.078,0.023
Dutch,0.625,0.492,0.545,0.807,0.149,0.105,0.103,0.051
English,0.651,0.624,0.637,0.716,0.046,0.051,0.042,0.021
Kildin Saami,0.560,0.454,0.497,0.790,0.093,0.099,0.087,0.024
Bezhta,0.799,0.759,0.778,0.863,0.052,0.035,0.035,0.030
Archi,0.747,0.603,0.664,0.840,0.073,0.071,0.052,0.029
Manange,0.593,0.293,0.380,0.881,0.162,0.126,0.137,0.026
Ket,0.779,0.470,0.582,0.906,0.107,0.099,0.100,0.023
Sakha,0.632,0.599,0.610,0.800,0.073,0.074,0.047,0.029
Oroqen,0.530,0.271,0.354,0.857,0.137,0.091,0.101,0.035
Japanese,0.822,0.723,0.767,0.853,0.041,0.060,0.034,0.022
Mandarin Chinese,0.050,0.006,0.011,0.955,0.158,0.019,0.033,0.019
Thai,0.655,0.526,0.581,0.799,0.055,0.052,0.038,0.018
Vietnamese,0.668,0.463,0.544,0.795,0.073,0.064,0.053,0.030
White Hmong,0.597,0.373,0.457,0.785,0.139,0.073,0.091,0.031
Ceq Wong,0.770,0.710,0.736,0.818,0.044,0.104,0.072,0.047
Indonesian,0.689,0.619,0.651,0.778,0.035,0.061,0.045,0.029
Malagasy,0.602,0.373,0.452,0.821,0.137,0.095,0.083,0.035
Takia,0.808,0.618,0.697,0.839,0.059,0.070,0.044,0.019
Hawaiian,0.783,0.430,0.554,0.797,0.064,0.054,0.057,0.032
Gurindji,0.428,0.232,0.291,0.753,0.170,0.094,0.099,0.046
Yaqui,0.819,0.736,0.773,0.885,0.067,0.069,0.054,0.031
Zinacantán Tzotzil,0.906,0.751,0.815,0.940,0.060,0.097,0.041,0.021
Q'eqchi',0.852,0.651,0.733,0.935,0.076,0.101,0.075,0.023
Otomi,0.908,0.709,0.793,0.954,0.074,0.112,0.091,0.019
Saramaccan,0.622,0.589,0.603,0.714,0.074,0.093,0.080,0.037
Imbabura Quechua,0.861,0.780,0.816,0.892,0.065,0.046,0.035,0.022
Kali'na,0.714,0.506,0.590,0.857,0.095,0.087,0.084,0.029
Hup,0.869,0.629,0.727,0.936,0.122,0.086,0.089,0.019
Wichí,0.873,0.705,0.773,0.931,0.103,0.123,0.090,0.024
Mapudungun,0.816,0.664,0.727,0.879,0.105,0.105,0.087,0.040
