language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Kali'na,0.390,0.396,0.381,0.925,0.206,0.153,0.168,0.021
Saramaccan,0.627,0.504,0.549,0.771,0.103,0.082,0.059,0.044
Malagasy,0.714,0.302,0.421,0.888,0.145,0.082,0.099,0.021
Sakha,0.708,0.708,0.704,0.896,0.116,0.084,0.089,0.034
Oroqen,0.435,0.275,0.330,0.921,0.199,0.146,0.155,0.022
Dutch,0.457,0.313,0.366,0.884,0.095,0.055,0.053,0.020
English,0.652,0.589,0.615,0.772,0.150,0.091,0.109,0.050
Kildin Saami,0.588,0.411,0.474,0.838,0.136,0.149,0.132,0.045
Bezhta,0.829,0.668,0.737,0.881,0.094,0.052,0.054,0.023
Archi,0.237,0.215,0.218,0.876,0.176,0.156,0.154,0.028
Seychelles Creole,0.331,0.185,0.230,0.900,0.112,0.114,0.118,0.022
Romanian,0.654,0.514,0.569,0.833,0.073,0.112,0.077,0.035
Hausa,0.610,0.419,0.482,0.895,0.129,0.099,0.066,0.013
Kanuri,0.643,0.326,0.424,0.838,0.189,0.083,0.092,0.018
Indonesian,0.819,0.559,0.652,0.926,0.132,0.134,0.108,0.028
