Language,Precision,Recall,Fs,Accuracy
Swahili,1.00,0.92,0.96,0.99
Iraqw,1.00,0.86,0.92,0.99
Gawwada,1.00,0.57,0.73,0.97
Hausa,1.00,0.62,0.76,0.97
Kanuri,1.00,0.56,0.72,0.96
Tarifiyt Berber,0.90,0.75,0.82,0.98
Seychelles Creole,0.83,0.71,0.77,0.99
Romanian,0.86,0.86,0.86,0.98
Selice Romani,0.50,0.50,0.50,0.97
Lower Sorbian,0.90,0.69,0.78,0.97
Old High German,0.80,0.57,0.67,0.97
Dutch,0.75,0.60,0.67,0.98
English,1.00,1.00,1.00,1.00
Kildin Saami,1.00,0.75,0.86,0.99
Bezhta,0.86,0.55,0.67,0.96
Archi,0.86,0.67,0.75,0.97
Manange,1.00,0.33,0.50,0.96
Ket,1.00,0.75,0.86,0.99
Sakha,0.92,0.80,0.86,0.97
Oroqen,0.83,0.42,0.56,0.93
Japanese,1.00,0.80,0.89,0.99
Mandarin Chinese,0.91,1.00,0.95,1.00
Thai,0.90,0.90,0.90,0.99
Vietnamese,1.00,0.43,0.60,0.90
White Hmong,1.00,0.82,0.90,0.99
Ceq Wong,0.50,0.43,0.46,0.93
Indonesian,0.86,0.92,0.89,0.99
Malagasy,1.00,0.90,0.95,0.99
Takia,0.75,0.86,0.80,0.98
Hawaiian,1.00,0.80,0.89,0.99
Gurindji,0.86,1.00,0.92,0.99
Yaqui,1.00,0.83,0.91,0.99
Zinacantán Tzotzil,0.82,1.00,0.90,0.99
Q'eqchi',0.88,0.88,0.88,0.99
Otomi,0.80,0.92,0.86,0.98
Saramaccan,1.00,0.69,0.82,0.97
Imbabura Quechua,0.89,0.89,0.89,0.98
Kali'na,1.00,0.86,0.92,0.99
Hup,0.75,1.00,0.86,0.99
Wichí,1.00,0.86,0.92,0.99
Mapudungun,0.88,0.88,0.88,0.99
TOTAL/MEAN,0.90,0.76,0.81,0.98
