language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.551,0.792,0.645,0.853,0.093,0.067,0.070,0.042
Iraqw,0.393,0.729,0.498,0.902,0.106,0.163,0.109,0.020
Gawwada,0.152,0.574,0.230,0.916,0.115,0.350,0.152,0.029
Hausa,0.279,0.643,0.383,0.829,0.113,0.170,0.142,0.036
Kanuri,0.056,0.692,0.102,0.830,0.046,0.405,0.080,0.032
Tarifiyt Berber,0.703,0.770,0.732,0.750,0.055,0.054,0.025,0.024
Seychelles Creole,0.005,0.100,0.010,0.911,0.017,0.316,0.032,0.011
Romanian,0.418,0.620,0.499,0.665,0.054,0.063,0.055,0.034
Selice Romani,0.844,0.751,0.794,0.750,0.048,0.030,0.030,0.036
Lower Sorbian,0.198,0.736,0.305,0.828,0.086,0.194,0.122,0.036
Dutch,0.007,0.133,0.012,0.814,0.014,0.322,0.026,0.025
English,0.510,0.669,0.576,0.714,0.072,0.088,0.071,0.043
Kildin Saami,0.007,0.083,0.013,0.805,0.015,0.180,0.027,0.038
Bezhta,0.697,0.762,0.727,0.843,0.046,0.056,0.038,0.028
Archi,0.265,0.712,0.384,0.822,0.076,0.186,0.102,0.033
Ket,0.231,0.727,0.337,0.929,0.128,0.316,0.164,0.026
Sakha,0.184,0.628,0.278,0.768,0.048,0.119,0.057,0.033
Japanese,0.408,0.678,0.507,0.767,0.062,0.100,0.067,0.023
Thai,0.097,0.527,0.160,0.790,0.057,0.225,0.089,0.031
Vietnamese,0.108,0.604,0.176,0.823,0.060,0.105,0.076,0.036
White Hmong,0.020,0.500,0.039,0.847,0.023,0.527,0.043,0.031
Ceq Wong,0.614,0.676,0.638,0.773,0.037,0.115,0.063,0.033
Indonesian,0.250,0.646,0.357,0.729,0.025,0.158,0.041,0.022
Malagasy,0.000,0.000,0.000,0.875,0.000,0.000,0.000,0.030
Takia,0.039,0.700,0.073,0.777,0.033,0.483,0.060,0.026
Hawaiian,0.037,0.700,0.069,0.845,0.030,0.483,0.056,0.012
Gurindji,0.000,0.000,0.000,0.875,0.000,0.000,0.000,0.026
Yaqui,0.562,0.774,0.647,0.856,0.105,0.098,0.091,0.030
Zinacantán Tzotzil,0.406,0.919,0.555,0.912,0.127,0.084,0.130,0.016
Q'eqchi',0.517,0.821,0.632,0.938,0.088,0.108,0.090,0.015
Otomi,0.659,0.873,0.747,0.957,0.084,0.069,0.063,0.012
Saramaccan,0.088,0.535,0.142,0.645,0.062,0.340,0.093,0.048
Imbabura Quechua,0.609,0.817,0.689,0.851,0.113,0.060,0.061,0.014
Kali'na,0.209,0.975,0.339,0.885,0.074,0.079,0.105,0.020
Hup,0.459,0.839,0.575,0.935,0.146,0.167,0.151,0.022
Wichí,0.509,0.685,0.578,0.899,0.119,0.085,0.098,0.021
Mapudungun,0.539,0.804,0.643,0.882,0.111,0.122,0.114,0.037
