Language,Precision,Recall,Fs,Accuracy
Swahili,0.81,1.00,0.90,0.98
Iraqw,0.75,1.00,0.86,0.98
Gawwada,0.85,1.00,0.92,0.98
Hausa,1.00,1.00,1.00,1.00
Kanuri,1.00,1.00,1.00,1.00
Tarifiyt Berber,0.90,1.00,0.95,0.99
Seychelles Creole,0.90,1.00,0.95,0.99
Romanian,0.90,1.00,0.95,0.99
Selice Romani,0.89,1.00,0.94,0.99
Lower Sorbian,1.00,0.94,0.97,0.99
Old High German,0.77,1.00,0.87,0.98
Dutch,1.00,1.00,1.00,1.00
English,0.93,1.00,0.96,0.99
Kildin Saami,0.87,1.00,0.93,0.99
Bezhta,0.92,1.00,0.96,0.99
Archi,0.92,1.00,0.96,0.99
Manange,0.89,1.00,0.94,0.99
Ket,0.75,1.00,0.86,0.98
Sakha,1.00,1.00,1.00,1.00
Oroqen,0.69,1.00,0.81,0.96
Japanese,0.89,1.00,0.94,0.99
Mandarin Chinese,1.00,1.00,1.00,1.00
Thai,0.83,1.00,0.90,0.98
Vietnamese,0.67,1.00,0.80,0.97
White Hmong,1.00,1.00,1.00,1.00
Ceq Wong,0.67,1.00,0.80,0.95
Indonesian,0.80,1.00,0.89,0.99
Malagasy,1.00,1.00,1.00,1.00
Takia,0.83,1.00,0.91,0.98
Hawaiian,1.00,1.00,1.00,1.00
Gurindji,1.00,1.00,1.00,1.00
Yaqui,0.93,1.00,0.96,0.99
Zinacantán Tzotzil,0.89,1.00,0.94,0.99
Q'eqchi',0.95,0.95,0.95,0.99
Otomi,0.91,1.00,0.95,0.99
Saramaccan,0.85,1.00,0.92,0.98
Imbabura Quechua,0.89,0.89,0.89,0.98
Kali'na,0.81,1.00,0.90,0.98
Hup,1.00,1.00,1.00,1.00
Wichí,1.00,1.00,1.00,1.00
Mapudungun,0.73,1.00,0.84,0.98
TOTAL/MEAN,0.89,0.99,0.93,0.99
