Language,Precision,Recall,Fs,Accuracy
Swahili,1.00,0.90,0.95,0.99
Iraqw,0.93,0.81,0.87,0.98
Gawwada,1.00,0.54,0.70,0.95
Hausa,1.00,0.83,0.91,0.99
Kanuri,0.88,0.70,0.78,0.99
Tarifiyt Berber,1.00,0.39,0.56,0.94
Seychelles Creole,0.90,0.76,0.83,0.98
Romanian,0.86,0.60,0.71,0.97
Selice Romani,0.89,0.33,0.48,0.89
Lower Sorbian,0.92,0.57,0.71,0.97
Old High German,1.00,0.54,0.70,0.96
Dutch,0.94,0.60,0.73,0.96
English,0.89,0.24,0.37,0.86
Kildin Saami,1.00,0.45,0.62,0.96
Bezhta,1.00,0.41,0.58,0.93
Archi,1.00,0.39,0.56,0.95
Manange,0.88,0.41,0.56,0.90
Ket,0.93,0.57,0.70,0.95
Sakha,1.00,0.68,0.81,0.98
Oroqen,1.00,0.48,0.65,0.94
Japanese,1.00,0.81,0.89,0.99
Mandarin Chinese,1.00,0.91,0.95,1.00
Thai,0.86,0.86,0.86,0.99
Vietnamese,1.00,0.50,0.67,0.97
White Hmong,1.00,1.00,1.00,1.00
Ceq Wong,1.00,0.23,0.38,0.76
Indonesian,0.92,0.92,0.92,0.99
Malagasy,1.00,0.88,0.93,0.99
Takia,0.82,0.47,0.60,0.94
Hawaiian,1.00,1.00,1.00,1.00
Gurindji,1.00,1.00,1.00,1.00
Yaqui,1.00,0.95,0.97,1.00
Zinacantán Tzotzil,0.91,0.77,0.83,0.98
Q'eqchi',0.94,0.62,0.74,0.97
Otomi,0.97,0.88,0.92,0.99
Saramaccan,1.00,0.81,0.90,0.98
Imbabura Quechua,0.89,0.89,0.89,0.99
Kali'na,0.94,1.00,0.97,1.00
Hup,1.00,0.31,0.48,0.95
Wichí,1.00,1.00,1.00,1.00
Mapudungun,1.00,0.38,0.55,0.96
TOTAL/MEAN,0.96,0.67,0.76,0.96
