Language,Precision,Recall,Fs,Accuracy
Swahili,1.00,1.00,1.00,1.00
Iraqw,0.94,0.92,0.93,0.97
Gawwada,0.98,0.88,0.93,0.97
Hausa,1.00,1.00,1.00,1.00
Kanuri,1.00,1.00,1.00,1.00
Tarifiyt Berber,1.00,0.92,0.96,0.98
Seychelles Creole,0.99,0.98,0.99,0.99
Romanian,0.98,0.94,0.96,0.99
Selice Romani,1.00,0.97,0.99,0.99
Lower Sorbian,1.00,0.93,0.96,0.98
Old High German,0.98,0.92,0.95,0.98
Dutch,0.85,0.92,0.88,0.95
English,1.00,0.91,0.96,0.98
Kildin Saami,1.00,0.95,0.97,0.99
Bezhta,1.00,0.92,0.96,0.98
Archi,1.00,0.98,0.99,1.00
Manange,1.00,0.98,0.99,1.00
Ket,0.98,0.93,0.96,0.98
Sakha,0.95,0.98,0.97,0.99
Oroqen,0.97,0.97,0.97,0.99
Japanese,1.00,1.00,1.00,1.00
Mandarin Chinese,1.00,1.00,1.00,1.00
Thai,0.98,0.96,0.97,0.99
Vietnamese,1.00,0.93,0.97,0.99
White Hmong,1.00,1.00,1.00,1.00
Ceq Wong,1.00,0.90,0.95,0.97
Indonesian,1.00,1.00,1.00,1.00
Malagasy,1.00,1.00,1.00,1.00
Takia,0.98,0.98,0.98,0.99
Hawaiian,1.00,1.00,1.00,1.00
Gurindji,1.00,0.98,0.99,1.00
Yaqui,0.99,1.00,0.99,1.00
Zinacantán Tzotzil,1.00,0.97,0.98,0.99
Q'eqchi',1.00,0.94,0.97,0.99
Otomi,1.00,0.99,1.00,1.00
Saramaccan,1.00,0.98,0.99,1.00
Imbabura Quechua,1.00,1.00,1.00,1.00
Kali'na,1.00,1.00,1.00,1.00
Hup,1.00,0.95,0.97,0.99
Wichí,1.00,0.98,0.99,1.00
Mapudungun,0.98,0.95,0.96,0.99
TOTAL/MEAN,0.99,0.96,0.98,0.99
