Language,Precision,Recall,Fs,Accuracy
Swahili,0.94,0.88,0.91,0.98
Iraqw,0.93,0.81,0.87,0.97
Gawwada,1.00,0.90,0.95,0.99
Hausa,1.00,0.92,0.96,0.99
Kanuri,1.00,0.70,0.82,0.96
Tarifiyt Berber,0.80,0.71,0.75,0.95
Seychelles Creole,0.90,0.95,0.92,0.99
Romanian,0.90,0.90,0.90,0.98
Selice Romani,0.78,0.74,0.76,0.95
Lower Sorbian,0.89,0.89,0.89,0.98
Old High German,0.81,0.87,0.84,0.96
Dutch,0.93,0.88,0.90,0.98
English,0.94,0.89,0.92,0.98
Kildin Saami,0.89,0.80,0.84,0.98
Bezhta,1.00,0.62,0.76,0.95
Archi,0.87,0.93,0.90,0.98
Manange,1.00,0.77,0.87,0.97
Ket,1.00,0.90,0.95,0.98
Sakha,1.00,1.00,1.00,1.00
Oroqen,0.75,0.75,0.75,0.97
Japanese,0.87,0.91,0.89,0.98
Mandarin Chinese,1.00,1.00,1.00,1.00
Thai,1.00,0.94,0.97,1.00
Vietnamese,1.00,0.32,0.49,0.88
White Hmong,0.93,0.93,0.93,0.99
Ceq Wong,0.71,0.50,0.59,0.93
Indonesian,1.00,0.88,0.93,0.99
Malagasy,1.00,1.00,1.00,1.00
Takia,0.92,1.00,0.96,0.99
Hawaiian,1.00,0.89,0.94,0.99
Gurindji,1.00,1.00,1.00,1.00
Yaqui,0.93,0.93,0.93,0.99
Zinacantán Tzotzil,0.93,0.93,0.93,0.99
Q'eqchi',0.95,1.00,0.97,0.99
Otomi,1.00,0.96,0.98,1.00
Saramaccan,0.93,0.88,0.90,0.98
Imbabura Quechua,0.70,1.00,0.82,0.98
Kali'na,1.00,1.00,1.00,1.00
Hup,1.00,0.83,0.91,0.98
Wichí,1.00,0.93,0.96,0.99
Mapudungun,0.95,1.00,0.97,0.99
TOTAL/MEAN,0.93,0.87,0.89,0.98
