language,form,model_name,k_fold,mean_prec,mean_recall,mean_f1,mean_acc,meas_stdev_prec,meas_stdev_recall,meas_stdev_f1,meas_stdev_acc
Swahili,Tokens,neuraldual,10,0.831,0.736,0.779,0.889,0.060,0.080,0.062,0.025
Iraqw,Tokens,neuraldual,10,0.801,0.580,0.663,0.897,0.086,0.139,0.089,0.026
Gawwada,Tokens,neuraldual,10,0.653,0.357,0.455,0.861,0.112,0.102,0.096,0.034
Hausa,Tokens,neuraldual,10,0.691,0.572,0.623,0.838,0.059,0.076,0.055,0.023
Kanuri,Tokens,neuraldual,10,0.617,0.489,0.540,0.817,0.088,0.095,0.071,0.024
Tarifiyt Berber,Tokens,neuraldual,10,0.796,0.811,0.803,0.811,0.031,0.040,0.032,0.025
Seychelles Creole,Tokens,neuraldual,10,0.589,0.264,0.363,0.818,0.111,0.043,0.056,0.035
Romanian,Tokens,neuraldual,10,0.739,0.707,0.720,0.770,0.045,0.070,0.037,0.034
Selice Romani,Tokens,neuraldual,10,0.894,0.919,0.906,0.894,0.038,0.025,0.029,0.031
Lower Sorbian,Tokens,neuraldual,10,0.759,0.615,0.678,0.860,0.067,0.059,0.053,0.020
Old High German,Tokens,neuraldual,10,0.267,0.168,0.189,0.897,0.281,0.113,0.127,0.023
Dutch,Tokens,neuraldual,10,0.637,0.473,0.539,0.802,0.092,0.079,0.074,0.030
English,Tokens,neuraldual,10,0.662,0.645,0.653,0.729,0.031,0.049,0.031,0.023
Kildin Saami,Tokens,neuraldual,10,0.588,0.432,0.494,0.775,0.093,0.048,0.048,0.022
Bezhta,Tokens,neuraldual,10,0.832,0.780,0.804,0.880,0.035,0.058,0.035,0.017
Archi,Tokens,neuraldual,10,0.774,0.596,0.671,0.841,0.084,0.107,0.096,0.039
Manange,Tokens,neuraldual,10,0.720,0.328,0.440,0.890,0.271,0.094,0.126,0.026
Ket,Tokens,neuraldual,10,0.752,0.508,0.604,0.920,0.121,0.100,0.104,0.023
Sakha,Tokens,neuraldual,10,0.697,0.616,0.652,0.819,0.097,0.063,0.070,0.033
Oroqen,Tokens,neuraldual,10,0.568,0.342,0.419,0.874,0.121,0.120,0.110,0.041
Japanese,Tokens,neuraldual,10,0.832,0.726,0.773,0.856,0.041,0.072,0.047,0.028
Mandarin Chinese,Tokens,neuraldual,10,0.033,0.014,0.020,0.955,0.105,0.045,0.063,0.015
Thai,Tokens,neuraldual,10,0.665,0.565,0.609,0.819,0.066,0.085,0.067,0.024
Vietnamese,Tokens,neuraldual,10,0.640,0.460,0.533,0.794,0.048,0.057,0.040,0.035
White Hmong,Tokens,neuraldual,10,0.644,0.380,0.473,0.781,0.109,0.077,0.079,0.028
Ceq Wong,Tokens,neuraldual,10,0.795,0.712,0.746,0.821,0.072,0.090,0.057,0.047
Indonesian,Tokens,neuraldual,10,0.681,0.651,0.664,0.793,0.055,0.053,0.041,0.027
Malagasy,Tokens,neuraldual,10,0.598,0.379,0.453,0.828,0.114,0.131,0.119,0.027
Takia,Tokens,neuraldual,10,0.893,0.688,0.774,0.881,0.047,0.082,0.055,0.023
Hawaiian,Tokens,neuraldual,10,0.773,0.511,0.614,0.845,0.080,0.061,0.063,0.023
Gurindji,Tokens,neuraldual,10,0.455,0.263,0.331,0.775,0.108,0.070,0.078,0.018
Yaqui,Tokens,neuraldual,10,0.851,0.727,0.783,0.888,0.055,0.058,0.051,0.025
Zinacantán Tzotzil,Tokens,neuraldual,10,0.900,0.720,0.798,0.936,0.052,0.077,0.050,0.016
Q'eqchi',Tokens,neuraldual,10,0.869,0.614,0.717,0.931,0.061,0.079,0.064,0.011
Otomi,Tokens,neuraldual,10,0.910,0.711,0.793,0.954,0.081,0.070,0.031,0.009
Saramaccan,Tokens,neuraldual,10,0.656,0.634,0.642,0.745,0.080,0.091,0.073,0.040
Imbabura Quechua,Tokens,neuraldual,10,0.853,0.790,0.819,0.895,0.076,0.057,0.055,0.031
Kali'na,Tokens,neuraldual,10,0.741,0.478,0.576,0.847,0.085,0.068,0.061,0.013
Hup,Tokens,neuraldual,10,0.876,0.651,0.745,0.938,0.080,0.101,0.087,0.023
Wichí,Tokens,neuraldual,10,0.871,0.728,0.792,0.935,0.075,0.097,0.083,0.030
Mapudungun,Tokens,neuraldual,10,0.818,0.652,0.723,0.878,0.034,0.081,0.053,0.017
