Language,Precision,Recall,Fs,Accuracy
Swahili,1.00,1.00,1.00,1.00
Iraqw,0.96,0.96,0.96,0.99
Gawwada,0.95,0.93,0.94,0.98
Hausa,0.98,0.98,0.98,0.99
Kanuri,0.98,1.00,0.99,1.00
Tarifiyt Berber,0.91,0.89,0.90,0.96
Seychelles Creole,0.96,0.93,0.95,0.98
Romanian,0.90,0.90,0.90,0.96
Selice Romani,1.00,0.87,0.93,0.97
Lower Sorbian,0.98,0.96,0.97,0.99
Old High German,0.91,0.81,0.86,0.95
Dutch,0.83,0.78,0.81,0.91
English,1.00,0.80,0.89,0.96
Kildin Saami,0.91,0.84,0.87,0.95
Bezhta,0.96,0.96,0.96,0.98
Archi,0.96,0.94,0.95,0.98
Manange,1.00,0.89,0.94,0.98
Ket,0.95,0.90,0.92,0.97
Sakha,0.96,0.94,0.95,0.98
Oroqen,0.86,0.85,0.85,0.94
Japanese,0.99,0.97,0.98,0.99
Mandarin Chinese,1.00,0.98,0.99,1.00
Thai,0.96,0.88,0.92,0.97
Vietnamese,1.00,0.99,0.99,1.00
White Hmong,1.00,1.00,1.00,1.00
Ceq Wong,0.94,0.91,0.92,0.97
Indonesian,0.97,0.97,0.97,0.99
Malagasy,1.00,1.00,1.00,1.00
Takia,1.00,0.89,0.94,0.98
Hawaiian,0.98,1.00,0.99,1.00
Gurindji,1.00,0.97,0.99,1.00
Yaqui,0.98,0.98,0.98,0.99
Zinacantán Tzotzil,0.98,1.00,0.99,1.00
Q'eqchi',0.99,0.95,0.97,0.99
Otomi,1.00,0.99,1.00,1.00
Saramaccan,1.00,0.96,0.98,0.99
Imbabura Quechua,0.97,1.00,0.99,1.00
Kali'na,0.98,1.00,0.99,1.00
Hup,0.98,0.98,0.98,0.99
Wichí,1.00,0.98,0.99,1.00
Mapudungun,1.00,1.00,1.00,1.00
TOTAL/MEAN,0.97,0.94,0.95,0.98
