language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.548,0.789,0.645,0.855,0.064,0.057,0.055,0.024
Hausa,0.289,0.671,0.399,0.830,0.064,0.110,0.061,0.026
Kanuri,0.053,0.575,0.096,0.830,0.048,0.449,0.084,0.033
Tarifiyt Berber,0.701,0.773,0.734,0.752,0.055,0.047,0.036,0.028
Romanian,0.429,0.640,0.511,0.672,0.033,0.061,0.020,0.025
Selice Romani,0.833,0.754,0.790,0.747,0.021,0.048,0.025,0.028
Lower Sorbian,0.205,0.753,0.317,0.830,0.079,0.168,0.106,0.041
Dutch,0.003,0.100,0.006,0.814,0.010,0.316,0.020,0.027
English,0.522,0.678,0.586,0.721,0.096,0.063,0.077,0.045
Kildin Saami,0.000,0.000,0.000,0.805,0.000,0.000,0.000,0.047
Bezhta,0.688,0.747,0.713,0.836,0.097,0.039,0.068,0.042
Archi,0.283,0.739,0.401,0.822,0.065,0.123,0.067,0.029
Sakha,0.211,0.624,0.313,0.771,0.054,0.104,0.069,0.037
Japanese,0.411,0.679,0.511,0.768,0.048,0.052,0.045,0.025
Thai,0.103,0.625,0.176,0.792,0.026,0.178,0.043,0.018
Vietnamese,0.096,0.605,0.161,0.820,0.039,0.229,0.060,0.033
White Hmong,0.019,0.250,0.035,0.846,0.033,0.425,0.060,0.021
Ceq Wong,0.580,0.653,0.611,0.759,0.079,0.078,0.064,0.021
Indonesian,0.255,0.627,0.360,0.729,0.050,0.063,0.055,0.026
Malagasy,0.000,0.000,0.000,0.875,0.000,0.000,0.000,0.025
Takia,0.047,1.000,0.089,0.779,0.021,0.000,0.037,0.041
Hawaiian,0.039,0.500,0.070,0.845,0.053,0.527,0.094,0.027
Yaqui,0.558,0.769,0.644,0.856,0.090,0.100,0.084,0.020
Zinacantán Tzotzil,0.423,0.929,0.576,0.913,0.107,0.081,0.108,0.025
Q'eqchi',0.513,0.800,0.621,0.934,0.101,0.128,0.102,0.021
Otomi,0.672,0.876,0.758,0.959,0.081,0.056,0.066,0.015
Saramaccan,0.093,0.552,0.152,0.647,0.059,0.242,0.082,0.049
Imbabura Quechua,0.603,0.803,0.686,0.847,0.054,0.099,0.054,0.027
Mapudungun,0.541,0.822,0.647,0.885,0.094,0.118,0.088,0.033
