language,mean_prec,mean_recall,mean_f1,mean_acc,sample_stdev_prec,sample_stdev_recall,sample_stdev_f1,sample_stdev_acc
Swahili,0.567,0.801,0.661,0.889,0.054,0.074,0.040,0.015
Tarifiyt Berber,0.648,0.748,0.693,0.753,0.069,0.040,0.047,0.026
Romanian,0.019,0.450,0.036,0.830,0.020,0.497,0.038,0.026
Selice Romani,0.786,0.755,0.770,0.757,0.034,0.050,0.036,0.037
Lower Sorbian,0.180,0.760,0.285,0.884,0.069,0.256,0.098,0.024
English,0.389,0.627,0.474,0.757,0.096,0.092,0.089,0.047
Bezhta,0.585,0.745,0.652,0.873,0.072,0.068,0.054,0.025
Sakha,0.305,0.715,0.425,0.857,0.073,0.087,0.085,0.033
Japanese,0.393,0.634,0.484,0.793,0.052,0.059,0.051,0.034
Thai,0.008,0.100,0.015,0.861,0.017,0.211,0.032,0.030
Vietnamese,0.102,0.547,0.166,0.835,0.073,0.285,0.108,0.020
Ceq Wong,0.613,0.665,0.632,0.769,0.109,0.065,0.065,0.027
Takia,0.052,0.700,0.095,0.815,0.051,0.483,0.090,0.028
Yaqui,0.560,0.770,0.644,0.855,0.078,0.091,0.065,0.021
Zinacantán Tzotzil,0.423,0.927,0.575,0.913,0.117,0.103,0.128,0.028
Q'eqchi',0.557,0.813,0.648,0.941,0.127,0.122,0.088,0.017
Otomi,0.671,0.873,0.754,0.958,0.098,0.063,0.072,0.011
Saramaccan,0.026,0.333,0.048,0.773,0.031,0.408,0.055,0.033
Imbabura Quechua,0.623,0.812,0.700,0.856,0.087,0.091,0.067,0.036
Mapudungun,0.570,0.846,0.673,0.899,0.100,0.086,0.070,0.022
